track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
2sw4uMcjILC96wyZThxoyE,Demain gauche,3SezXnfQlGiy6xLwEMfpnU,Left,5K7kCEaPaiTS8ygIM2Ybvl,Turn,2024-03-15,0,Alternative Metalcore
75AdvZkZY0cYeogYyc2DtJ,Crossed The Line,4JWi5seOo9lLt7oPKwN2iT,Dead-Lift,5JrjmAsvyKjL40bdWkGWju,Poor Mans Anthem,2008-06-19,0,Alternative Metalcore
2YUQZidQxNP2nzeExsISQl,Shuttle Dance,3SezXnfQlGiy6xLwEMfpnU,Left,5K7kCEaPaiTS8ygIM2Ybvl,Turn,2024-03-15,0,Alternative Metalcore
4yXYRBSBMC0VHV2tmGZGWZ,Der Weg Nach Oben,75khCaWTJKRN1Y7hMcAY29,Apron,0fbMMALpRHCZEeRYtYdVrs,Der Punch,2014-09-26,0,Alternative Metalcore
60geRmfci5ooDNn0HldU1O,Let It Ride,03YfzFNcD7l9uskxK7WaPP,Toothgrinder,2Ob7oZ7Z865q9mqoJmdjSU,Let It Ride,2017-10-27,0,Alternative Metalcore
4lCx2SPPFlgJFU4MOQFkhs,Kurzes Interesse,75khCaWTJKRN1Y7hMcAY29,Apron,0fbMMALpRHCZEeRYtYdVrs,Der Punch,2014-09-26,0,Alternative Metalcore
3pTi6srk81l1TDsIQ6Vn7d,Resolution,4JWi5seOo9lLt7oPKwN2iT,Dead-Lift,3yruh9QKojPkLOHivSOsVx,Dead-Lift,2020-12-23,0,Alternative Metalcore
1U4euYd2LIhdubvECPKSiu,Not My Time,4JWi5seOo9lLt7oPKwN2iT,Dead-Lift,3yruh9QKojPkLOHivSOsVx,Dead-Lift,2020-12-23,0,Alternative Metalcore
1StsRxGkReBMxg6JnKl7I6,Outro (Commentary),4Chmvv7snf0tN3GPp4jzhz,Full Devil Jacket,1zh5gMJ1xJgPonnk1rHeZg,Valley of Bones (Track-by-Track Commentary),2015-02-24,0,Alternative Metalcore
7zF0srEOZ22U0mlcGFjwnU,Der Biedermann,75khCaWTJKRN1Y7hMcAY29,Apron,0fbMMALpRHCZEeRYtYdVrs,Der Punch,2014-09-26,0,Alternative Metalcore
4bUGc78M3QeHw2GGdoFut0,Before I Forget,5xcfYzVKRhEuS2csnGq5WY,Mourge Of Intent,7HQDeaeWAYyIzqYt30IB5K,A Tribute To Slipknot,2008-08-01,0,Alternative Metalcore
2X12CbSZqueFQuYnLuZ0vM,Verzieh Dich,75khCaWTJKRN1Y7hMcAY29,Apron,0fbMMALpRHCZEeRYtYdVrs,Der Punch,2014-09-26,0,Alternative Metalcore
