track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
61Pr9dlH9z4oFbOd3rl0CO,In another life,4DtXLPkKXCormBHlZzDm8c,Iván Ferrús,43y6be7veQ6p9ytMHnqVAO,Leave,2022-01-01,0,Atmospheric Black Metal
3eEqkH4I5D0h2peuHFtMpe,Fr√ºchte Des Schmerz,1nvdGK0x92SNKcNFuSzut1,ars moriendi,5Vuhp8kcYXmoxsvRcwPvHp,In Memoriam,2002-10-05,0,Atmospheric Black Metal
03H3XelmNdN9IuAJMhtKaP,Beyond the Veil,1QkwQdiowE5hZl4ZWQIgnJ,Ebon Arcanum,12lcLKMpJByhAfEWDTJgpQ,Awakening,2014-05-27,0,Atmospheric Black Metal
3mRZdYtssRW10b3txfWVAU,To Become,2iqBKzFaGi9CiG7uxaS15K,Chiral,0sxqySDRERBj3NFjF7ieDq,Fire//Heritage,2018-12-20,0,Atmospheric Black Metal
2FxuwlSsdWvmLX1FwPNa1S,Overtakable,2NmgNDjPx0OboRxKGoMz8C,Dantalion,2Lmdflf3R9aKbCU2oJXtNq,Overtakable,2018-01-16,0,Atmospheric Black Metal
6YByWJmmKg4XPxZVtha2Lo,The Ritual,1U6VZQrgQ4CNXbS6FpP0QC,The Great Old Ones,5Oyd1TzVWN0o6ZJLgOWQCg,EOD: A Tale of Dark Legacy,2017-01-27,0,Atmospheric Black Metal
3qqpofFzBxCyBkYjnEEGMM,Echoes of Past Realities,01AKKNH7WtV6cvgbcMZCGl,Gruulvoqh,5rzJXsT5Pgc9w3JAIF5dRD,Dreams of the Savant,2021-12-21,0,Atmospheric Black Metal
2R7ceExw9kmrPtF9ERRp60,Nihilist,4DtXLPkKXCormBHlZzDm8c,Iván Ferrús,0KhblBqK6TEZilaQpBNcGH,FRB,2021-03-01,0,Atmospheric Black Metal
1C1Zna6LshwwIww82pNcsW,Empires,23X9RzKhXQRfswLRIPKgy7,Raat,0q4L0MuHI48enmKlgTdsku,Litost,2021-07-16,0,Atmospheric Black Metal
0IBbRTENw3iNnef3aEaTKI,Hiljaisessa Syvänteessä,6cvfJNOW4ZAMiSVLEbeP8P,Kalmankantaja,4oGqBhpceylpyFtlpdSNFP,Musta Lampi,2017-03-21,0,Atmospheric Black Metal
7HKxHAXVysiKmqJcZ9XHtw,Iter ad haeresim,1nvdGK0x92SNKcNFuSzut1,ars moriendi,4bnJCPDxQ7PKGxJol3yHoG,Tormentum Inanis MMXXII,2022-12-20,0,Atmospheric Black Metal
3eAqel0RAZY6SD4gYgFrXW,Closing Chapter,5hFKdxBWpediNBvDJtzHOS,Mist of Misery,00RwSBH26P1MQrngVJgNi3,Shackles of Life,2017-09-25,0,Atmospheric Black Metal
76Bj0NI89bkuza3OmxfFJK,Mare Infinitum,1U6VZQrgQ4CNXbS6FpP0QC,The Great Old Ones,5Oyd1TzVWN0o6ZJLgOWQCg,EOD: A Tale of Dark Legacy,2017-01-27,0,Atmospheric Black Metal
4rMFki7VHeBHi3O0NIqEzf,Flight Unlimited,2NmgNDjPx0OboRxKGoMz8C,Dantalion,5qjfOQeI8KWEYsPq8ohDCs,Flight Unlimited,2016-10-03,0,Atmospheric Black Metal
