track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
1EWbATf6FH4LDRKqzKF8X6,Beak of the sea,0qJh6Bx8EmG5YYTPn4CZxf,Monachus,3QOgqSgQFoUXgEd0YUyGg5,Out of the blue,2011-05-10,0,Atmospheric Post-metal
4iF6TUhprBRAFKZdrGr0S5,Give Me a Moment,5A69Z0AfPtYWNU9ifvUCBE,Elodea,2E3sr4Bp0W0yujQa6b9rw1,Give Me a Moment,2018-09-21,0,Atmospheric Post-metal
3mSCfBcujlWueBFKLagGTo,Give Me a Moment,5A69Z0AfPtYWNU9ifvUCBE,Elodea,6eXU0zKalHDn6sGO3PIRX1,Confluenze,2018-04-20,0,Atmospheric Post-metal
5WGhjE2Q0AjCzGmKCCeqcO,The Great Escape,4JUai9KxUkNTGf72tBBxLA,Memories Of A Dead Man,5SWB6vI8KJC64Lpx2fF2uf,Maze,2011-02-14,0,Atmospheric Post-metal
3eWCNq7w4yXhj3sNKS8ST2,Tutto normale,5A69Z0AfPtYWNU9ifvUCBE,Elodea,05akwlU0KSgtPRg86dMx0X,CROMOVIVO (The Best Of Cromo Music 2014-2024),2024-07-26,0,Atmospheric Post-metal
5Qg21zOuW47Es8g3MjxfDa,Spero che ti - Basta,5A69Z0AfPtYWNU9ifvUCBE,Elodea,0SkFRIC0MpaXRvhfYvh3YJ,Non mi arrendo mai,2012-05-30,0,Atmospheric Post-metal
5IgpHSCtGcuaSznIHaRhZ4,The Iron Furnace,6rhmzmi2yHoOhXcth1FDt1,VYGR,6Gfptt1pTgcgCw3NwwhnA4,3 Way Split,2012-12-18,0,Atmospheric Post-metal
5z3E57LSCAUdxw5cMDByVX,L'anima dei sogni,5A69Z0AfPtYWNU9ifvUCBE,Elodea,49deXrvvIK8LXh4uj3fG7k,L'anima dei sogni,2011-10-01,0,Atmospheric Post-metal
1VnVBKqebUBPmvA4Ioaz7b,"As We Surrender to Lust, Pt. 1",0w8Y1Re3MYYbayNbq9xrdx,The Canyon Observer,2Hg1IriI1xGtUolanN0n5B,Chapter II: These Binds Will Set You Free,2012-10-26,0,Atmospheric Post-metal
2ZZpVQAzjyI9vCrbuJ0kHU,Non vali il tempo,5A69Z0AfPtYWNU9ifvUCBE,Elodea,7phn4SsZ4SG1PXDCyxIES4,Non vali il tempo,2012-04-19,0,Atmospheric Post-metal
1jLpHA4fh9DxWIeDaF7ffx,Two Week Silence,4mwoSUjloc1HG4G0kT6jN6,Of Noah,4Q5OGOJIONRiLe4UZ8E4rp,Where Things Grow Without Light,2013-01-13,0,Atmospheric Post-metal
76Bj0NI89bkuza3OmxfFJK,Mare Infinitum,1U6VZQrgQ4CNXbS6FpP0QC,The Great Old Ones,5Oyd1TzVWN0o6ZJLgOWQCg,EOD: A Tale of Dark Legacy,2017-01-27,0,Atmospheric Post-metal
2SXWU4wUlo8CYPNSAHQSNu,Wanderings,1U6VZQrgQ4CNXbS6FpP0QC,The Great Old Ones,5Oyd1TzVWN0o6ZJLgOWQCg,EOD: A Tale of Dark Legacy,2017-01-27,0,Atmospheric Post-metal
