track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
5M9UPUp4IaL2sHCJZbI6qt,Impale the Soul of Christ,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,3yLWN09dary5MAYG7hn1Fo,"Devils Conjuries Vol_2, Vol. 2",2017-06-15,0,Black Death
3gbCfkF8G8dEQul4GXzjGE,The Dead's Oath,4O1pz87CPmTQe7Tnvs035U,Throneum,4GwqxuZTbQxuF6S9gLrrMK,Deathcult Conspiracy,2009-11-15,0,Black Death
7rimCgxsqlld173CM5hr9S,The Dead Plague,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,076MHTKPeOSFTx28uLHiIZ,Waiting to Kill Christ,2021-05-18,0,Black Death
6FzdezNDgU9nK8yZXsHhpg,Fall to Depravity,2KpszJZr1gmfqp2mlQ1fAg,Ulsect,7DMWjcBCFkBl19rd3jYAs0,Fall to Depravity,2017-02-24,0,Black Death
0UNEjiyqQP7kGT7gJLi7Bc,The I,2izfblpKDteA9vtJouHphB,Devilish Impressions,0yzXFITlGEIsoF9wj9y2O0,The I,2017-08-15,0,Black Death
3EeyqIRaDosAWrAAkN86rS,The Return of the Undead - No Guitars Backing Track,73n8NYaqRf2oJBuK7lWq0O,Necrodeath,1noFMRSZyJkyvDwE21Wlup,The Age of Dead Christ Backing Tracks,2018-01-02,0,Black Death
2zzTAyynMVYtkGPpvgFHf1,Pardon Crime,4vFwcBV1oj3RZtAZF1yybp,Dark Ring,2RAoZcLeJFQKZ4W6i3jT2V,Reborn From The Inferno,2013-04-05,0,Black Death
38HnoJeuAt3fzLsLKBYqgB,Conflagration,362YBruxv9ecxqk8boFCf5,Embalmed,4NqB7Y0WzscpatLGMYgamj,Exalt the Imperial Beast,2011-11-22,0,Black Death
4bHcoYuLTiZsLNETD84lWW,Swamped,7jRW8tioKkTh4Pgogol1iu,Estuarine,7HvveZLWKSaARQh4HB7Ecr,Estuarine,2013-10-18,0,Black Death
5rGSUbOurX942UaQh9rA1j,Alive but Dead,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,4W5K9Z6qFpBoIbhu014kOz,"Devils Conjuries Vol_2, Vol. 1",2017-08-15,0,Black Death
0vXEuQvd6qxEDlgo1r5uRL,At the Fathomless Depths,6qpmcQfxhmNxNMCJUrpHwe,Dissection,6v0YVkmeV0KUjBP0D4OFK5,Live and Plugged,1997-03-31,0,Black Death
0rIidonijApstaa8OWrfcP,Unveil,2KpszJZr1gmfqp2mlQ1fAg,Ulsect,4ef1kESWLLHvlF5L7T1Tm6,Unveil,2017-04-14,0,Black Death
57pDXInAdZh2pmnOnqoYj7,Rot,0ueTIGHosykEri5dJJfmeB,Reign,44uPIuvGwyMwt87ORXsJEy,Born to Rot,2017-01-29,0,Black Death
25RIG7J73o8P4rhB9udPAk,Driving out the Demons,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,7mwE3SToR4Lzc44AcdSoIH,The Devil's Congeries - Volume 2,2017-07-07,0,Black Death
0qUs3gKBfXxv0N71XdhbhG,Prison of Sentient Horror,1ZFDcpdTF0ii0ox1oMeRTq,Ruin Lust,1FF6mt3SwgE8e49UBUflWq,Prison of Sentient Horror,2020-02-11,0,Black Death
5ES2QPZFMl2bDvAMMIEvMS,The Vermin Race,2sMGkIRocvl3DATY8jVJqn,Into Infernus,050bdEov5opE1WjpldttnX,The End of Eden (Orchestral Edition),2016-04-21,0,Black Death
4Em5GxXJFm7Hm6H212fhk6,Phantom,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,4W5K9Z6qFpBoIbhu014kOz,"Devils Conjuries Vol_2, Vol. 1",2017-08-15,0,Black Death
7pEgmRkPgdMN0Dnxdh5yUX,Dark Filthy Me,1R5a1oBn8chZQ6m1AKq3ZG,Obsidian Chamber,5IzOYNIzpE8siwXEeWSzWC,Der Gesang der Fliegen,2010-11-15,0,Black Death
4lx20kqc5eqwhCufDkfrwe,Hellchild (Venom),1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,1CiUKwNSTtgFheJ5ci3eXH,"Devil's Congeries, Vol_ 4, Vol. 1",2022-02-23,0,Black Death
5fO1dGigYgtBclbv41yyS5,Perceive The Revelation,1R5a1oBn8chZQ6m1AKq3ZG,Obsidian Chamber,5IzOYNIzpE8siwXEeWSzWC,Der Gesang der Fliegen,2010-11-15,0,Black Death
