track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
2WhEDhC3JtAtdI658lcVaz,Spinal Extractions - Studio,6hR8mUd2yyHFazoCuweiIJ,Autopsy,388vEYrRTwy8T93VI9Ecep,Torn From The Grave,2001,0,Brutal Death Metal
2u3Zeu0ngTmXym2ms9xFHE,The Quest for Absurdity - Live,2eIvR1DzWm5GAufWC2rcGr,Asphyx,1MylSXpmAsD4glIeyCum2I,The Rack (Reissue),1991,0,Brutal Death Metal
41FJoslaiKtaDOSZ6TdakA,Fiend for Blood,6hR8mUd2yyHFazoCuweiIJ,Autopsy,0XQgv0BaqYOVNEzf2Y6TPv,Shitfun,1991,0,Brutal Death Metal
0FDafDngaJ8iEPFd3d86zN,Intro,4uXTH2Fd28u5184fB3JZdQ,Antropofago,6lzgBybt31HWUD0S6pmxWv,Aera Dementiae,2015-09-04,0,Brutal Death Metal
0GpH8puivuk2V6cgZ6Btwd,Intro,53aK2WifD6z28KabW2dhz4,Parasitic Ejaculation,2pbFBc0oqDKJ5DSrCSXkG6,Sickening Conduct,2012,0,Brutal Death Metal
6I3GvJxI5G0omht0RBfZQM,Triumph In Blasphemy (Interlude),66AXpP038gUcoKVQoO98Fz,Incantation,4swdsInDQFtV0FDYttru56,The Forsaken Mourning of Angelic Anguish,1997-10-14,0,Brutal Death Metal
1szzvgXPqhGBpayBMwDsVf,Conditioned. Complacent,1I471vwcRhqQl6QonGZlen,Logistic Slaughter,4ZGStqpDf2u5akAUgqBnqd,Lower Forms of Life,2021-04-30,0,Brutal Death Metal
0eDl8tXZw5FZidIpxLtj3t,Violent Autoscopy,53aK2WifD6z28KabW2dhz4,Parasitic Ejaculation,6WYLGupespzWrnop57nL5q,Echoes of Depravity,2015-01-13,0,Brutal Death Metal
2tleYYu6BMCKaTBXsFBTir,With a Wall,7Iy3W9Pe1ivZzIM3jZvW59,Augury,3fP3yQY8IXdV7MISvjloGt,"Metal Central TV Vol, 20",2019-10-18,0,Brutal Death Metal
3Eajjt11zwcgtnYTLquMpC,Orgasmic Sensation Through Fecal Ingestion,7g2KmkHmpUFam0B1YvDspG,Vulvectomy,1pjoYzE8daSV9CeGhGZOGm,Abusing Dismembered Beauties,2015-04-28,0,Brutal Death Metal
6mfV3GVbY4WJB9TkcWpIT9,Intro,2uqABIyqy5rka4gggoEgni,Neurolepsy,2MdqD5XV3xRU02FuCZ4fSw,Disintegrated Cognizance,2009-12-15,0,Brutal Death Metal
2qqsnMnF8rI9LXsU7GLuC7,Progeny Of Embryonic Congenital Malformations,2x0g8ynzsIZARjOCXhHJ45,Cenotaph,5NQjCqU4TW6zQRjGC1UODz,Precognition To Eradicate,2022-02-11,0,Brutal Death Metal
56XMAhbPDctRDO4efLC7yU,Stench of Burning Heavens,3eGn4wrip64xxG8SnBcAzA,Relics of Humanity,3tCMYo5plnoBSIMAYJD5Bc,Stench of Burning Heavens,2017-12-08,0,Brutal Death Metal
0WZEYEpGlSCfCRCblGEbVp,Consumed By Embryophagy,2x0g8ynzsIZARjOCXhHJ45,Cenotaph,1jkgSpcfyCnWoU4gHHcQ2b,Putrescent Infectious Rabidity,2010-07-26,0,Brutal Death Metal
22HN3YrImPzlEve2K4gbER,Ultracrepidarian,53aK2WifD6z28KabW2dhz4,Parasitic Ejaculation,7bGY1BD3r0fXbJIhY5UDNb,Echoes Of Depravity,2015-01-13,0,Brutal Death Metal
4jHWHbXZefouTLvivOFES4,Syndromes Of Deadly Endogenous Intoxication,2x0g8ynzsIZARjOCXhHJ45,Cenotaph,19uDjJZ4e1kSvXWYsoHSWi,Perverse Dehumanized Dysfunctions,2017-06-08,0,Brutal Death Metal
4jln56CYwXan1D6ABouDrN,Abnegating the Deities,3c9f2M6tEGCb6ZBpmD5f05,Molested Divinity,4uaY4PiSsy1H9mjWVpY8M7,Unearthing the Void,2020-03-25,0,Brutal Death Metal
5X173j8Qwkg8vi5xqLcRtN,Ingestment Of Nasty Rotten Innards,3wcyR7tr5lPEVfnE64QIUX,Raped By Pigs,7aV9IvWDUJj6AnkuR0FELg,Mental Diseases And Congenital Malformation,2019-02-08,0,Brutal Death Metal
4wKDKTgXA7U4aFLbikJYFJ,Disintegrated Cognizance,2uqABIyqy5rka4gggoEgni,Neurolepsy,2MdqD5XV3xRU02FuCZ4fSw,Disintegrated Cognizance,2009-12-15,0,Brutal Death Metal
0jHs0vunneKCfucDwBLi0W,Inhuman Lacerations,53aK2WifD6z28KabW2dhz4,Parasitic Ejaculation,6WYLGupespzWrnop57nL5q,Echoes of Depravity,2015-01-13,0,Brutal Death Metal
3UBaNmjEVGjprKigO73AJE,Putrescent Infectious Rabidity,2x0g8ynzsIZARjOCXhHJ45,Cenotaph,1jkgSpcfyCnWoU4gHHcQ2b,Putrescent Infectious Rabidity,2010-07-26,0,Brutal Death Metal
