track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
5wTPzYVrMlOVDkviVAVBAF,Redeemer: Greater Love,3ssr8rArtSZbpnrJF9gjDR,Earth From Above,01NHquwoLqpNqmCGiHbU6U,Numbered With The Transgressors,2009-04-14,0,Brutal Deathcore
4xtS1ji7NndaQLLTKZejJg,Embalmed With Worms,3wcyR7tr5lPEVfnE64QIUX,Raped By Pigs,7aV9IvWDUJj6AnkuR0FELg,Mental Diseases And Congenital Malformation,2019-02-08,0,Brutal Deathcore
1XI0Txn7jg36f0KO7T8q0C,Engage (Intro),5eimIiEPAf2SzbhCkO4737,Diskreet,0Vf1WiOlIBuTiWfsNX0BER,Engage the Mechanicality,2010-09-06,0,Brutal Deathcore
7Dcu2Ia8FRdL8Sb53MZBMG,Elisabeth Fritzl,4u1qRizrdSkikvN6KQ9VoH,The Boy Will Drown,5mGa90Q7UBezMyl4LkEswz,Fetish,2009-08-18,0,Brutal Deathcore
2Sjol9meStjrrjJlWml2hN,Engage,5eimIiEPAf2SzbhCkO4737,Diskreet,07loZvij0lbKdoMrXIkCmA,Engage the Mechanicality,2021-03-05,0,Brutal Deathcore
6wLS3Hw8lfo4omJlNu4oNm,All Is Valid,4sGZ8IHn3UTszgR2avx4AQ,By The Patient,4Ec0MwTIUELSI0pWRmA4wV,Premonitions,2011,0,Brutal Deathcore
2it7i2umarNbN04S5Xsd21,.,5a1etU8g9lDPCr90tx9tNR,Ennui Breathes Malice,5gx2MsU3Ac7Lv4WjUHaekk,Obsessive Repulsive,2011-05-13,0,Brutal Deathcore
17DUQdSUnKTJYwgCPXknh6,Sadistic Post-Mortem Squirts,3wcyR7tr5lPEVfnE64QIUX,Raped By Pigs,7aV9IvWDUJj6AnkuR0FELg,Mental Diseases And Congenital Malformation,2019-02-08,0,Brutal Deathcore
5X173j8Qwkg8vi5xqLcRtN,Ingestment Of Nasty Rotten Innards,3wcyR7tr5lPEVfnE64QIUX,Raped By Pigs,7aV9IvWDUJj6AnkuR0FELg,Mental Diseases And Congenital Malformation,2019-02-08,0,Brutal Deathcore
0R0nOhrW8RndiD1KknW1hX,Urethra Franklin VS. Queef Latifah,2JUKMzpbKorR5p8fqTU6oR,The Irish Front,2Q2dAtIB8bHpoMHGDndMBc,Universe,2008-10-20,0,Brutal Deathcore
4HkRDD5YSncqGHeiXSBu2B,My Internal Collapse (Danoizz Remix),5AInH5kMIa1pRpFTtfclQg,Human Device,4PWHTmPNbwLh8d2WPqTuwS,Spawn of Afflicted Cattle,2012-09-18,0,Brutal Deathcore
6TmNsKSq1z9OjkerOhsiS6,Dripping Bowels Caused By Horse Cock,3wcyR7tr5lPEVfnE64QIUX,Raped By Pigs,7aV9IvWDUJj6AnkuR0FELg,Mental Diseases And Congenital Malformation,2019-02-08,0,Brutal Deathcore
4IrwPBKYtrf605jnwPUBO6,Repulsive Desires Written With Your Shit (2018),3wcyR7tr5lPEVfnE64QIUX,Raped By Pigs,7aV9IvWDUJj6AnkuR0FELg,Mental Diseases And Congenital Malformation,2019-02-08,0,Brutal Deathcore
