track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
3Ry7JRHTETyzrqsO3DsGNC,Layer Of The Goat Herder,4mwBBDDVOiD0ET8nmbLzlk,Livercage,50KgVEw3dkdl5x8BquGiWd,Strung Up And Left To Rot,2007-08-29,0,Canadian Metal
5rjFPeSI0RagqQfrFPTikN,New Girl Now,7kFyhQTV7cbd3iSYW2yt1Q,Honeymoon Suite,0tUPklUk4ZSfOKV5V2BwyC,100 Greatest 80s,2024-01-12,0,Canadian Metal
4XzZzRYZGGn24HdjmSzRLR,Interred Along the Rail Line,6qatjtNhWb89TUL099wwNU,Inhumed,24Iv9lxkvPkRKrZIQ3Qbdf,Vol. 1,2018-07-13,0,Canadian Metal
2uBxSo6zyVdziIxrh7RPm9,Love Changes Everything,7kFyhQTV7cbd3iSYW2yt1Q,Honeymoon Suite,1Ux7WzBD7si0WLLfskroUj,Rock 'N' Roll Radio,2020-04-17,0,Canadian Metal
7JeDeWLeBUB3opigcD5GMD,Wasting Away,2ZKUlLFSyioGcGMwS7EBeM,Category VI,2uWMgwdpD68nAZ6zbzoqhk,Fireborn,2013-12-09,0,Canadian Metal
686pKhvy9ESaOsRpJ9CnaL,After The Battle,4mwBBDDVOiD0ET8nmbLzlk,Livercage,5ldmeSwZ1BkzbbRBw32jH2,Pick Up That Axe And Cut Them Down!,2008-01-29,0,Canadian Metal
5Ktd7ZTXSBwuIGNG7GP72V,In Old Times,4mwBBDDVOiD0ET8nmbLzlk,Livercage,5ldmeSwZ1BkzbbRBw32jH2,Pick Up That Axe And Cut Them Down!,2008-01-29,0,Canadian Metal
3kcwga2va66Bt6OeJsXJqT,New Girl Now,7kFyhQTV7cbd3iSYW2yt1Q,Honeymoon Suite,2u3JWWSHJiQ2DzRvHQMSuV,Baptiste Lake Cottage Songs,2023-09-09,0,Canadian Metal
5y3OTLcenYOyYMrJ93XY76,What Does It Take,7kFyhQTV7cbd3iSYW2yt1Q,Honeymoon Suite,21luNaYFUy6GE5JGZzJkEC,Leather & Denim - 80's Rock,2021-09-17,0,Canadian Metal
7HzzJGWTBkKZQgKQ45s7bu,Descent by Annihilation Operator,3P72j1qteEHGJYNQvaIJ1P,Electro Quarterstaff,4Ev8JIz83LUh8w9lRLG5A4,Aykroyd,2011-10-18,0,Canadian Metal
2npFNw1f7JeQ1JqDsBucg2,Ill Be,6IOGoBdcGoq9EZGcpthG8Z,Sacrifice,0OpCDkwrGLdlvTIoMf6pzX,The First Nail,2011-01-01,0,Canadian Metal
5SgHKXT8rAcM3ncYu1Z4wf,"Mud, Blood, Beer",4BOXbOvauui6AAQZC1cErh,Enemy Designed,0eF2mZMrkq3Tm3skxElNkl,Rebirth,2019-05-10,0,Canadian Metal
2eoPdwL8I1HgXx9nPqcyJa,Feel It Again,7kFyhQTV7cbd3iSYW2yt1Q,Honeymoon Suite,3GkjUqg8qcL9HnAzLZ5yAN,Albion Lake Cottage Songs,2023-09-09,0,Canadian Metal
