track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
75EAL2mnBVfbhpYucY84XX,Le septième thème,1FX7zVQbylen46zQPyl48C,Diapsiquir,6giliLDOhG8jpsbOt1k4GM,180°,2016-11-21,0,Chaotic Black Metal
2lhmyXcTnZNMNTPEphB26Y,Spiritual (Live),4Dg2O8TAZiGrygOFbdocWy,Rauhnacht,1Jvq54p6PFE1qus5k8iglO,Soiz,2019-01-01,0,Chaotic Black Metal
5SLLD7mxVxNR2G3QBkJlu1,Intan Mond,4Dg2O8TAZiGrygOFbdocWy,Rauhnacht,4CUCn82GvMcaoXy474zFEt,Intan Mond,2015-03-16,0,Chaotic Black Metal
2krAFZ8tuvH1Jb9c7lijhj,Daniel McGregor,5CNRtUn8bNTx33RGEo7nvA,Frozen Ocean,2pbTG44pYqFxbU5N5rbTEp,Snoises,2011-10-15,0,Chaotic Black Metal
2rP6SIlPApSjg2EuNIOD7N,Goliath,60NhaZmTGP7euQlDDXjmmN,Mutilation Rites,3bkSGRXzsOEKqlolXbIAVJ,Batillus/Mutilation Rites Split,2011-07-12,0,Chaotic Black Metal
5By8Fhnd7IpwqYhO8710IC,Palus Caprae RNA,5BcyC1kDwKjVKc78Y67smO,Jute Gyte,1Pi7wHHo5fgE7kNWSNmRZK,Eclose,2023-05-05,0,Chaotic Black Metal
0aTmJjKqAoMJWktA5OX4UB,Smokey Sceptics,5CNRtUn8bNTx33RGEo7nvA,Frozen Ocean,2pbTG44pYqFxbU5N5rbTEp,Snoises,2011-10-15,0,Chaotic Black Metal
3DjcPFji7QWlm2rjMPbjyG,Hintern See,4Dg2O8TAZiGrygOFbdocWy,Rauhnacht,4UJJxXQdVcY02q57IFx4tT,Hinterm See,2011,0,Chaotic Black Metal
5v75WsC043H5hBO3LND7og,Hessepikn,3GrpEKnBurYtKgc6zfqGI2,Alkerdeel,6myerjDD6aPv1KDy2OLNdl,Morinde,2012-02-27,0,Chaotic Black Metal
4IKLimCo0YnLcANb10AILc,Da Summa - Schneewind,4Dg2O8TAZiGrygOFbdocWy,Rauhnacht,4UJJxXQdVcY02q57IFx4tT,Hinterm See,2011,0,Chaotic Black Metal
6W70r6MRZGZpOLCYpCVtkK,Lose Control,5CNRtUn8bNTx33RGEo7nvA,Frozen Ocean,2pbTG44pYqFxbU5N5rbTEp,Snoises,2011-10-15,0,Chaotic Black Metal
0eV9QQ1yJIoNFYYXw7X6sA,Let Pain Be Your Guide,1Uwe1MbiKnPHAFh3qMWuNp,Portrayal of Guilt,6rI4QJC5BLDTJ6ViehvaF6,Let Pain Be Your Guide,2018-11-16,0,Chaotic Black Metal
7K3ynaKjIyHIUfOmSLBAka,Eerie,5CNRtUn8bNTx33RGEo7nvA,Frozen Ocean,2pbTG44pYqFxbU5N5rbTEp,Snoises,2011-10-15,0,Chaotic Black Metal
0sFuGWJN4uF2XEsnY4HAzJ,Da oa & da ona (Live),4Dg2O8TAZiGrygOFbdocWy,Rauhnacht,1Jvq54p6PFE1qus5k8iglO,Soiz,2019-01-01,0,Chaotic Black Metal
11fivUZ7LfKm5Bk7fl1773,A Darker Jangle,5CNRtUn8bNTx33RGEo7nvA,Frozen Ocean,2pbTG44pYqFxbU5N5rbTEp,Snoises,2011-10-15,0,Chaotic Black Metal
1JLFSqTGKfVQOYm8pnN2hU,Snarls,5CNRtUn8bNTx33RGEo7nvA,Frozen Ocean,2pbTG44pYqFxbU5N5rbTEp,Snoises,2011-10-15,0,Chaotic Black Metal
68sDeyfrSQHCk9jiUvtLQ8,Kimeina,4Dg2O8TAZiGrygOFbdocWy,Rauhnacht,2T6CcvCaBrAt23hEAoVpar,Es dauert neama lang,2012,0,Chaotic Black Metal
3URKXyuXxPtgJTBKC1Hnn1,Seiklus,5BcyC1kDwKjVKc78Y67smO,Jute Gyte,5dcMfcc0HWlX1u0n0TPrf1,Arakan,2007,0,Chaotic Black Metal
0nPadJVOZJOd14Vm1cBVD3,Iwoaswosiwoas,4Dg2O8TAZiGrygOFbdocWy,Rauhnacht,2T6CcvCaBrAt23hEAoVpar,Es dauert neama lang,2012,0,Chaotic Black Metal
0lT6GNk42dx2zdEvIgQm0V,Du Levande,3GrpEKnBurYtKgc6zfqGI2,Alkerdeel,6myerjDD6aPv1KDy2OLNdl,Morinde,2012-02-27,0,Chaotic Black Metal
7lPar6pXvo6Vokpyovmtts,Sovjets Modifiserte,4oR2mkYhQ4dSXHCYAXnx4R,Formloff,0umYlGXplj1jRPeCHtT96J,Adjø Silo,2007-10-15,0,Chaotic Black Metal
2RPPRRCjqT5hfmUx4XM8OZ,Drivin',5CNRtUn8bNTx33RGEo7nvA,Frozen Ocean,2pbTG44pYqFxbU5N5rbTEp,Snoises,2011-10-15,0,Chaotic Black Metal
6kXPBLoVPHNTREdHMemtXd,Advert,5CNRtUn8bNTx33RGEo7nvA,Frozen Ocean,2pbTG44pYqFxbU5N5rbTEp,Snoises,2011-10-15,0,Chaotic Black Metal
6JsIFmSYkQQb1cGGrRvfvX,Iwoaswos,4Dg2O8TAZiGrygOFbdocWy,Rauhnacht,3Fmehi7RhGcZ7mziOR9UIW,Geist,2003-01-20,0,Chaotic Black Metal
6TwF2EO1ED5AzOJRbxqyFQ,OJOM,5CNRtUn8bNTx33RGEo7nvA,Frozen Ocean,2pbTG44pYqFxbU5N5rbTEp,Snoises,2011-10-15,0,Chaotic Black Metal
