track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
1aedZnaKswHCGEx2BxfgL2,Decrepit Minds,0xtMpgCm7txU8kvOEcI28G,Insentient,72UomNctwdsaThmYUERsdI,Remnants,2013-03-21,0,Charred Death
5xXCr0PAhK82OuX0T4NOTW,Breathless Winds,2B3vjpcWI4tTt3kUSq3js7,Mytile Vey Lorth,7uRHwte0EkCk0dulVs039w,Disillusion,2008-10-24,0,Charred Death
09yUp3psTB4zw40Za54thg,Seethe,0xtMpgCm7txU8kvOEcI28G,Insentient,72UomNctwdsaThmYUERsdI,Remnants,2013-03-21,0,Charred Death
332p3ceucIc4RfGHn28ufi,Whispered Curses,2B3vjpcWI4tTt3kUSq3js7,Mytile Vey Lorth,7uRHwte0EkCk0dulVs039w,Disillusion,2008-10-24,0,Charred Death
48cqcjCZyU6wmgkR7yn0tl,Smej se,0tG9NynsGIb7SZIREhLwj1,Noctiferia,3GzMumeyj6EPWGjNhTplfW,"Naredte revolucijo, za Kuzle gre",2020-12-04,0,Charred Death
4opEGqA9NehMPs8mXWOWYY,Rites of Illuminated Death,3oNSSDhJa3dNtMiIvkOnSW,Impious Baptism,44Hm59BM0h5OHeQf0BslnK,Wrath of the Apex Predator,2013-04-16,0,Charred Death
5t0TkwirLIDLCIyEtWhQmV,Hellfire Massacre,3PxKS15jiW9qJ7coiZZMJE,The Furor,6G355k5lr62dnMJcLJFgs5,Advance Australia Warfare,2008-10-24,0,Charred Death
4mUiY88WFECitKvddn9MM9,Awaiting the Vortex,2B3vjpcWI4tTt3kUSq3js7,Mytile Vey Lorth,7uRHwte0EkCk0dulVs039w,Disillusion,2008-10-24,0,Charred Death
5kogouRl0Ocg668vuh3PjW,Mors Triumphalis,6nk6Th7NprvvUCtDDqjwiZ,Thunderkraft,7odasOs2YYhHy0IliCmhT3,The Banner of Victory,2005-11-07,0,Charred Death
4Kq3KUQNILGOxgYX6Dnk8J,Arcane Funeral Rites,3oNSSDhJa3dNtMiIvkOnSW,Impious Baptism,44Hm59BM0h5OHeQf0BslnK,Wrath of the Apex Predator,2013-04-16,0,Charred Death
0sISCOpYQLnYYAFgoVC1wP,Temple of Necromancy,3oNSSDhJa3dNtMiIvkOnSW,Impious Baptism,44Hm59BM0h5OHeQf0BslnK,Wrath of the Apex Predator,2013-04-16,0,Charred Death
36w6IatKoVAAWmOaV9nDTk,Tonight Is The Night,0iZaadR59Jt7z3pPIMKzCg,A Hill To Die Upon,4IXxEO4d0rd4dyG62hSz1P,Wounded One,2005-12-04,0,Charred Death
0w3GClOXfSZqn6gHxRFF0z,Totaliterror,3PxKS15jiW9qJ7coiZZMJE,The Furor,47bBS6ICTHtKuG0MbFQzDn,Cavalries of the Occult,2017-03-03,0,Charred Death
5SwoVCXjegeroR9Sn48s68,All Things Dead Arise,3xVf5q2GfcwILwW0sRGu4D,Angel Dissection,4eeTKGL9kJd7Rieq8NtnUU,Necrogenesis: Machines of Divinity and Dismemberment,2005-01-01,0,Charred Death
5wD1aXgCDJ4FsRK77gkMuK,Divina Maquina,3xVf5q2GfcwILwW0sRGu4D,Angel Dissection,4eeTKGL9kJd7Rieq8NtnUU,Necrogenesis: Machines of Divinity and Dismemberment,2005-01-01,0,Charred Death
5aUwLl2Ihf4bctDZNrhbQa,Mobius War,2B3vjpcWI4tTt3kUSq3js7,Mytile Vey Lorth,7uRHwte0EkCk0dulVs039w,Disillusion,2008-10-24,0,Charred Death
1rvsKoH7sQfy0PhOYzCWLK,Black Humour,4bq4AuqGcrknDf04xMNEYl,Fourth Autumn,6Fivj5VwykMxZ7rcLqyGnq,Mock The Weak,2012-01-23,0,Charred Death
7wcBuVRi2tR1nQaHfipxmd,Abomination,5g4OTP9jgEGbB9msUOte5I,Helgardh,32osAujHTkgpFqHpBWeZ4K,The Black Flame Descent,2014-02-04,0,Charred Death
4E3EOQUfHJBZ9Q7hCqOhwl,Caves of Blood,2B3vjpcWI4tTt3kUSq3js7,Mytile Vey Lorth,7uRHwte0EkCk0dulVs039w,Disillusion,2008-10-24,0,Charred Death
2KXTcSeqluW6XFqWIKhAS1,Wrath of the Apex Predator,3oNSSDhJa3dNtMiIvkOnSW,Impious Baptism,44Hm59BM0h5OHeQf0BslnK,Wrath of the Apex Predator,2013-04-16,0,Charred Death
6SLAvoRrvLSfBc3vweFKna,Season of the Starved Wolf,0iZaadR59Jt7z3pPIMKzCg,A Hill To Die Upon,2knBvgUEKgENW9Wruz0yOD,HXCChristian.com Benefit Compilation,2011-03-16,0,Charred Death
2KXiVgkBpDu5H83Sl3QuWR,Howling at the Moon,2MBZD8FAe9myEScYrFblWC,Mutilated Messiah,3RkNUP76sh44ZL5tZeG8Qw,Total Fucking Slaughter,2010-08-23,0,Charred Death
5Z539bkWcDma8riVbTTBDq,She Who Destroys the Light,2B3vjpcWI4tTt3kUSq3js7,Mytile Vey Lorth,7uRHwte0EkCk0dulVs039w,Disillusion,2008-10-24,0,Charred Death
570tvCqzj65nk8ijxWzrQk,The Might of the Thunder,6nk6Th7NprvvUCtDDqjwiZ,Thunderkraft,7odasOs2YYhHy0IliCmhT3,The Banner of Victory,2005-11-07,0,Charred Death
5mlH5R4SUzS8Rj0s97fsab,Release the Titants Pt. I,3oNSSDhJa3dNtMiIvkOnSW,Impious Baptism,44Hm59BM0h5OHeQf0BslnK,Wrath of the Apex Predator,2013-04-16,0,Charred Death
3BEWhYxfnQ5ZEHSKqqOBt8,Release the Titants Pt. II,3oNSSDhJa3dNtMiIvkOnSW,Impious Baptism,44Hm59BM0h5OHeQf0BslnK,Wrath of the Apex Predator,2013-04-16,0,Charred Death
1LatB4iK6gU5Dc5dSzKXbM,Infinite Acromatic Iconoclast,7wNNSNdtJQKsh2YoMKYjx8,Warthrone,5Zlj3P00PMt58diwcp9d6Q,Venomassacre,2014-03-11,0,Charred Death
0EuxuI2O94Dw7GkSZbBzva,Blessings from the Funeral Pyre,5g4OTP9jgEGbB9msUOte5I,Helgardh,32osAujHTkgpFqHpBWeZ4K,The Black Flame Descent,2014-02-04,0,Charred Death
4OjqSTrt8okmuQhghY8Xi3,"Vocatus Atque Non Vocatus Deus Aderit (Invoked or Not, The God Is Present)",3oNSSDhJa3dNtMiIvkOnSW,Impious Baptism,05KHXMy7kuK6jQr82YpRz2,V.A.N.D.V.A.,2012-01-19,0,Charred Death
