track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
1WtuhwrmV5N4XycakHfzKe,Between Us,0OgdRTPItr9dw4XYp4JJUx,Fit For A King,2Xxkietvt0COre6jAvs6OW,Lonely God,2025-08-01,56,Christian Metal
6f6UcIjhlh3JCi8HVYIzfV,Light Up the Sky - Reignited,6GfiCQDFYANz5wUkSmb3Dr,Thousand Foot Krutch,4x5TeDqa72QQVgBAq5p00s,Light Up the Sky,2024-07-26,19,Christian Metal
2qw9qgcPNCnq18WJLAm83x,Calling On You,6lE1ly8K8H7u8k2ej2plvv,Stryper,4LAVjeUmJl3h3U44sMRrfm,To Hell With The Devil,1986-01-01,41,Christian Metal
0oN8z6RbSKshyC3egmJ9ot,Lux in Tenebris,4dKXrXlEIHVsLjjJGEM0m3,Holy Thunder,72F34PcCbfdRCdUxbJ86sd,Holliest Thunder (The Best of Holy Thunder),2025-06-11,17,Christian Metal
1V3nhpLg5UepiukewU3q6C,Carnival of Souls,2eXM6plUGS4TET0MuIy0hT,Saviour Machine,2ZlkX4MYjpc13hNyCV0CSz,Saviour Machine,2004-01-01,21,Christian Metal
24gsIjAjzMJ6D0Sdc7UzfM,Power of Respect,6wkcDg1ZWTbCGW5cUPdZ4A,Soul`s Cry,7gyMaFyqt8eT3R2QFmsTkl,Power of Respect,2025-10-05,21,Christian Metal
4LMcuLjmdNDsYQlu3B1GSY,Wing of Salvation,4dKXrXlEIHVsLjjJGEM0m3,Holy Thunder,72F34PcCbfdRCdUxbJ86sd,Holliest Thunder (The Best of Holy Thunder),2025-06-11,17,Christian Metal
0VdFJsLHyBZrA5G2R32JIj,Ashes to Ashes,6lE1ly8K8H7u8k2ej2plvv,Stryper,5ReMXko8PPw0Om5O6PZsRy,The Final Battle,2022-10-21,26,Christian Metal
7enwrAn9lqYV46g5hXOPJ6,Titan,0JSfR2jTpDwwPu11K3tzRo,Micah Ariss,1AO5sZvkbSaZyv2cq5QhYP,Titan,2023-11-17,31,Christian Metal
1CNnvWXstr1uLgm7oS5kRn,Tandem Dimissi - Remastered,4dKXrXlEIHVsLjjJGEM0m3,Holy Thunder,3toD2UkNYv1qKsYrbcHetb,Liber Exodi: Servitus Aegypti (Remastered),2025-05-30,17,Christian Metal
2nkA5H4RB8lzWc3xRmEbBd,When Angels & Serpents Dance - 2022 Remixed & Remastered,6KO6G41BBLTDNYOLefWTMU,P.O.D.,0CjJ3F1RJfx7IH003BpCZ9,When Angels & Serpents Dance (2022 Remixed & Remastered),2022-10-14,40,Christian Metal
0Ym47ZB4UNa5DUGHnaW3hc,Aqua Contradictionis,4dKXrXlEIHVsLjjJGEM0m3,Holy Thunder,72F34PcCbfdRCdUxbJ86sd,Holliest Thunder (The Best of Holy Thunder),2025-06-11,18,Christian Metal
1pGjlGkksd0Cda3h1WtSYe,Falling Apart,1AwgzbRMGMwExrORY0Levk,Set the Sun,6mwecwuFQweVa6OKUChOBj,Falling Apart,2025-02-07,38,Christian Metal
02KS93L0i9PxtP17FAfDCN,Counterfeit,0Z88iXWc4YVhtu1eFtsGk6,Wolves At The Gate,6L8gLKCluioceYP7WNmcol,Eclipse,2019-07-26,36,Christian Metal
0FICAcXmIfEb2sJqXu4jae,In Spinis Et Sudore - Remastered,4dKXrXlEIHVsLjjJGEM0m3,Holy Thunder,3toD2UkNYv1qKsYrbcHetb,Liber Exodi: Servitus Aegypti (Remastered),2025-05-30,20,Christian Metal
0PEiRgBtYPpqUJJS3PhlGc,Ascendant Majesty,4dKXrXlEIHVsLjjJGEM0m3,Holy Thunder,4z1eVL3zMmVmhrhuNwRatY,New Testament,2025-10-10,6,Christian Metal
0l9wePi3meE2BwgRjEtEhB,Not Gonna Die,0JSfR2jTpDwwPu11K3tzRo,Micah Ariss,1a5B2LiulHFjUdQCVpb0DA,Not Gonna Die,2023-07-07,31,Christian Metal
1DiBsi6wIgUaXPEerMvW6k,Healer's Hand,4dKXrXlEIHVsLjjJGEM0m3,Holy Thunder,4z1eVL3zMmVmhrhuNwRatY,New Testament,2025-10-10,6,Christian Metal
4t8OmZERfkdkRr4aoYa2h1,To Hell with the Devil,6lE1ly8K8H7u8k2ej2plvv,Stryper,4LAVjeUmJl3h3U44sMRrfm,To Hell With The Devil,1986-01-01,45,Christian Metal
1aS8IBaxchEzl6KNFM95Zy,Infantem Salvatoris,4dKXrXlEIHVsLjjJGEM0m3,Holy Thunder,72F34PcCbfdRCdUxbJ86sd,Holliest Thunder (The Best of Holy Thunder),2025-06-11,21,Christian Metal
1UJGgtUFroQf5DK4jVMJnZ,Light Up the Sky - Reignited,6GfiCQDFYANz5wUkSmb3Dr,Thousand Foot Krutch,16MNeZcjwtkgTEFhzH8uWH,The End Is Where We Begin (Reignited),2024-07-26,30,Christian Metal
4PBUOEpfL9mLr45gu6Fm6p,DEFILER,0JSfR2jTpDwwPu11K3tzRo,Micah Ariss,6DN1T34dHix3z031bSgWAr,DEFILER,2023-02-17,41,Christian Metal
