track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
2QfBWd0pJHeUG8wDPb86L3,Vertiges!,1bqmwMcAxDXblwyNbRIFvW,Gergovia,5ZaI1ynADSOTrOFneKXjOy,Marcher sur les ruines,2018-03-16,0,Cryptic Black Metal
4IqoKxNOsqXObTMscO7YtT,Alpha & Omega,1bqmwMcAxDXblwyNbRIFvW,Gergovia,5ZaI1ynADSOTrOFneKXjOy,Marcher sur les ruines,2018-03-16,0,Cryptic Black Metal
1VyAXsYKXPumywlij2WAoz,The Beckoning,1E25g6EekJGedbT6rJ6ZD8,Enshadowed,1odvhAYPSVxl9eQkHrAANf,Messengers Of The Darkest Dawn,2002,0,Cryptic Black Metal
1ll0K1BFhjrBPTQc3lGXOQ,Dark Moon Ritual,7bRcwotXajxSlWvRDoH2RQ,Funeral Throne,3u0UHW21yHKqtJHGDNJxNI,Nihil Sine Diabolus,2012-03-12,0,Cryptic Black Metal
5RQHZSvG3VBtT8iohFBnuA,Driven to Heretic Release,5lUk93KJoo8usPGBTvJw42,Wargoatcult,7pSYhjCe5jnEaXgAeTCQX1,Wargoatcult / Xerion,2012-03-12,0,Cryptic Black Metal
6I2hBYi5eJ3dxWTiNIKyk3,Conjuration,1v6EiICqLoKx76UtXgIr62,Funeral Goat,02W941knxmKON9l31WQzbu,Mass Ov Perversion,2009-11-15,0,Cryptic Black Metal
4ng6JEjTY4SpgH3Oe23I4o,"Haine, obscurité",1bqmwMcAxDXblwyNbRIFvW,Gergovia,5ZaI1ynADSOTrOFneKXjOy,Marcher sur les ruines,2018-03-16,0,Cryptic Black Metal
5HIgmmLnI4ZcaJQqtATHen,Unis sous la bannière,1bqmwMcAxDXblwyNbRIFvW,Gergovia,5ZaI1ynADSOTrOFneKXjOy,Marcher sur les ruines,2018-03-16,0,Cryptic Black Metal
3vXGz1tl9BBJgjWEPMXrDM,Sublime vermine,1bqmwMcAxDXblwyNbRIFvW,Gergovia,5ZaI1ynADSOTrOFneKXjOy,Marcher sur les ruines,2018-03-16,0,Cryptic Black Metal
1NEPTixKvuKQYiTXbqen6Y,Ethiques abrogées,1bqmwMcAxDXblwyNbRIFvW,Gergovia,5ZaI1ynADSOTrOFneKXjOy,Marcher sur les ruines,2018-03-16,0,Cryptic Black Metal
6UgAtTLiJQVqDa23pyKPra,Macabrum Bestia Ex Abyssus,29LbG6Qz9GorZUIzEW7csp,Bleeding Fist,4fawMsTNQsKr98n7ikzJXq,Macabrum Bestia Ex Abyssus,2010-04-13,0,Cryptic Black Metal
