track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
2kpxaWPxzp9ee6eiSxXT8p,Second Suture,6fJTyAeSgv4A1LR9LamLnY,Chemlab,420IN1wqFVZXBHxkxQatGj,Burn Out At The Hydrogen Bar,1993,0,Cyber Metal
2qYUjSFwX8JlTNALqdbXaE,Ghost Level,6DXGR8jyizbhq32c22FZvZ,Punish Yourself,3KoRNfEzb6LlnQZrjSFT05,The Curse Reverse (Original Motion Picture Soundtrack),2023-10-31,0,Cyber Metal
00FEMwoSHQIFbtIuE3bhGD,Final Suture,6fJTyAeSgv4A1LR9LamLnY,Chemlab,420IN1wqFVZXBHxkxQatGj,Burn Out At The Hydrogen Bar,1993,0,Cyber Metal
1diIh10V1YjkIPr2fYg7vJ,Fourth Suture,6fJTyAeSgv4A1LR9LamLnY,Chemlab,420IN1wqFVZXBHxkxQatGj,Burn Out At The Hydrogen Bar,1993,0,Cyber Metal
4mhdxGpbiita8k1Eur1fo7,Dhusar Bypass,385Ahv63mqyYvrhcDqoKxL,Ananta,5I9BaGklxhYOf46u9glWPv,Traffic Jam,2010-02-25,0,Cyber Metal
3MzQUe8ZVxV2lEIc3hmjLA,Dead Hills,6DXGR8jyizbhq32c22FZvZ,Punish Yourself,3KoRNfEzb6LlnQZrjSFT05,The Curse Reverse (Original Motion Picture Soundtrack),2023-10-31,0,Cyber Metal
7GKO08cfXIQMKsuMl81HA3,Suecide,3YGigudQiWDb5NdJOC5StS,Alec Empire,4rHtOrTAbxmaosxwaK45Aa,The Geist of Alec Empire,1997-10-27,0,Cyber Metal
6DEKACVyQjhSCQbQZdeN8x,Baby Nach Nach,385Ahv63mqyYvrhcDqoKxL,Ananta,0NZwHZBmj0LWvOAoNvBct0,Baby Nach Nach,2020-06-28,0,Cyber Metal
720kmWlopuYX90bVROsU7b,Second Interlude,76jtvMMtVPVFzhGZ2iccKS,Zuul Fx,13jMNtFiaVTt1DQhVWdW8a,Unleashed,2012-11-12,0,Cyber Metal
3iIJ7cJ8EYiVYIGfcluxG6,No/Why/New York,3YGigudQiWDb5NdJOC5StS,Alec Empire,7LyYwhJXGCD3ELya4efo0L,The Golden Foretaste of Heaven,2008-01-21,0,Cyber Metal
6ihI0Qgh3h0TtOuhkis8IA,If You Live Or Die,3YGigudQiWDb5NdJOC5StS,Alec Empire,7LyYwhJXGCD3ELya4efo0L,The Golden Foretaste of Heaven,2008-01-21,0,Cyber Metal
