track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
1hovxfyCadaCQK3I488Uay,Into The Void,7B852Oo1zRc7deBBJkZ8Nq,With All My Hate,5lqE0xUn0kXUljzOpP5ZfH,Dehumanized Depths,2018-09-07,0,Death Metal
0SANjSNJRwOEzKPTcT2zkq,Persistence,5JgHSVq8O8v7iQW3soUcqp,Chris Straub,4Ig3bpyPM3tiBQrfaG0owd,Event Horizon,2017-02-02,0,Death Metal
1l0XrhG3AqLePQbQR2NOs7,Pierced By Spears,0p2Fowf3zTGGV9TPnUYmBi,Sanguinary Execution,1nTNmO3QNjb7aTyFFN0EId,Infinity Space of Barbarity,2014,0,Death Metal
1Wpnali43QwElxEzbgAaeU,Desecration of the Reviled,4PLoj18VkKGpw26LPBRQyO,Visceral Hatred,4ghjen6BwlbfiVnJEvoojU,Lair of the Deceased,2015-08-25,0,Death Metal
7o1oCfJcVCWYQnrvZ7a2Gk,Bordeaux Fishnet Strangulation,72p9ulj72dl7By7lbw9iv0,Grunt,2oJbLarUaxrVzvIQxHA2G2,Scrotal Recall,2011,0,Death Metal
4mCcPw0rizZNR5r6O5czGj,The Seven Gates of Hell,40JfSGPWN0XrErLb4eEjIe,Preludium,2d06zfEbsP26RoIXlLdt6y,Redemption,2014-01-05,0,Death Metal
4lx20kqc5eqwhCufDkfrwe,Hellchild (Venom),1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,1CiUKwNSTtgFheJ5ci3eXH,"Devil's Congeries, Vol_ 4, Vol. 1",2022-02-23,0,Death Metal
4mBFVRSR15w66oRcDFChMP,Fallen Mankind,5YkszFFUxFCuM8L7bwtJ5E,Fall of Mankind,0e8NhycsVdwbG4hy9eGQ47,Frolic Among Remnants (Studio),2012-02-09,0,Death Metal
5fO1dGigYgtBclbv41yyS5,Perceive The Revelation,1R5a1oBn8chZQ6m1AKq3ZG,Obsidian Chamber,5IzOYNIzpE8siwXEeWSzWC,Der Gesang der Fliegen,2010-11-15,0,Death Metal
4gTD1UPDjNs1rEybXc4qs6,Los Mensajes de los Sabios,6xDwF8c7gf7a1Cji9b9dqL,Crossing Death,6mngxGEhazXrChzv4RghGC,¡Todos Tenemos el Mal!,2018-07-30,0,Death Metal
7hMftbrynDWfuZ4lYoNai2,Scorn,1iEAVL4TaSq1KhKSzEo42x,Collapse NR,0RHgKR5cjb6IDclVDuzZQi,Faces of Exploration,2003,0,Death Metal
4Lh6EgzE29tNJNuxKl01Bj,Rancid Fetal Stupor,5Yr8G8dJ1chhrNdgKdtRu5,Crash Syndrom,1gvKdpRhDkk45GYbJLzbQB,Postmortem Solutions to Mundane Issues,2019-11-08,0,Death Metal
4UnL0PMyhvF5g858E6fME7,Putrid Distension,2j5aEC28SlOLYBSn4UyPJe,Colonize the Rotting,2fE8MFwMcMKr2TLweNFLj4,Composting the Masticated,2010-07-26,0,Death Metal
2swjhqgFfrB6PmN8Qfy87B,Dismembered Unborn Species,2x0g8ynzsIZARjOCXhHJ45,Cenotaph,19uDjJZ4e1kSvXWYsoHSWi,Perverse Dehumanized Dysfunctions,2017-06-08,0,Death Metal
4Y6ye84ztUwkiDMBBd4VRU,The Truth Appears (Bonus),79Zxs7jzzD0sCwnYOUCKGx,NervoChaos,1Ib0s8T8iSANaum4FDV8Oe,Legion of Spirits Infernal,2002-09-07,0,Death Metal
5cXUwvhdBBsz0yQyPlnSzK,Ominous Maelstorm,2pvDpRWrpTlplPGUNUhW3T,Decomposition of entrails,6gXaszOrjg3vhS6f4lpsp6,Abnormality,2019-05-30,0,Death Metal
4BKCKk93okd2OhrD81rkqI,Nasa,7jvrJRvIsPPiDvFoqOyCRp,Karnak,7aBjpkT2i8Qc3xyuuB11zt,Karnak (Music From the Advanced Egyptian Dance by Hilary Thacker),2003-05-10,0,Death Metal
4w9nfmZXWu7sfvycXDc7bw,Destiny of Mortals,40JfSGPWN0XrErLb4eEjIe,Preludium,2d06zfEbsP26RoIXlLdt6y,Redemption,2014-01-05,0,Death Metal
5kss4C7n1EsdTxvPcBKXg8,Worship from Chaos,4O1pz87CPmTQe7Tnvs035U,Throneum,7t93t3NsYeOqwrYVyWUMU5,Mutiny of Death,2009-01-01,0,Death Metal
2jrrrrjVg9pQx8OE6ujKW5,Fatal Injection,5NazxCZPdXmiNmDzds3TOs,Incinerate,2Wx0L9YSb2RZZrda8tj8QS,Amazon Violence,2016-02-26,0,Death Metal
5EDdGHyfUYpaaKH9A9A8ah,…,0hJpVvmH5NVd5IlKZnOqf8,Ogre,0FCUZbSTPdAuVyvJHUFhBW,Bastards of Death,2014-05-16,0,Death Metal
3WEP2YgIiXfTmPui1CUrS5,Moribund in Acid,0p2Fowf3zTGGV9TPnUYmBi,Sanguinary Execution,7ngsCnq0zW7VSECRsPVu06,Infinity Space of Barbarity,2015-04-28,0,Death Metal
41W5OFylTXFWU4dr4RvieG,"Split Face, Ripped Jaw",3W2qIxkXy5yogyAPJc66hk,Vile Reflux,5ZUELjCJe1YM0rLo8OUHBs,Flesh That Remains,2022-11-25,0,Death Metal
44F2IYd0gwxvVwdTe3Zq1b,Carpet of Death - Live,5JtWPWAjs2aNtwNZVT9fCP,Infantry,2t9Lb9MintW5qlyt4khn7I,Infantry Live at Zaanradio,2019-04-25,0,Death Metal
59TzQd2IOxrFSVTk44n3Qw,There Is Only Suffering,3layB2Iva8sDLyPuXA1Q1i,Resurrected Divinity,4ffmEmCTGj4oiyvN4wBGVA,Saint Isidore And Moses The Black EP,2021-02-26,0,Death Metal
0F1oznoBqknOYWve913bk9,Thorns - Videoclip,1IKoSYIQh0RKXO9Dn42Nco,Elarmir,1ebuwvoHovnOhdMGPhnaII,Thorns (Videoclip),2015-06-08,0,Death Metal
5oCrlwybLCBqazf2WVrz5u,I Stillhet Jeg Observerer,0W8Mqh61lbcUKKMpJdSGK5,Old Memories,0ZCMPqfouN8N7z0Ql682dL,Prelude To Oblivion,2006-01-01,0,Death Metal
5X7HdDSgVCHjONMQ8g898X,Fecal Strike,4RzCDV425a9hr9t17bn06M,Meat Cutting Floor,0ZoDBowqFD5cFRb9Lfv3fu,Fecal Mess,2020-02-22,0,Death Metal
5S66lDezVXdyBLisMsnygR,O Céu dos Imortais,721S4Jm7WkxZYdm1R9GvRd,Aratrom,6h4nBRM4MIXVpPr9wGJgmG,Aratrom,2018-07-24,0,Death Metal
6td2dzWgAeE8trnz8bcfy6,The Human Temperament,4PB1uCg9f8xpUwLHZPGRqQ,NYN,5vNTzMZuK7s1dGt8aK9uat,Eventuality,2014-11-18,0,Death Metal
6zdIWPrby1jc5UgSPrFGky,Io resto a casa,12xXuELjpaEKyO1NhzQXe3,Marcio Dentro,6cMXdHRdglXTXwYzNjFBLS,Marcio Dentro,2022-03-01,0,Death Metal
0yWrcsFcb9iYRVtPksg1Oo,Alien Voodoo,3qgDNjtb9JGH9eRKaaDLFk,Dustin Behm,2wlGykZmQD6enV74Q2b3FP,The Beyond,2017-11-24,0,Death Metal
2O17KJ5Cqr1eBdnu0YzZXN,Individual Collapsar (Instrumental),63IEFaTELseyFxaVyn2US2,Bleak Flesh,4LBQqMpr0wbUXbYz89hfB7,Transcendence,2014-07-19,0,Death Metal
1uMBgrH1azFzMjfkKIHX7R,Chthonic Dreams,6W6yM8NH6UPvCqvDdXjxr2,Jumpscare,3i0Igj09in89R7wSJfZZVy,Chthonic Dreams,2017-01-11,0,Death Metal
6SxqDME2V1xbH42hobCHj2,Hatred Believers,0MgjDpco41ENdq3NbQZlYR,Incinerating Prophecies,1w59fIC3lTKGJV2287ADE2,Depravity Incarnate,2015-10-06,0,Death Metal
5KxOPi6uccgwsSOX0KmDMP,Dragged Back Through The Portal,3SQUasxvFIM53x7BwnTKth,Torturous Inception,2jujs09vJu7Y5Hbo9vU8DE,Arcane Dominion,2018-12-07,0,Death Metal
4coRSiM5XnMnMH8YZiVpmV,Forced Urophagia ft. Chris Butterworth (Crepitation/Kastrated),4gIdHWHTZSG4M6o8uic2Wy,Visions of Disfigurement,3hGLEfj9Vbq0BWGoGK7qGQ,Abhorrent Extinction,2017-02-10,0,Death Metal
