track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
1YQjiAUMVIXcz5228Cl866,The Lycanthrope,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,5aqJi4gGhBZUpBT84pghXc,Angelic Dread,2014-08-01,0,Deathgrind
6voDwksbcaCd5vT618j3cw,Kill Your Enemies,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,7mwE3SToR4Lzc44AcdSoIH,The Devil's Congeries - Volume 2,2017-07-07,0,Deathgrind
16dYuXwArcPpt06F8thFWM,Infernal Haemorrhoids,3bzISJ3UGyiruXiRHv53t3,Avulsed,4XHCUQmeI9kyFcZuooWOR0,Gorespattered Suicide,2005-01-17,0,Deathgrind
4vWYr2vyHSfyl8LPxkXjag,Profound presumption,1r4fPL9li0lWp4aVlHHkYL,Inhume,5Fk4piSlctGwVGAZHIZNq3,In for the kill,2003,0,Deathgrind
7MQ18CNiF1JGAWidaAhZOt,"Mother, Cunt, Whore (Rehearsal)",1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,7mwE3SToR4Lzc44AcdSoIH,The Devil's Congeries - Volume 2,2017-07-07,0,Deathgrind
6n4rVMETVCrsBTWQ7WFZCz,Fuck The Bastard - Live Feb23rd 2017,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,6FoXZjJexQoNhOQzq32dWU,Split with Hatevomit (Live Feb23rd 2017),2019-04-10,0,Deathgrind
2WhEDhC3JtAtdI658lcVaz,Spinal Extractions - Studio,6hR8mUd2yyHFazoCuweiIJ,Autopsy,388vEYrRTwy8T93VI9Ecep,Torn From The Grave,2001,0,Deathgrind
0jqJQbA6hfGNFhKiSkheB4,Fiend for Blood,6hR8mUd2yyHFazoCuweiIJ,Autopsy,0IiPHHELZSfSlD34JiMvx8,All Tomorrow's Funerals,2012-02-20,0,Deathgrind
5uBRT0VM4rEn6xryppJrUD,The Dead Plague,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,77Yt00F7kFKvacP9GXMGJo,Waiting to Kill Christ,2012-10-15,0,Deathgrind
41FJoslaiKtaDOSZ6TdakA,Fiend for Blood,6hR8mUd2yyHFazoCuweiIJ,Autopsy,0XQgv0BaqYOVNEzf2Y6TPv,Shitfun,1991,0,Deathgrind
4Ox17i5K2t4J3IO8kQW4Jm,Kill Your Enemies,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,4W5K9Z6qFpBoIbhu014kOz,"Devils Conjuries Vol_2, Vol. 1",2017-08-15,0,Deathgrind
6DuVOkOuoEjlNs5mVhaOH5,Phantom,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,4e8jo5G3wpEmCOluDBvti9,Eastern Illusion,2021-04-10,0,Deathgrind
6XblUZu0N2n89hSRDiyHy5,Brutally Mauled Human Remains,0QqK09WDPiTSGWhmsbHHyF,Hemdale,6LHHknjR6CMhKDxmb6AnBd,Rad Jackson,2002-05-14,0,Deathgrind
16nNG2YEetV3Rz9vAyafaB,Raid the Convent,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,2Vm9indJuGu0KfSfGZE87V,Terror in Chicago,2018-05-12,0,Deathgrind
05fchnGkeGFrNpqIgrgerk,Phantom,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,7mwE3SToR4Lzc44AcdSoIH,The Devil's Congeries - Volume 2,2017-07-07,0,Deathgrind
2CoMzirIRM2C9LmpMYwaTZ,Power of Darkness,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,3yLWN09dary5MAYG7hn1Fo,"Devils Conjuries Vol_2, Vol. 2",2017-06-15,0,Deathgrind
5PAvLALPrqlxV4SsgGAsQR,Inner Beast,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,6k4NC84wvw8zHFeHaOqCdM,Angelic Dread,2014-06-24,0,Deathgrind
2ZFxXmHlO6fOnVxZPTvxgV,Zombie Armageddon,1Z3vhCAL0qaIPoEKg04cPr,Feastem,7HFlh8XXD9LqNa5Xgrpn9J,Fear In Concrete,2008,0,Deathgrind
1ZUKyH63qc1vufcnC1InFJ,I.N.R.I.,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,7mwE3SToR4Lzc44AcdSoIH,The Devil's Congeries - Volume 2,2017-07-07,0,Deathgrind
2NakWvfZr3YdBgKjIojlqU,The Green River Murderer (He's Still out There),2lbJzDX11fy6cLeFtlkUA8,MACABRE,14aPq0WwLEEwNQqnBNUfG0,Gloom,1989-01-01,0,Deathgrind
4LOVHGXYKl04KAShbpM2YD,Black Horn of the Ram,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,5aqJi4gGhBZUpBT84pghXc,Angelic Dread,2014-08-01,0,Deathgrind
7d0KMU6Ygd67LyrUz4flow,Hell's Unholy Fire,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,39DpffBIOiGzwm3K7PnPf9,Demoslaughter,2011-05-10,0,Deathgrind
2JfjqpetikdCMStN0KkjHe,Power of Darkness,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,7mwE3SToR4Lzc44AcdSoIH,The Devil's Congeries - Volume 2,2017-07-07,0,Deathgrind
4sLaXsrrtJI46ni3sXtv3f,Burn in Hell,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,7mwE3SToR4Lzc44AcdSoIH,The Devil's Congeries - Volume 2,2017-07-07,0,Deathgrind
7vP03WcuuEvAcE3VSNwjeU,Face of Evil,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,39DpffBIOiGzwm3K7PnPf9,Demoslaughter,2011-05-10,0,Deathgrind
1EOlUwEi3XeVcWDGq8vH6D,Ouija,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,4e8jo5G3wpEmCOluDBvti9,Eastern Illusion,2021-04-10,0,Deathgrind
7BpIejlCF95YjoTBeOcvYA,I.N.R.I.,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,3yLWN09dary5MAYG7hn1Fo,"Devils Conjuries Vol_2, Vol. 2",2017-06-15,0,Deathgrind
00grQWVRJbRtphQn1VxADm,Cheeseburger,4tR5IWEPVvHGz7EQMNqz6w,Venomous Concept,5EHFyWWdYdCV5MfRmh48uw,Kick Me Silly - VC 3,2016-01-08,0,Deathgrind
73mOLBRReXA2D6ETFtScOY,Raid the Convent (Live),1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,1J5ZnOCPgiy0MVE0uZ3cW2,Goat (Redux),2012-10-15,0,Deathgrind
541DZ9Jqzkzf3icEkEw0Dv,Blasphemy of the Flesh,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,39DpffBIOiGzwm3K7PnPf9,Demoslaughter,2011-05-10,0,Deathgrind
4UACmBf9gMMnDgGUotOnb3,Blasphemy of the Flesh,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,4W5K9Z6qFpBoIbhu014kOz,"Devils Conjuries Vol_2, Vol. 1",2017-08-15,0,Deathgrind
5ie1GnrAXuWPUzlAK90LV1,Power of Darkness,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,39DpffBIOiGzwm3K7PnPf9,Demoslaughter,2011-05-10,0,Deathgrind
1m95y5NEOOYL8S7G3McYjY,The Lycanthrope,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,6k4NC84wvw8zHFeHaOqCdM,Angelic Dread,2014-06-24,0,Deathgrind
25RIG7J73o8P4rhB9udPAk,Driving out the Demons,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,7mwE3SToR4Lzc44AcdSoIH,The Devil's Congeries - Volume 2,2017-07-07,0,Deathgrind
5YpdJ8MGCdY7WAkaVzQYDc,Fire,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,3tRPaqYpYCID18oIpTotkx,Radio Damnation,2001-04-01,0,Deathgrind
3sw6r7B9Cu23bUUcR4xjZg,Cryptic Aeon,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,4W5K9Z6qFpBoIbhu014kOz,"Devils Conjuries Vol_2, Vol. 1",2017-08-15,0,Deathgrind
7gdJIruWO5J6Z2ozgsGXOl,Pyre,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,4e8jo5G3wpEmCOluDBvti9,Eastern Illusion,2021-04-10,0,Deathgrind
2dwq6VH7lMB9OYHnoBoF0P,Impale the Soul… (Seven Inch Edition),1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,7mwE3SToR4Lzc44AcdSoIH,The Devil's Congeries - Volume 2,2017-07-07,0,Deathgrind
2aRQaNQbJqOJnWJ4wmMyKz,Puke on It,7pL20gpmXwB8GB4zoj6sTb,Putrid Pile,6d07Zh0LI9FNbqbY9zFCz8,Paraphiliac Perversions,2016-07-22,0,Deathgrind
0yn9KTEC2MYGk1zlCxTVGA,Venereal Warts Pt.3,7lCHkZBVxQ0eNkhGTcDT7l,Impetigo,3cC3wOsy75HHlrk3ESSSB3,Ultimo Mondo Cannibale,1990,0,Deathgrind
40JvLthm6fbzEbPUH3UlJq,Senseless Deaths,1JhutPzdw87e8SNnRUA05U,Suffering Quota,4kbRvP6ziYagbQyqiyQDc4,Split With My Minds Mine,2017-05-19,0,Deathgrind
71T0dYrzP9c31AHNg0EUlg,Spinal Extractions,6hR8mUd2yyHFazoCuweiIJ,Autopsy,4oKxxkfIQIG1v4NxuSbg4K,Acts Of The Unspeakable,1992,0,Deathgrind
0u9O7N3AUf89EOZhHmjp7s,Black Horn of the Ram,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,6k4NC84wvw8zHFeHaOqCdM,Angelic Dread,2014-06-24,0,Deathgrind
7G4L0uBLREn0f3yULwdpMD,Forgive me Not,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,2Vm9indJuGu0KfSfGZE87V,Terror in Chicago,2018-05-12,0,Deathgrind
4khKDgtpB81S9wkUCBixK9,Blasphemy of the Flesh,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,7mwE3SToR4Lzc44AcdSoIH,The Devil's Congeries - Volume 2,2017-07-07,0,Deathgrind
34R1QBCe5WWGsrzGbspPPa,Church of Disgust,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,39DpffBIOiGzwm3K7PnPf9,Demoslaughter,2011-05-10,0,Deathgrind
3D7aJ3z5hqNzDE6eZEBYSI,Satanic Slut - Live Feb23rd 2017,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,6FoXZjJexQoNhOQzq32dWU,Split with Hatevomit (Live Feb23rd 2017),2019-04-10,0,Deathgrind
2RKwCj3MGyE5dAQ1eNffYg,Introduction,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,3yLWN09dary5MAYG7hn1Fo,"Devils Conjuries Vol_2, Vol. 2",2017-06-15,0,Deathgrind
6I3GvJxI5G0omht0RBfZQM,Triumph In Blasphemy (Interlude),66AXpP038gUcoKVQoO98Fz,Incantation,4swdsInDQFtV0FDYttru56,The Forsaken Mourning of Angelic Anguish,1997-10-14,0,Deathgrind
5M9UPUp4IaL2sHCJZbI6qt,Impale the Soul of Christ,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,3yLWN09dary5MAYG7hn1Fo,"Devils Conjuries Vol_2, Vol. 2",2017-06-15,0,Deathgrind
0tcqRLXck3xLM0L30RBouC,Vengeance Is Mine,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,5Nw6GvmLNPR4QAMgZN1Nyd,How Cold the Grave,2007-11-09,0,Deathgrind
7Cwp2N1FlSk75BZlhImkDf,I AM Death,1RRRmpSvStg4uN6uAZRyGQ,Nunslaughter,39DpffBIOiGzwm3K7PnPf9,Demoslaughter,2011-05-10,0,Deathgrind
