track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
061jWhzFGVcvKPNBtY5mee,En Studie I Ensamhet,09aw3gnToErDJskyvUQZqb,Svartnad,3UtltCvr62Eb3y0nlS9Vjy,En Studie I Ensamhet,2010-11-26,0,Depressive Black Metal
2cHS5FL5N8bepYfqsvrBT9,Martyren - Live At Kongen,51uatChKbaTVHcbjSsKJ2J,Dysfori,0sSdB8bk6EMgJThgKD8QiD,2014 - 2019,2019-12-31,0,Depressive Black Metal
5PfVNbSHIcSBrsVomd0NpF,Farväl - Live At Kongen,51uatChKbaTVHcbjSsKJ2J,Dysfori,0sSdB8bk6EMgJThgKD8QiD,2014 - 2019,2019-12-31,0,Depressive Black Metal
03R5ugtZLUg0fpPqsbHrcO,Rejection Sensitive Dysphoria,6nOkQXU6ie6mdbAvWscB6n,Striborg,0WFdcbeYfW4c2Wm3RcD93n,Rejection Sensitive Dysphoria,2022-07-13,0,Depressive Black Metal
0cK5qbWXM5UfR3Hxumk1qB,I'd Like to Love You,1CeLoiQP06rvY7hsigyTvU,Emptiness Soul,0eD5ajl31hwLFqrsgRBl9w,Three Days,2014-02-05,0,Depressive Black Metal
3Ds2sXPLHVFelZziL3fHaP,Cele Kula,1LRSrnpRGf9Js2hOGyYrRJ,Abisma,6nBwVFjpOK35cWxd2w3xNT,Cele Kula,2019-02-25,0,Depressive Black Metal
6faZEx1PWeZWCOZjX8CL5a,Together Forever,2a5TXO7wVd4ukIIXks0l5R,Melancholic Despair,2C8XM26VnsrUWHjipfmZkl,Everything is Horrible,2017-09-01,0,Depressive Black Metal
3UqaOpdZvW8GOXx3mC5NpH,Nattvandraren (Demo 2015,51uatChKbaTVHcbjSsKJ2J,Dysfori,0sSdB8bk6EMgJThgKD8QiD,2014 - 2019,2019-12-31,0,Depressive Black Metal
0IBbRTENw3iNnef3aEaTKI,Hiljaisessa Syvänteessä,6cvfJNOW4ZAMiSVLEbeP8P,Kalmankantaja,4oGqBhpceylpyFtlpdSNFP,Musta Lampi,2017-03-21,0,Depressive Black Metal
0hAWayYlYfunHf5d0i7oIU,Gränslandet (Instrumental Demo),51uatChKbaTVHcbjSsKJ2J,Dysfori,0sSdB8bk6EMgJThgKD8QiD,2014 - 2019,2019-12-31,0,Depressive Black Metal
5eVDTZZevQS8VrL7n7BAXg,A Constellation of Souls,0V64SCG2MtfQEeTxkkZW27,Elysian Blaze,4OFhdEhIcM4lMT9UcYEGnc,Beneath Silent Faces,2009-12-15,0,Depressive Black Metal
4ugA5kz0doLXmNyopE3OFO,Radiosendung 5,60hOd90CQglmxfBYSO7dqV,Bethlehem,4Jy70ZugthYb6BiPAhp25n,Schatten aus der Alexander Welt,2001-10-10,0,Depressive Black Metal
5UyJGPe2MciO34xOzp6jeb,"För evigt, och aldrig mer...",51uatChKbaTVHcbjSsKJ2J,Dysfori,0sSdB8bk6EMgJThgKD8QiD,2014 - 2019,2019-12-31,0,Depressive Black Metal
2ZxVZiqB2ss5Sbcq0Q39W7,Choking on Life,73oNnRzTp6w592nLmbEObZ,Born an Abomination,5XGmjl7lzotxVONRvMZkOi,2012 nostalgia,2013-11-12,0,Depressive Black Metal
4JIAwzPeiSREX5BbmbFfsS,Being Dragged Deeper in the Dark Abyss,6nOkQXU6ie6mdbAvWscB6n,Striborg,0N3APmO2TxNqgckMtiA9B6,Deep in the Dark Abyss,2022-06-19,0,Depressive Black Metal
