track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
7rEccNrkUcT8636XhlJKzU,knowledge,71Zhc9ni7EZ1XXLtJFfUAm,Clouds Above,3m9wz1fqDhxxs4l7drDq47,Echoes of Possibility,2021-03-31,0,Djent
6xHuUTXSMCegPsr6WfIpWg,Insatiable,1L5wOOlROCrfgLM9WGFD48,Starcutter,2jcjaR7rPwuq5ndFtgO6Gh,Insatiable,2014-02-07,0,Djent
5qvsgIbusVngxDNXGIDNRm,lotus eaters,71Zhc9ni7EZ1XXLtJFfUAm,Clouds Above,3m9wz1fqDhxxs4l7drDq47,Echoes of Possibility,2021-03-31,0,Djent
4FHaGoRDfRWeqA5IcKAFGv,significance,71Zhc9ni7EZ1XXLtJFfUAm,Clouds Above,2VEDE8i4k1UTxal2myedtn,Time Flies,2021-02-01,0,Djent
1alTYvkQAmWvfwzbjFnsjr,"Depressive, Pt. 1",71Zhc9ni7EZ1XXLtJFfUAm,Clouds Above,5RFh9YHTgalgHzXzBmxz7T,Manic,2019-12-31,0,Djent
4eeLcgPG1n9r4Zv8y9PYaR,Full Circle,71Zhc9ni7EZ1XXLtJFfUAm,Clouds Above,00K4wSNj2iNnDBgYBop10L,Full Circle,2020-06-21,0,Djent
35i9imesOBp5z8Qdk4wjEY,Colossus,66Dl4us4jTzk84vzy2cChH,Failure of Milk,2uIZEDr34RKN7g94Nhi0aq,Automaton,2019-10-08,0,Djent
6RXBhjHnYkOkSDdl1wnIua,An Emotional Can of Whoreworms,71Zhc9ni7EZ1XXLtJFfUAm,Clouds Above,3m9wz1fqDhxxs4l7drDq47,Echoes of Possibility,2021-03-31,0,Djent
4tTtQSK8lzFJP6XkQmTBCr,Death,71Zhc9ni7EZ1XXLtJFfUAm,Clouds Above,32bRbaKiHHSsxbpyBnq6N4,Return to Form,2022-08-24,0,Djent
0jjMHQR8UzahNz0nocE7yW,prepare for collapse,71Zhc9ni7EZ1XXLtJFfUAm,Clouds Above,3m9wz1fqDhxxs4l7drDq47,Echoes of Possibility,2021-03-31,0,Djent
3fH8GjiRlkuPkGpmBG4nMV,We Are Kindred,7htuhsyjWD5kh61AtL8o93,Emperor of Mind,4aoO8vT076QJmQ3SVhnwL7,Non Compos Mentis,2018-10-05,0,Djent
