track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
22NGdm7nsAPbRRjgDpbTgN,Gryningstid,2apIDXdzeJABhpZaDqDQdP,Korseld,7iqYsNkNXEqjWHuKNjuIYF,Jordevandring MMXXII,2022-05-06,0,Doom Metal
3ZWFMKLGqTLUsSRxpflSgh,Below Black Waters,1AM1utwDiJe2kArocbZ3FA,Solothus,2L4BmiZ3drPxd5DNI12wQO,Below Black Waters,2020-03-07,0,Doom Metal
4tc4GwrN4wy6Js92UZzK8H,Danish Denim - Live,0B1HnClGYkqAflF0jaqItZ,Rise And Shine,0c4bco2Of6sH80tpXtMrJz,25-Live at Kapsylen,2022-01-04,0,Doom Metal
5rmfXXHLsxR6BdbGtIAF8v,Itsemurhaaja II,69aJdzIja2mT7hCaU9CjVJ,Seremonia,49rYrCh1Jk1VTiPwWr3Wod,Ihminen,2013-10-18,0,Doom Metal
32i2uaCZ3xAJOPziYuouli,To Become Unreal Pt 01,58d9TwxgKIsBx70fQFaQDs,Umbilichaos,7fCJvX2YDMC8yle3fVuG1w,To Become Unreal Pt 01,2021-04-15,0,Doom Metal
1PYfWyDI5GiblCBzBNwnB3,Electric Funeral,0xCAiVhZmAhuUDXMDKtxV5,Core of Nation,1YtUt0PeK2l96jt54v0iv1,Core of Nation - Septor of Doom,2011-09-15,0,Doom Metal
3v69IyA2vycf4KMXrBlUbf,Mulch,0uYVczBFA70oJS1SlRSQTu,Mulch,1q2eiyQhiqpnAPKnXsiKRu,Mulch,2019-09-17,0,Doom Metal
0G2yv7OWrkjORloMAkXSbA,Aegna Saar,3HycVktGQpPuec6RwLttJv,Ştiu Nu Ştiu,6pD9yKmIApZBbxzkIibTbj,Aegna Saar,2016-10-07,0,Doom Metal
5bBaMYkNLP7mLbqMSw8anG,Ver Sacrum,6yGTpzrq26pP9pKlp8fcjf,La Janara,7toLDlhDsTyLwQmN43kXOa,Tenebra,2019-03-27,0,Doom Metal
524HXpq0YQjeW2c7CuJMIH,Gallery of Masks,3JRarySIprbGcDgkBuAG1a,Of Spire & Throne,4J6DwmaTJdb4zE09Tme8sz,Sanctum in the Light,2016-02-01,0,Doom Metal
3IX5jaF3n1NB87o3iby3uv,This Pointless Exercise,00Nse36KdjBBdUnxRJ1r2b,Spider Kitten,59GOqllY8rooET10Bajfw9,Rats From A Sinking Ship,2009-10-21,0,Doom Metal
5b0XZSXdPHoEthyIBC9sJw,Au Revoir,5CmbvHy4vdaMBm3EZkBjWo,Ankt,6j1icfpfaMhdMRDVZfH9aV,Ankt,2017-11-11,0,Doom Metal
2N33rsRG7WFTj6And3yZrb,The Observing Self,0YytkkmSkYSn4hRrtSWLMK,Arson Under the Sea,3Omyden3J0YrfZ8kC5GwSd,Split,2015-04-22,0,Doom Metal
2VQ0tGp1MY1aZ1uhvMrPzF,Ladders to Fire,67j2yPJxr9dYT4JYr14P0K,Hex A.D.,70XRnPGFzvDFxS4kdut10a,Netherworld Triumphant,2018-11-09,0,Doom Metal
0xON90tJ4AHdiIU39zdq7w,Untitled,0B1HnClGYkqAflF0jaqItZ,Rise And Shine,2DOv05RGHGfqnoIYmXuDDY,Ghosts of the Past,2006-01-28,0,Doom Metal
6hZWnPYLhI8Q3ZMNGZEOCR,Sleep Deprivation,33gjjgQuBvzpgMPwJ3zEfY,Soden,2lYkDpRNTK9MT9dw42WNdx,Led by Foxes,2017-11-10,0,Doom Metal
43sT5Teqic5F3QQKdKEJFD,Chemical Frustration,4UdXZONILAUZQtQqtQuD8V,The Sun of Weakness,6cyCgbE4KcVnEcYUM653u6,Trompe L'oeil,2007-09-21,0,Doom Metal
