track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
4ejCqrfJBr0gugDfq2hLtM,Corporate Shine,2Az0Qi9cIskM6aYRCHu044,Synapse,3PYo8POQEXRCtFrcOkRBbu,"Blue Eyes, Vol. 1",2015-06-05,0,Doomcore
25L09DF7pVQ2s8YIhk2dvh,Slave,4h4ypi5V2CcFXednBQOqKQ,Silent Humanity,1cyCM6GqkNxOCjZTNKGjrt,"Dark Infection, Vol. 3",2017-12-25,0,Doomcore
6BaGtkeNr2FUiYaozv2y4C,Skeptical,6lqxzwB4MuvhWGc169fuu2,S.I.S.S.I.G.,24CmXwm3AY0eNH649xheBN,Serenity,2013-03-11,0,Doomcore
6qivAnEbau5uowIlOE4cdb,Forbidden,6DZ7BvFkdfnb47SEKDotca,The Fallen,56quvAtq3xFfN6sOgMgZaE,The Fallen,2013-04-01,0,Doomcore
1XGvJUl92iZvtgQzKkiKul,Entities - Alius Project Remix,4lz586CUmvdxuyGEJTjh3Z,Der Cherep,63cbgjqzxthJ9RgXdHj8O0,Entities,2024-04-05,0,Doomcore
0JMPbtayBquAEQ5Z3IMTT5,All The Colors Of Darkness,6mBKVURhp0TEtBOHfCfir3,Mindwalker,5dBFHs7cy9prkNd9c4eIkZ,What Is Beyond Horizons,2013-03-01,0,Doomcore
2sNPYWr56Yv5cuYNUDTzy3,Intet Åtte,15TG6BL8Nayud1eRsyvzM3,Threatening Developments,5LBgbETi784Ly2sBhRmaXi,Wo das helle blasse Licht erstrahlt ist die Dunkelheit um so tiefer,2017-02-13,0,Doomcore
59H1raSejHxUGm0jCoEpPx,Dark Essence,46CAFk5migbTa53RgQsrr9,Hidden Rooms,4Hg26vmFbpAFaCgxwji1eE,Acid Signal,2016-12-19,0,Doomcore
16cx2VdW8pTNwvIdmdds95,Intet Tre,15TG6BL8Nayud1eRsyvzM3,Threatening Developments,5CmfUA9kKKZRM4Vn41amgt,"Ein Kleiner Impuls Der Angst, Teil 2",2015-05-05,0,Doomcore
7rAANXVNW8EzTJL0JLWK8w,Chill,0cUh736K6ZLZxmV4PXvcs5,Meander,38C3SmzToUki8RaZmw25rq,Mixed Feelings,2023-01-20,0,Doomcore
1eiNOrU9akTvDwvE0985mJ,Bring Me Back,6DZ7BvFkdfnb47SEKDotca,The Fallen,4o01EMF8UEZepaNoeK3PiG,Still Standing,2006-06-14,0,Doomcore
3vDgfpW5riZ382FovAZlNv,Terminus Est,4lz586CUmvdxuyGEJTjh3Z,Der Cherep,7dhOF1NlJ98t6C1PEL4042,Dark Impact Records (Best Of 2023),2024-01-14,0,Doomcore
2uFoK5bqt42DuJx7kTzCVs,Intet Tolv,15TG6BL8Nayud1eRsyvzM3,Threatening Developments,5LBgbETi784Ly2sBhRmaXi,Wo das helle blasse Licht erstrahlt ist die Dunkelheit um so tiefer,2017-02-13,0,Doomcore
6XGvOH2GJ8jJd4twyYqzqg,Diversion,49LyldWRLxPJhRyL8W915N,Shatterling,4bJWENMak2vMKf18pzEawX,Darklight Diversion,2013-05-08,0,Doomcore
7LTmVbdcX7S7vnjOxMks0F,Where I'd Rather Be,0cUh736K6ZLZxmV4PXvcs5,Meander,38C3SmzToUki8RaZmw25rq,Mixed Feelings,2023-01-20,0,Doomcore
30bCOJ0XFp3RXxuz9SpIby,Breeding the Threnodies,5dMdmv9mlV3gbsCoLKQWh8,Starving Insect,5HUyMF4f9wVhc3IlVLvqpv,"Always Hard - Core Techno Style, Vol. 2",2015-07-31,0,Doomcore
3b9kZwdD0CpmlXj0rAVgpX,There Are No Doors,5dMdmv9mlV3gbsCoLKQWh8,Starving Insect,12yWU8v3PV1cRnL0soTZWp,The Scary Hardcore Halloween,2015-10-22,0,Doomcore
1Urdb0Qli7a9Zdj089VlnW,Daddy's Little Girl,7LO0yO4IUG4qwCHiEhXVbQ,Rude Awakening,0egdfzePiJcQE0VFLVzdcE,Wake Up And Smell The Pavement,1989,0,Doomcore
7CZgisg04knGC3Rvi8duLd,Glacier,3OzBmKdqPUpq2pzbdoduZc,The Relic,1jmmUVrX7iFgJCIDGXLFGq,Machine Solid,2010-05-31,0,Doomcore
