track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
6lHwCM2QxEHOpkhe4s2sBT,Kobold im Kopp,4tGxWZaAkt50t9VZxSxOGZ,Versengold,0yE6RY8kaj8Tn4vXHviOPy,Was kost die Welt,2022-01-28,48,Folk Metal
6r0IfzJv2CCLGx3ypfImy4,Was wollen wir trinken,7Lj8CmxeAuJ2c2I6YxA6AJ,dArtagnan,2plWiRqqf17THbjLQzuN6y,Verehrt und verdammt,2017-09-15,53,Folk Metal
01a7sU5PtWoUEzkA80XFaL,Neue Helden,7Lj8CmxeAuJ2c2I6YxA6AJ,dArtagnan,2plWiRqqf17THbjLQzuN6y,Verehrt und verdammt,2017-09-15,31,Folk Metal
0FRAUkJtl4bn92ySux8EEg,Der Himmel muss warten,09Z51O0q4AwHl7FjUUlFKw,Saltatio Mortis,43Q7gDUQETLoJmJLDa4LhF,Der Himmel muss warten,2024-05-10,37,Folk Metal
2JcTPaLwdErOgd3vn2EqvV,Legenden,7Lj8CmxeAuJ2c2I6YxA6AJ,dArtagnan,2plWiRqqf17THbjLQzuN6y,Verehrt und verdammt,2017-09-15,20,Folk Metal
3Fiz4tFoVBosOUm2uMgdlL,Northwest Passage,6irKXFXk2sPNmHtKqmrfuU,Unleash The Archers,4WJhOrVgd62jxH0wWh6Qfh,Explorers,2019-08-30,49,Folk Metal
5PlLrbeesVMvdb849jHEnR,Hölle,4ZCWlAozpPANbg0gXnfsOe,Reliquiae,1sY435TyXc2iifebZBRTI7,Babylon,2019-08-30,32,Folk Metal
2lQ6CER3Yq6CZpqrAZFeu7,Chanson de Roland,7Lj8CmxeAuJ2c2I6YxA6AJ,dArtagnan,06u3VFKkE3phd5lp7uQhel,In jener Nacht,2019-03-15,34,Folk Metal
0MQFNQTKFfRDBQGbY0cTog,Heimdall,09Z51O0q4AwHl7FjUUlFKw,Saltatio Mortis,2iqfvY7gi1w9zo5qd2jsG4,Brot und Spiele (Deluxe),2018-08-17,44,Folk Metal
4r7KqB7Mqbti1uXM7DNe9b,"Der Tag, an dem die Götter sich betranken",4tGxWZaAkt50t9VZxSxOGZ,Versengold,7mHYHavA9Jjop81UQ0iZAz,Nordlicht,2019-06-28,47,Folk Metal
7u2rpqFt3GfKVx0yPMYbHm,Schwarzer Strand,09Z51O0q4AwHl7FjUUlFKw,Saltatio Mortis,6VbJXyZrazAAEfaS7uOyH1,Finsterwacht,2024-06-07,35,Folk Metal
54b9Tmj4vQ76Yte8QrDp7K,We are the Storm!,7rs9jSwkWMCtMgth8HUNNb,A Wildheart's Tale,7sqENqX4yLS03OXxr7BbmR,We are the Storm!,2025-08-22,39,Folk Metal
5DDI1vRkL9ViKFyxxFWLXo,Ievan Polkka,0ekO7kRZ8LksnD2ond2cSn,Unvermeydbar,7hWFN1iif3wCJ9RD6eAXxQ,Ievan Polkka,2024-10-25,17,Folk Metal
0XpY1vVK5bpfXESvCi7bGM,Falscher Leuchtturm (feat. Madsen),4tGxWZaAkt50t9VZxSxOGZ,Versengold,2impyDYOUTpNv7s9SkkmCj,Falscher Leuchtturm (feat. Madsen),2025-08-22,48,Folk Metal
6GzBh6RACgAJuhaAybO5r1,Thekenmädchen,4tGxWZaAkt50t9VZxSxOGZ,Versengold,7mHYHavA9Jjop81UQ0iZAz,Nordlicht,2019-06-28,51,Folk Metal
4c5evEWIhLXzlHQsmm6K78,Die Hörner Hoch,2Ct54gNxKnYLnXk9HhviMI,Feuerschwanz,1CmfadW6Be0SJ5yBaSIIb6,Methämmer,2018-08-17,44,Folk Metal
3L3t8yVQFHHaZafht7qji7,War & Thunder,4HnwzeXLpr0T9Px5jZDfWJ,Njordic,5RVgDcG3NMAGoxMF8O2acM,War & Thunder,2025-10-17,13,Folk Metal
5NsB2o5Swu4Il9ayGCzFQW,Seit an Seit,7Lj8CmxeAuJ2c2I6YxA6AJ,dArtagnan,3fwkNCUGKf1rgsqHEb2hHH,Seit an Seit,2016-02-26,31,Folk Metal
0AeG2YZpdksCdJw9gl2G2b,Bella Ciao,7Lj8CmxeAuJ2c2I6YxA6AJ,dArtagnan,0U1EeDMK5Mj1o5pgI1QEj0,Seit an Seit GOLD EDITION,2016-10-14,31,Folk Metal
7Bm8ih7rYopcCDmiO9Uwc2,Ekke Nekkepenn,6E9zde1CFsBtKI66OEHkk3,Santiano,0fiTAw72RpGKfxIvyNo247,Ekke Nekkepenn,2025-06-27,45,Folk Metal
1BjPPgXeek0mSDjyL5QcU5,We're gonna be drinking (feat. Candice Night & Blackmore's Night),7Lj8CmxeAuJ2c2I6YxA6AJ,dArtagnan,2QgLSvpa8zs1fsUL823Hhj,We're gonna be drinking (feat. Candice Night & Blackmore's Night),2022-10-27,21,Folk Metal
2lFPyvdlizr3MKb96eZYmF,Jubel,7Lj8CmxeAuJ2c2I6YxA6AJ,dArtagnan,2plWiRqqf17THbjLQzuN6y,Verehrt und verdammt,2017-09-15,34,Folk Metal
6cXTVdNYz45mDAsj1HrfSv,Feuer & Flamme,7Lj8CmxeAuJ2c2I6YxA6AJ,dArtagnan,4B8nTk54e3exgIQjWWfs1Q,Feuer & Flamme,2021-03-26,40,Folk Metal
16rKRtUtRgXHYbYLXS61GH,The Devil is a Barmaid,4tGxWZaAkt50t9VZxSxOGZ,Versengold,1HEiNowt5bv4yDFrerBZyS,The Devil is a Barmaid,2024-07-26,48,Folk Metal
58dDb2kOQa3mZH28egtaw4,Hey Brother,7Lj8CmxeAuJ2c2I6YxA6AJ,dArtagnan,1i2onR9f7wxakNqJF3HfBc,Herzblut,2024-07-12,38,Folk Metal
229hfnaACGm6fIJnFD5948,Völkerschlacht,7Lj8CmxeAuJ2c2I6YxA6AJ,dArtagnan,4B8nTk54e3exgIQjWWfs1Q,Feuer & Flamme,2021-03-26,34,Folk Metal
5dHD9LViydKuis3NGZiFAR,Knightclub (feat. Dag SDP),2Ct54gNxKnYLnXk9HhviMI,Feuerschwanz,2DctIAyszxWnXk57Zd0V3G,Knightclub,2025-02-21,45,Folk Metal
03oHAs15zDUtiAep2p64u3,Memento Mori,2Ct54gNxKnYLnXk9HhviMI,Feuerschwanz,5w0ychIugZVW91kWSP6qNS,Memento Mori (Deluxe Version),2021-12-30,45,Folk Metal
0LDj28RHdzLBBp2EbsnfqZ,Doch ich weiß es,6E9zde1CFsBtKI66OEHkk3,Santiano,0R0eCcwbLD7HLzMkOhYO2v,Haithabu - Im Auge des Sturms,2018-10-19,46,Folk Metal
3xOhCZtPvkjDkmjHcwaVIL,Flucht nach vorn,7Lj8CmxeAuJ2c2I6YxA6AJ,dArtagnan,06u3VFKkE3phd5lp7uQhel,In jener Nacht,2019-03-15,38,Folk Metal
0PPbiB2d3GjL395u8zkR1C,Finsterwacht,09Z51O0q4AwHl7FjUUlFKw,Saltatio Mortis,2oYwS1s2KNPKJSjwSIwsjV,WELTENWANDERER - Von Träumen & Krawall,2025-07-25,39,Folk Metal
6Z0UvPBRY2yO8qaN2oGYFq,The Dragonborn Comes,09Z51O0q4AwHl7FjUUlFKw,Saltatio Mortis,5uL8yyLMCO7boYhFvSxgAr,The Dragonborn Comes,2022-02-10,43,Folk Metal
5UkLsIclslNLvrHILCy5MT,Mädchen von Haithabu,6E9zde1CFsBtKI66OEHkk3,Santiano,0R0eCcwbLD7HLzMkOhYO2v,Haithabu - Im Auge des Sturms,2018-10-19,51,Folk Metal
4l8BvtBqnMBlxM6FWFzplf,Od Ana,5BELGBpnERdA0CXaBxf4sa,Tatchura,6VIuw6sld9YcbmkMQZ2R9y,Od Ana,2024-07-10,14,Folk Metal
0Ktmk5jp4r6ym9hT2bWlQM,Finsterwacht,09Z51O0q4AwHl7FjUUlFKw,Saltatio Mortis,0QtW38XI6FzPFmVaKuxjsK,Finsterwacht,2024-03-01,35,Folk Metal
