track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
7peLRO14xIDBP7Hfr5QbsC,Intentions,1Z401NFMD7OrYUbOTkHwqX,Arche,4mZp9Z4yBX8KLtgU4rGL59,Projections,2014-03-03,0,Funeral Doom
3fRGx3Z8Y3N8GDgJSocQkC,Desecrated Earth,1xWV4kjeHTSnPCMGX7ic4C,Gurthang,6yUlxSpfBbxZ2SoTi7msmg,Desecrated Earth,2010,0,Funeral Doom
24fHQIrnpHfgQUYl0VSyhI,Forgotten Deity,1xWV4kjeHTSnPCMGX7ic4C,Gurthang,3MCAYwTy6huHBOKgUMXpwp,Forgotten Deity,2012-05-19,0,Funeral Doom
0uZJMV2xLlP6Q3fWcA6ZnU,Projections,1Z401NFMD7OrYUbOTkHwqX,Arche,4mZp9Z4yBX8KLtgU4rGL59,Projections,2014-03-03,0,Funeral Doom
2ExUBKq1y2BRtXtNGt8pc3,Theme de Occulta,1lgr1q3Xlc2aQXlEbSASbQ,The Funeral Orchestra,7vfndcYK0Fu9KE5tfzkCyz,Apocalyptic Plague Ritual Mmxx,2020-03-31,0,Funeral Doom
5HeTPcISLUDB3Mcmwc09AH,Backtrack,1Z401NFMD7OrYUbOTkHwqX,Arche,4mZp9Z4yBX8KLtgU4rGL59,Projections,2014-03-03,0,Funeral Doom
1hXMXkiejnnOA355fC52rf,Frozen is the Light,1xWV4kjeHTSnPCMGX7ic4C,Gurthang,3MCAYwTy6huHBOKgUMXpwp,Forgotten Deity,2012-05-19,0,Funeral Doom
6VGc4t6STwE2x9FPW6Xx6U,Conversation with Earth,4uw9FLJgvhz7ZLHuDWwg2h,Abysmal Growls Of Despair,0E5wCyptvKVYlXs7uasPHr,Conversation with Earth,2018-08-03,0,Funeral Doom
0GHA0BsiHj8tBUNeMgkhne,Подземелье,51MDROzNkq2fyx0ko3imr7,Catacombs,2rt9i0ac4YfjGN6qtUY3YA,В подземелье,2020-10-20,0,Funeral Doom
02GGmCh0RyHIM1XGyD3DAt,"La nuit dernière, lorsque ton esprit se consumait, il y avait un monde dans tes cris.",4uw9FLJgvhz7ZLHuDWwg2h,Abysmal Growls Of Despair,31d5FyEI6zDouVoKwTBbMX,"La nuit dernière, lorsque ton esprit se consumait, il y avait un monde dans tes cris.",2018-07-06,0,Funeral Doom
