track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
41T1FHsImfqLWt3LYZhmyS,Jane Says,02NfyD6AlLA12crYzw5YcR,Jane's Addiction,2bttfTYLoRCg6pgxw7B36f,Stranger 80's,2022-09-09,0,Funk Metal
7zkZ0Z5pObnvPaZAPbmq9J,Cursed Female,58etTNn7xmsQZhjnfjpAXL,Porno for Pyros,08QXW1FPGLWMpEpPsZaSYu,West Coast Alternative Rock,2019-05-17,0,Funk Metal
6h8fTdjOnOHc7J844lvBEY,Mountain Song,02NfyD6AlLA12crYzw5YcR,Jane's Addiction,5VLfTgeFb2HXkC2WTLK2DN,Classic Heavy Rock,2020-09-18,0,Funk Metal
1kkSJyS5FgzR06ahXVa5S2,Mountain Song,02NfyD6AlLA12crYzw5YcR,Jane's Addiction,6kABxGhCJwOfta99Ze7lyH,No Fillers: Rock Hits,2020-10-16,0,Funk Metal
44OeKGZWB0wWchOQ99V9wG,Pets,58etTNn7xmsQZhjnfjpAXL,Porno for Pyros,53KW3NzdjHfAtSIOMOX9NF,100 from the 90's - Rock,2023-11-11,0,Funk Metal
3R1zBEiBR0mSuz2KE4D1Dj,Manic Depression,3tn79LMMIdIT1T0TXumjaH,King's X,4JtWHYm6zBCzjin7QzOtx8,Metalcore Classics,2021-11-05,0,Funk Metal
2GRKFStF8Au6lbiXZ2ldjH,Ghostbusters,76ptJV8617638xrpeoUtzl,The Rasmus,0YbhLIkUHM4NgDdNcOAg21,Kids Gym Class,2021-02-12,0,Funk Metal
4xSBge08UHcjnP83RUR1CD,Jane Says,02NfyD6AlLA12crYzw5YcR,Jane's Addiction,6e8tlcMZIdFB4UnngJ7Vwh,Sonido Alternativo,2019-03-29,0,Funk Metal
6NdnbBGXGBe1dr7d9E8Y0V,Jane Says,02NfyD6AlLA12crYzw5YcR,Jane's Addiction,4yvn8coIziKq9kKZZbFZRj,80's Retrogamer,2021-10-22,0,Funk Metal
44ry297GldMWPx2Ha5JE89,Tu Gloria Está Aquí,4c5waVuN5ujIRJfSx4iQKw,Apocalipsis,0xyfZVHIYbbYBxVVpxtAf1,Eres Mi Dios,2015,0,Funk Metal
7JsPBppJSpfA3FYanm44Cf,Syndrome De l'accent Etranger - Original Mix,2iFac2VqqHghd11aJlmOVm,Mordred,5YRjhltLVuanI9yDs6UGkK,Folie EP,2013-12-02,0,Funk Metal
6LLXQMzhgUpKpoVAsgDEpm,Jane Says,02NfyD6AlLA12crYzw5YcR,Jane's Addiction,4Q2t1X1dEM5r7JBgwgdXmZ,80's Hard Rock Anthems,2023-12-01,0,Funk Metal
1BJWxx4Rp3PoLFoaMmLsNy,Odd M - Sinkers Remix,2iFac2VqqHghd11aJlmOVm,Mordred,5aPP7La5BefXpKVqH3YTPT,In To The Darkness 2016,2016-11-27,0,Funk Metal
1QSQNn4UBYU8YkMwS0fLgW,Mountain Song,02NfyD6AlLA12crYzw5YcR,Jane's Addiction,5b66hathacLx7wTetgyHEN,Raw and Rocking,2020-12-11,0,Funk Metal
5V3caY80SMgjRCvfrFqo4a,Jane Says,02NfyD6AlLA12crYzw5YcR,Jane's Addiction,2IcY7Eblq4aOTYafEEajnm,Gypsy - 80's Road Trip,2021-10-29,0,Funk Metal
2fxj3UDZOQThYORTO7xRQJ,9001,0fDF0jjmdouCIeWhNnblwV,Buckethead,39tnS0mjkqAbYK0bjrJapP,Waterfall Cove,2017-02-17,0,Funk Metal
6r0gYCqzHybpx8EzaxbVbn,Intro,5GW0fIOuKGKWzzT1TJmPQ1,Gargamel!,3RaGS16oQLi7esmQJs1AFw,Revulva,1999-02-14,0,Funk Metal
3QjG3PopgyX05g0GM7wyAc,Jane Says,02NfyD6AlLA12crYzw5YcR,Jane's Addiction,02SxWBjioS8aFLvloJA3Eo,1988,2017-06-13,0,Funk Metal
75PIJZKV7SnI56CyK9iuvr,Epic - Radio Edit,6GbCJZrI318Ybm8mY36Of5,Faith No More,0tUPklUk4ZSfOKV5V2BwyC,100 Greatest 80s,2024-01-12,0,Funk Metal
678OjsFCxN5zGNd7nPddo1,Mountain Song,02NfyD6AlLA12crYzw5YcR,Jane's Addiction,5Y0TfAGo85D08OpwopU2vG,Alternative,2020-08-28,0,Funk Metal
7GqrvgbY7CHIolOhWVj77N,"Letter to Nixon - Live at Eastown Theatre, Detroit, MI - October 1970",4UHIYppH52cYzI5cWf9kKm,Catfish,0wY2otelHevK3QplFqqB2f,Live Catfish Featuring Bob Hodge,1971-03-10,0,Funk Metal
6KIyBOlUhrP2vujcGJsFbo,Epic - Radio Edit,6GbCJZrI318Ybm8mY36Of5,Faith No More,3zleLnu2Do2mtztCOq5MsF,80s Essential Rock Anthems,2021-09-17,0,Funk Metal
1ELq8qhjBEyiXjrUbk0Ix5,Mírame Señor,4c5waVuN5ujIRJfSx4iQKw,Apocalipsis,0xyfZVHIYbbYBxVVpxtAf1,Eres Mi Dios,2015,0,Funk Metal
3GUxO2tKyt5HXU374oxdTu,Pets,58etTNn7xmsQZhjnfjpAXL,Porno for Pyros,3NrSodvgnYjIqEQoiDgNB0,The 90s,2020-02-07,0,Funk Metal
4QXLEadOW8u3pZ0ODU0Lca,Jane Says,02NfyD6AlLA12crYzw5YcR,Jane's Addiction,2f1rEBoPgyxgzCWbcX7t4F,80's Radio Gold,2020-12-11,0,Funk Metal
31RQYmCqp09LWVyVgwkyLd,Contagnion Emotionnelle - Original Mix,2iFac2VqqHghd11aJlmOVm,Mordred,5YRjhltLVuanI9yDs6UGkK,Folie EP,2013-12-02,0,Funk Metal
1aN0pKXGVLEtghDPUsWzYj,Twenty Something,4UHIYppH52cYzI5cWf9kKm,Catfish,5SFFC8ajFJlDnz77tsLTss,Viciously Delicious,1996,0,Funk Metal
6cPLanLBWJ5gXyPiW9Aflp,Jane Says,02NfyD6AlLA12crYzw5YcR,Jane's Addiction,7ILh136xQVfdsAu9b19Qih,U Got the Look - Pop Rock Classics,2020-01-17,0,Funk Metal
407bq5hDEVz7VjNER5kmXi,Over My Head,3tn79LMMIdIT1T0TXumjaH,King's X,2Watc3eOcsPsUHaj0lXxmb,Headbanger Rock,2021-09-17,0,Funk Metal
1LlIbFlBknXyKys9BUL5Y0,Jane Says,02NfyD6AlLA12crYzw5YcR,Jane's Addiction,7D7sFyiwiVsmkuuvzXcobJ,80's Alt Rock,2021-01-08,0,Funk Metal
1STV5Cuxn1vtmFm5KdFIca,Black Flag,3tn79LMMIdIT1T0TXumjaH,King's X,1UYlgAuXtuJ0q3wADR8INH,Metal 100,2021-09-17,0,Funk Metal
6Eou4b4LV6HNkT5luwCZTg,Rigor Mortis - Original Mix,2iFac2VqqHghd11aJlmOVm,Mordred,4cIIzNC9XZVO0FyTLyNJh7,Delicatessen,2011-08-12,0,Funk Metal
041fHoVf5CS43MOr2BMLel,War Pigs - Live,6GbCJZrI318Ybm8mY36Of5,Faith No More,65QC0P64P36MJOTbTnosro,Classic Rock - Hits,2024-08-21,0,Funk Metal
4wWshhSYb8n70baoVa3RsT,Spaced Out,0zRRk9Oe6owoIi3cY5yWk4,Electric Boys,5tDo7Gd2ZZ9pV7S7Z5HqC1,Spaced Out,2014-03-14,0,Funk Metal
05xrRXhHVZ36r9M9LnEz2c,Pets,58etTNn7xmsQZhjnfjpAXL,Porno for Pyros,6vchskAK0SdvhJrXkc9409,Nineties Rock,2023-08-16,0,Funk Metal
1DrXh4e26TXAkaunBpcH63,Lluvia de Avivamiento,4c5waVuN5ujIRJfSx4iQKw,Apocalipsis,0xyfZVHIYbbYBxVVpxtAf1,Eres Mi Dios,2015,0,Funk Metal
1q2HNZzolGS3fR5up2gbt2,Pets,58etTNn7xmsQZhjnfjpAXL,Porno for Pyros,7IRObqfxgaMaV1C9IjlA2W,The 90s,2018-09-28,0,Funk Metal
46BteC2of0ZwcZuOWQNqCj,Can You Hear Me - Acoustic,3RNrq3jvMZxD9ZyoOZbQOD,Korn,0FEhhuPnB09e3Jah5QPAaD,Twenties Metal,2023-08-16,0,Funk Metal
3Z0hCoERnPfmpLqRkLoxYN,Eres Mi Dios,4c5waVuN5ujIRJfSx4iQKw,Apocalipsis,0xyfZVHIYbbYBxVVpxtAf1,Eres Mi Dios,2015,0,Funk Metal
3Gktc5JB6yfmIaP5MihFJ1,Epic - Radio Edit,6GbCJZrI318Ybm8mY36Of5,Faith No More,7HE2whp4xriHlcFpQkGiB6,Rock Classics for the Car,2019-03-08,0,Funk Metal
3DIMC21gvZJ8oCteadf3ie,Ghostbusters,76ptJV8617638xrpeoUtzl,The Rasmus,5moxSwhXS3ZZklblxJDX0P,Scandi Rock,2018-06-29,0,Funk Metal
4WIRUyLp6EovSUHPyt1qXK,Jane Says,02NfyD6AlLA12crYzw5YcR,Jane's Addiction,0245ep96gijaQO5PO5ZEBG,Object of My Desire - 80s Finest,2022-12-23,0,Funk Metal
4KxwdeZK2hE3NyE1uqbVkI,Black Flag,3tn79LMMIdIT1T0TXumjaH,King's X,30i2GVty7iGjydvMUODsHQ,Hard Rock 100,2023-09-04,0,Funk Metal
7hUDoAkWtTZ69h594C02U0,Ballad Of Moth-Chew-Moth V1.5b,4JrGzTgHugrfYlQdUjk4Js,Nuclear Rabbit,4tyfydocurrYnZXWaGcMlB,Vicuna,1997,0,Funk Metal
3JVCy8PexjbkOPnnWtNx1E,Pobre De Mi Ciudad,4c5waVuN5ujIRJfSx4iQKw,Apocalipsis,1nGgqGY0qLNUWpKayFOgA2,Canibalismo,1996-05-01,0,Funk Metal
0W6BAxkLz7d9LooZNIgGx2,Human Behaviour,3tn79LMMIdIT1T0TXumjaH,King's X,4Lzc8RFTILujPg38dX8llE,Modern Metal,2023-08-04,0,Funk Metal
