track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
4jMKRQr3s2U0zcsAb9IBbg,Sonnencremesucht,2jGYjuFJSGhtDWozEESXUd,Fahrenheit 212,2mVh8CtVqoGwTKQkh468GS,Sonnencremesucht,2022-10-13,0,German Metal
2FqajEpXtIBcUqKNHi5k08,Convergence - Tempyre Remix,4tCjBA2INylyGDWC7SFFID,Torturized,5aHm1I80celdwFEfrxjNMx,Super Omnivore,2020-06-22,0,German Metal
7mpf5xzNjBu97zTWCQ5eFU,Equilibrium - Original Mix,2FXxTngqwxLd80fWBDzoSi,Cranium,6pWAtmZtXoWw1CqtPS2y2Y,Equilibrium,2009-11-25,0,German Metal
6yTLdvjYgIBWQpFePmcVXt,Stalker,22UklU8B5MunKA2zDMAjCO,Obsolete Incarnation,3Q0EGReerkJROch1OnfefG,Insanity Redefined,2010-09-01,0,German Metal
35YuInAMtai5UqWD8Bvtci,On A Single Tendon,22UklU8B5MunKA2zDMAjCO,Obsolete Incarnation,6nckpUCS1onrP8sKJ1Htk2,New Breed Of An Uncurable Disease,2015-01-30,0,German Metal
6F4XGTXOPIejeI87I6e9pi,Hidden Black Wisdom,2ic71d7SMSDbTLnBkJFX0P,Front Beast,13lsBysyF5wRY1CISXbKRU,Demon Ways of Sorcery,2013-09-03,0,German Metal
61rYCEnpB0fy14HCupis6q,The Grinding Process,0WfLe0MU9Kiz5KLg7sGl68,Grind Inc.,5m6M3KEUz1wjfQMuJVWdFM,Inhale the Violence,2006,0,German Metal
2InfjifqSRkMjqBoKNHa05,Mothertrucker,3zBRwsfsphAy6eNvh2bPiG,Stillbirth,1E7jIpYU8calzWz5ZUK5z4,"Brutal Vision, Vol. 2",2015-03-27,0,German Metal
5gs4IGvRBeUTzooG8wFlQ3,Outro,0lKpKsvjBKLUeyVIAPHUy1,Tankard,5yreuVxUoJmSsbLmFUwW3k,Stone Cold Sober (Bonus Track Edition),1992-02-01,0,German Metal
7gtWG3fDqpD7Aq1VhCkUEN,Germany Rocks,0YVgzHhNCpnt5RZWaIz8DT,Sinner,6oDpfCIxLWS5wz6pMeKUl2,No Place in Heaven: The Very Best of the Noise Years 1984-1987,2016-05-13,0,German Metal
2MPTnQXDmrDLLLo6wxPr6k,1981,0EtjkDuswRJAwr6vszY5Og,Apophis,6XczHudJfiPul9zIeWiGDu,The Theory of De-Evolution,2010-04-20,0,German Metal
5jsUJCcKOIl2oFRJoW5jtQ,Traumfänger,44me9oXgyKCsfdmTw8kLTk,Fimbulvet,1gcGpQF1bZHQ9JXVAwRju6,Portale,2023-04-29,0,German Metal
6ErfVaSxVgtmkqk076v70B,Death Rider,0EtjkDuswRJAwr6vszY5Og,Apophis,4qTyVDNE7gJaYRAJuAgTwd,Apocalypse Rock,2010-06-11,0,German Metal
34GKUCzYqZ3yNN86b3VOHf,Baumgleich,2VgIOK3COXgqJ1uQW5OLz8,Dryad,4F9Dh44vxv5zqGqIfjqRNI,The Whispering Winds of the Hill,2016-10-22,0,German Metal
69DkySvtBDM4Czz2lHx6gw,Wind Of Change,27T030eWyCQRmDyuvr1kxY,Scorpions,34di4Kbv3UVx5oub1lvCEa,Artsy & Colourful,2022-10-12,0,German Metal
2Cl7wg6fUc8Jvzc9a00ArP,Exercises In Stupidity,5CyEPsizrM1bKGNdOPbp52,In Demoni,5Chgxvs4v56HH0JLXIpceI,The Grand Slam,2018-07-20,0,German Metal
6nS7KAun3GJckPQgWgc4sn,Sturz,0dyUnSCSltAcPtQ2frMQWC,Coilshift,6GnSI9aBMHXcr1RxAqfyKw,Abstand,2020-04-04,0,German Metal
5rHxleQ4BBIf4EoW0zugdH,The Roaring Twenties,5CyEPsizrM1bKGNdOPbp52,In Demoni,5Chgxvs4v56HH0JLXIpceI,The Grand Slam,2018-07-20,0,German Metal
0qU6g3jWo0aq95CgYFKk4F,Alewars Schmiede,7lF7Mc6ZaJg8WCsVz7Aqi6,Tervingi,0kAu3v95M9Mlr5UJ4C3cde,Gotensaga,2013-04-05,0,German Metal
17SoVGDp8AglpptzaIHZiP,Feuertod,44me9oXgyKCsfdmTw8kLTk,Fimbulvet,1gcGpQF1bZHQ9JXVAwRju6,Portale,2023-04-29,0,German Metal
0TSZMmQdx4Khn7yjl8KYtH,Viva La Slam,5CyEPsizrM1bKGNdOPbp52,In Demoni,5Chgxvs4v56HH0JLXIpceI,The Grand Slam,2018-07-20,0,German Metal
