track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
6TMOUiv5GA7tsEvmcJQ9HE,喜怒哀楽（Remaster Version）,2bjzKs28cL5EVKB0xqUGuJ,LOUDNESS,5FcKXbqfQWU4zo4Vb9Wakg,Eve to Dawn 旭日昇天（Remaster Version）,2014-09-17,0,Glam Metal
39WWiha0FutIRdM3IEWXkL,Carmina Burana,4t9bqcZJUC9cAjgRRNVm6u,George Lynch,3aRtiaVYy4HseHQENuWnMX,Music Inspired By John Carter,2012-02-17,0,Glam Metal
230sovowCciueBkso1vwPD,I Want to Know What Love Is,6IRouO5mvvfcyxtPDKMYFN,Foreigner,0ah9v6PbQ1nsEwnW1N8c8I,pop calls retro hits,2024-04-16,0,Glam Metal
2jbb2hdX0I2EFavMNY2loi,I Want to Know What Love Is,6IRouO5mvvfcyxtPDKMYFN,Foreigner,2gJQqJZZ5ZUXsSZZceIS05,Kärlek,2020-03-13,0,Glam Metal
2WxTVOS4RurWBSBXK7939e,I Want to Know What Love Is,6IRouO5mvvfcyxtPDKMYFN,Foreigner,5wERD3IQbFZZmFSgYOvxDM,Smoothest 80's,2018-06-27,0,Glam Metal
372gH8dcgony26bX8FaHb3,Rock Dogs,1EH9eSje47IiRyVsq3gfkl,Raven,6DP7NHL83q0zFqd5jCUkr4,Metal Salvaje,2023-09-22,0,Glam Metal
7k0OpjfjLajYYxjstpBiu2,I Believe in a Thing Called Love,5r1bdqzhgRoHC3YcCV6N5a,The Darkness,2bVJ9hGnr2WEZS1tNsDKdK,2000s Summer Party,2024-04-12,0,Glam Metal
1LlLIE2GmwpDs3XYQ3FdrC,Dirty White Boy,6IRouO5mvvfcyxtPDKMYFN,Foreigner,51Hg2btpk2uvOKSSK9fDSA,Heavy & Hard Rock,2021-09-17,0,Glam Metal
4CQ9QWS33hQn6CGyMGfLH6,Gimme Shelter,3SfrwwVPGtjYTI3vwQ4hEU,Thunder,7IpgGfdrF6gmxgWemDPhaP,Guitar Rock Classics,2020-11-27,0,Glam Metal
6pQhWKKIdSHRzlr1ULjw1U,Carmina Burana,4t9bqcZJUC9cAjgRRNVm6u,George Lynch,7oTT2zHhe5JnNdUIIoOcSu,Season of the Witch,2011-01-12,0,Glam Metal
2xJAY6jVEvfVilPz4nE2a2,I Believe in a Thing Called Love,5r1bdqzhgRoHC3YcCV6N5a,The Darkness,7lyyo11wTzmK8fIUCb6jp5,Forever - Love Songs,2024-06-27,0,Glam Metal
