track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
6oWRPObOSGLWsITqUKEgMR,Crack Whore Serial Killings,0HWwm8gLp6wTd40d2e8eZX,Severe Metastasis,51awhn6I0dtvntQNX9Rk4q,Tales of Cadaveric Dismemberments,2012-06-30,0,Goregrind
4SvNNYMg6iTwcJQEbnIzZt,Scat & Bestiality,3NCbY6OsIDbIQg6FbPUoDZ,Anal Fistfuckers,59fRqjXG47XPdByWow7Whh,Alle Frauen in Deiner Familie Sind Nutten ! ! !,2019,0,Goregrind
3IgjBso1X1GdmTsDUyg0ut,Gizmo Caca,1ltwscgr27EPQkfbzr1zEb,Sikfuk,5n2TlixuUd6hYqqyY0YvKR,Diarrhea Duet,2019-07-12,0,Goregrind
4Rzgheom20BA1qsJwQtG7C,Scat Bitch Slap,3NCbY6OsIDbIQg6FbPUoDZ,Anal Fistfuckers,59fRqjXG47XPdByWow7Whh,Alle Frauen in Deiner Familie Sind Nutten ! ! !,2019,0,Goregrind
4Z2engEuLXks5tsc89x82X,Elderly Confinement,5f0qn7HAG370g1O7cjPYPm,E.F.6,3fhwpprqoEjUvEV8t6PkPb,The Sound of Meat,2020-04-01,0,Goregrind
6DifDOi5iU6cm0fkjvGdTR,Pandemic Bacterial Reverse Mutation,2x0g8ynzsIZARjOCXhHJ45,Cenotaph,5mPHWMOMO3aFWjOgwXOJUW,Precognition to Eradicate,2021-10-13,0,Goregrind
073fhykMW58ZqfYgP3PO6M,Ropes Amor'e,4IWh5ciqwNfEeMF2SU42Oq,Cuntscrape,3SXMfsjNaJsfJ0bJPRh3xM,Thrush Bang Mania,2008-10-24,0,Goregrind
6FeLQ3JMfq51jUDFJ0sFp3,Legal Necrofilia,5MG5XVYwKH8b3zDLKGUUWB,Reek of Shits,01UFxhkJeGpz2ZSi1z89O6,Bloody Obstetric Technology,2008-04-05,0,Goregrind
1J4qXsCVmDOnzd3oaM6gWK,I Know What You Did Last Summer...(In Thailand),6COZJSEl1YTUfU3FDXh5Jw,Gruesome Stuff Relish,4P1fVbrWKoWAyDB7YoXbiL,Horror Rises From The Tomb,2009-02-20,0,Goregrind
2gaUvmuJwShJMHRamZ4Qlg,Kill Me When I Die,1UtRN8FKgnQ8N38pTqlg3l,Harmony Fault,41qluXOV4XkEayjbn5WCZL,Split,2017-09-10,0,Goregrind
