track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
2TrH7PqH9yaOIBFdBWWSZX,Start the Work,5ThF8D5YA5k4OErMcJsXGL,Autumnal,4UIfYSu99BMMt6qL2ohubX,Confess the Fire,2013-06-01,0,Gothic Doom
12qnPQTJ61rflViLFVSDhC,Feel So Calm,5ThF8D5YA5k4OErMcJsXGL,Autumnal,2zMbBIiPVjXYVMuIUAjNwT,Hemisphere,2012-06-01,0,Gothic Doom
3phYTX28GM3eZ8UlJK33Am,Bright Sorrow,4UdXZONILAUZQtQqtQuD8V,The Sun of Weakness,5W63yIg3rrDl0hlzXMCYYg,At the Edge of Shine,2004-07-24,0,Gothic Doom
4pzada6SCU27Fd5xK7JK5s,Krit - Thirteen,6tbPj8MKYakuXrYraQxQH6,Amily,0pTNMrtPGF0ASLsGV4iBT0,Krit,2013-09-22,0,Gothic Doom
2Cq9x9Xn2VqrQR5YKxnxoK,Insidious Line,4UdXZONILAUZQtQqtQuD8V,The Sun of Weakness,6cyCgbE4KcVnEcYUM653u6,Trompe L'oeil,2007-09-21,0,Gothic Doom
3jkHtNon1093gimWCmVTVR,A New Landscape,4UdXZONILAUZQtQqtQuD8V,The Sun of Weakness,6cyCgbE4KcVnEcYUM653u6,Trompe L'oeil,2007-09-21,0,Gothic Doom
1zAA9LbItxfUmf2G96hP2I,Last Song,76cDseOBHdhT6fVPckLakL,Sacrosanctum,4dou1xRNMoHmCXkMjp5qyl,Fragments,2008-12-15,0,Gothic Doom
2F6iWoRUTP7OOefdi9TE9J,Death Incredible,7s8Z51wrhNVhbuqWWOHoh1,Vuolla,5nYNWyzmAJwsB6frhuOeqt,Blood. Stone. Sun. Down.,2016-06-03,0,Gothic Doom
387cJCu3t9jxhz7WXxycPD,All My Discord,4UdXZONILAUZQtQqtQuD8V,The Sun of Weakness,6cyCgbE4KcVnEcYUM653u6,Trompe L'oeil,2007-09-21,0,Gothic Doom
7bJLd719NzPyzYFoQZzqfj,A Last Kiss,4UdXZONILAUZQtQqtQuD8V,The Sun of Weakness,5W63yIg3rrDl0hlzXMCYYg,At the Edge of Shine,2004-07-24,0,Gothic Doom
