track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
0iCR8DTqt5J8wCHyvJlRhb,Svartnatt,45UdMf7keVmV98D29d5MMS,Elvira Madigan,1gdvjNUJuxAkAcR7rbamEd,Black Arts,2000,0,Gothic Metal
0784i4006IVrbfsQ5XOZap,Te döntöd el,6w33pH9yoNlM3xpudZYTt4,Ideas,5w1Z4k8SLViKjkC9wm9iYM,Főnix,2008-11-27,0,Gothic Metal
18BlbTj43UhlAXWHPKGAL1,Temptress,16JXnESerYvanRg1CGhkLz,Teodasia,4cfQ8z0Cl0KK5vR2FYonKt,Reloaded,2016-06-27,0,Gothic Metal
72avQlmNCftY8uUcrUXnne,I Boschi su Deona,533uOto4Sr77SbpZxhi2bh,Sirgaus,5wes7Lo3IEluYAMnao2ShB,"L'amore, l'ardore e l'Alviano",2018-01-26,0,Gothic Metal
6RoOW0JR2QPDaKQV6HtIzO,Red Flames,4goSmf8MCKLsGP7own2QQ7,Motus Tenebrae,0nbs7qcfRbjJLYognrOxLT,Wayside,2006-02-22,0,Gothic Metal
5Qs5gXlGl7imTMXx0SE3Ms,No More,3KLY0pmQHbDOS0spNSn4of,Deviate Damaen,2mKTdJ8F3a0HvpFUxCpIuF,Religious as Our Methods,1997-11-11,0,Gothic Metal
7HrErewS5eesL941NqFmgA,Run with the Wolf,3plrLljdYlvsskVoFCvwWH,Witches of Doom,2vD1EMJqPH6OX5aygEAF1R,Deadlights,2016-09-09,0,Gothic Metal
1LtrXlkRZ5QfFDUNKPESr0,La bales de canon,533uOto4Sr77SbpZxhi2bh,Sirgaus,6YyqzpTQFMOEjpefmmETyN,La bales de canon,2019-05-16,0,Gothic Metal
29ZReJNmIf4kIVzRD3HJaD,Sholawat,0ySCB0GoZUFF0K1mkrhhXq,Hizjrah,6piEvo3NqAhOoO5df9X4MJ,In God We Trust,2016-06-09,0,Gothic Metal
1CwcW8MJElpLL56aopHZfT,Pure Flying,6w33pH9yoNlM3xpudZYTt4,Ideas,01t7jD67DjIScUHD0V6qxD,New Dreams' Cradle,2003-05-01,0,Gothic Metal
0JgZJT6quIm3ADhMHIgUB3,The Ice-Pit,6w33pH9yoNlM3xpudZYTt4,Ideas,52XVhuCMEauvhy3R4mgUsN,Journey Around A Soul,2003-01-10,0,Gothic Metal
1oRWmJo4bXuuVEj5qtkP7H,Incoherent Conscience,4UdXZONILAUZQtQqtQuD8V,The Sun of Weakness,5W63yIg3rrDl0hlzXMCYYg,At the Edge of Shine,2004-07-24,0,Gothic Metal
4O7cPRfLamWwwXxuf9fOye,Madman,6PgkpTrCKMe9TtPwRHtI3B,Manic Movement,0gwSwwPBDEBfeus0hwWcFv,Out of the Box III,2000-01-01,0,Gothic Metal
6I1e8fzhIimUV4dVdeqTKa,Cornelia,34E4gyjsGHjsqSBmVz9zdV,Kingfisher Sky,2b3naignisduwVNJO5mFSh,Cornelia,2018-03-16,0,Gothic Metal
5pTEWuPPhXv8LwbIHYU9iL,Testament,6OuQrU0luU28oGYhDM8OsI,Raving Season,6bcEPIwEXanUI5tVHkRGu6,Amnio,2013-08-05,0,Gothic Metal
1AslvEXDit35aOe728XJsF,On A Strange Land,6w33pH9yoNlM3xpudZYTt4,Ideas,01t7jD67DjIScUHD0V6qxD,New Dreams' Cradle,2003-05-01,0,Gothic Metal
1AVJzPb3k10P3BLzIjK3r6,Shadow of roses,6w33pH9yoNlM3xpudZYTt4,Ideas,1iT75JF0cVelnIlKxBxnsK,Hide your heart,2011-06-06,0,Gothic Metal
6X8pq0faxAZyZWEArqhAWS,Ophidian Queen,1ufI83CMg1Uux5ChTZfQsC,A Day in Venice,3civhcejMZcYDu6dGZxZ7e,IV,2023-06-06,0,Gothic Metal
0pWV0StSUbbsY1cn4aauDU,Marciano ?,4DVuO8cKl6RBmQdWtXeNuX,Legenda,6IjhYl9yGMsdAuZYK69rns,O Dia Final,1988,0,Gothic Metal
5ttfcMavfybENphWnyt9EE,Never believe,6w33pH9yoNlM3xpudZYTt4,Ideas,3TYkdZpOeE8nrT0a3CdCZw,Phoenix,2008-11-27,0,Gothic Metal
1LRfRX7IsUfoIuw1Pa3rZW,Csillagokban élek,6w33pH9yoNlM3xpudZYTt4,Ideas,2Kmxmwj6p7NYuXKHEt0ic7,Egység,2017-07-05,0,Gothic Metal
49iXkrHr1YuigBGOcMRinF,Witches of Doom,3plrLljdYlvsskVoFCvwWH,Witches of Doom,2Nm1WUgezw7M0ePdCsujZs,Obey,2014,0,Gothic Metal
4O2ErwVqVtYq4D0VZcu13q,Deface - The Things That Made Me a Man,3plrLljdYlvsskVoFCvwWH,Witches of Doom,2vD1EMJqPH6OX5aygEAF1R,Deadlights,2016-09-09,0,Gothic Metal
1U6cBgfiM2ugSMPR5mxqdT,You are responsible,6w33pH9yoNlM3xpudZYTt4,Ideas,6Z4ZGffQXWS8hV53aIr1J4,Oneness,2017-07-05,0,Gothic Metal
0GoJg4EsB1yI8dfnAVLmXC,Lélekvihar,5BxCIxRPjY41LubvvlAnV7,Tales Of Evening,4eXNAB0DJw3jdjA2n3HftN,Lélekvihar,2014-04-14,0,Gothic Metal
0n9MuB8uBnSc5hrKk9UDgf,Eternal Sunrise,1Voi5qX8TJoe2fVieX7Hi6,Graves of Nosgoth,1ylrhTGzhALrvD794LAyPs,Ex tenebris ad lucem,2011-05-23,0,Gothic Metal
31XbKuS5QbIjaO1lMw5wEb,Blown Away by the Wind,1P0kTjO4y2kK7T7F7UnhLC,Revenience,7tySq4zMWuHKR7UXPzDXXe,Daedalum (Japanese Edition),2017-02-27,0,Gothic Metal
23smu6PBy7k96p5zg83hRC,White Venus,3KLY0pmQHbDOS0spNSn4of,Deviate Damaen,2mKTdJ8F3a0HvpFUxCpIuF,Religious as Our Methods,1997-11-11,0,Gothic Metal
3R8laMey2loDPaLrhnnehz,The Undead,4goSmf8MCKLsGP7own2QQ7,Motus Tenebrae,2cUO0RgUcgT8CrBUeCMmQd,Double Black,2012-12-12,0,Gothic Metal
4GXWk29JyGYCDjvr5BFEje,Rain,4goSmf8MCKLsGP7own2QQ7,Motus Tenebrae,3GeHQTPPdTZ9ZstcUIn6nn,Soul Expression,2008-01-01,0,Gothic Metal
7LMQ3e2OZj0ZpkQ1tvrVkh,Giostra Di Vapore (Radio Edit),2RgpaPTnmNYJBO702p1jf6,Dismal,5BKo6WG7QXKOuzd5EZwmcw,Giostra Di Vapore (Radio Edit),2014-01-23,0,Gothic Metal
3vmp0fxetvwVThYamhdK78,Silence Is Killing Me,4goSmf8MCKLsGP7own2QQ7,Motus Tenebrae,2cUO0RgUcgT8CrBUeCMmQd,Double Black,2012-12-12,0,Gothic Metal
1DkEb9NGgaAM3uXucDXyh5,King of swords,6w33pH9yoNlM3xpudZYTt4,Ideas,3TYkdZpOeE8nrT0a3CdCZw,Phoenix,2008-11-27,0,Gothic Metal
7lIZjgffrt6lx9zdPJlfa2,The Envoys,6w33pH9yoNlM3xpudZYTt4,Ideas,01t7jD67DjIScUHD0V6qxD,New Dreams' Cradle,2003-05-01,0,Gothic Metal
6RUkQNFp5Awqy2MkjZBhWb,Building Anger,33FQnMBOdYs1O8d9vHCJkz,Ravenouse,5PZrkzveZWr517JdW7d7Jv,In Anger,2019-11-08,0,Gothic Metal
4jheCRMR93YbhhyKm5jw6p,La battaglia delle Echinadi,533uOto4Sr77SbpZxhi2bh,Sirgaus,6YyqzpTQFMOEjpefmmETyN,La bales de canon,2019-05-16,0,Gothic Metal
0CoZCpqwpHrrbXLOczMnM1,Just call me,6w33pH9yoNlM3xpudZYTt4,Ideas,6Z4ZGffQXWS8hV53aIr1J4,Oneness,2017-07-05,0,Gothic Metal
5qjgB1G1wS1S8h0Hxj4A30,Without Words,6w33pH9yoNlM3xpudZYTt4,Ideas,01t7jD67DjIScUHD0V6qxD,New Dreams' Cradle,2003-05-01,0,Gothic Metal
4GL6WVGAvHezxlwiHTU3kC,Origins,6w33pH9yoNlM3xpudZYTt4,Ideas,6Z4ZGffQXWS8hV53aIr1J4,Oneness,2017-07-05,0,Gothic Metal
1TbFOLQGqHqSSueRMaVstR,Ébressz fel,6w33pH9yoNlM3xpudZYTt4,Ideas,5w1Z4k8SLViKjkC9wm9iYM,Főnix,2008-11-27,0,Gothic Metal
5EFcgEMG5ajTXpfnbmA8bN,Ébredés,6w33pH9yoNlM3xpudZYTt4,Ideas,1SQDn8s3OQnYr96y4Q9kP8,Ébredés,2006-05-25,0,Gothic Metal
1kzMEMnfzSsWRfcvi7pZ97,Abyss (Acoustic),6OSMGIovgOxgIyaZkFU4I6,Raven Tide,6r2NAIY5tgBfmuojQWIBi6,Novarize,2017-09-27,0,Gothic Metal
3IVxgUupPng3WHHMTp5GTS,Wake me up,6w33pH9yoNlM3xpudZYTt4,Ideas,3TYkdZpOeE8nrT0a3CdCZw,Phoenix,2008-11-27,0,Gothic Metal
68SrP32PGsGfplGdzAnNhe,Abismo,20YNLDxAaYgH2WsS8imwl7,Son Et Lumiere,7Fnnqi3mbkisWB4LuGAmmj,Refraccion,2019-12-13,0,Gothic Metal
7LZ7NJHe3wOilfP3Q91Ym0,Szerelem,6w33pH9yoNlM3xpudZYTt4,Ideas,5w1Z4k8SLViKjkC9wm9iYM,Főnix,2008-11-27,0,Gothic Metal
3cdyqKVau7B3rSz7CORQh9,Vira stahuje noc,65FLOPJuuqdbdhdGbPKcj3,Astral,2YDSaczwqVKzBQhI1ni2Fc,Salva me!,2010-08-18,0,Gothic Metal
5yiH3oycoIS4F9X47Ewd3h,Path of Sorrow,5p4gGNjjzlWt6Of2OTMylC,Where Angels Fall,6OFSNxDpVjbJ9kqCfrpVri,Marionettes,2008-10-25,0,Gothic Metal
1rIMsW1h0iN2IYXm8BsaBr,Mankind Arise,6zUpMgFggd8OpP4tVFIBFZ,Lord Agheros,2Js1yJ3e2LIOp6AbCEyCyz,Nothing at All,2016-09-02,0,Gothic Metal
4ydAJoklNb6wchnKg93vrs,Your Ulster (Live 1985),0ZXKT0FCsLWkSLCjoBJgBX,Anathema,4eCn5THsC8O36o6IUV1tCn,Lost Punk From The 80'S & Future Punk Classic's volume 3,2017-07-04,0,Gothic Metal
603aBTZWMx9xAK3Vc1XFp4,It Never Felt Like This Before - Acoustic,11MqpRTJBqQJJuk1GxslNJ,Autumnblaze,7ACyAzT6OYlM4peJSlysCB,The Mute Sessions,2003-11-19,0,Gothic Metal
52F8qC4u0F2XWdlaEId0Wv,Enigmatic Memories,6w33pH9yoNlM3xpudZYTt4,Ideas,01t7jD67DjIScUHD0V6qxD,New Dreams' Cradle,2003-05-01,0,Gothic Metal
6HXYNJ9R6fxaJ1hJGxdDqk,Hide your heart,6w33pH9yoNlM3xpudZYTt4,Ideas,1iT75JF0cVelnIlKxBxnsK,Hide your heart,2011-06-06,0,Gothic Metal
60eBzKsKtAnrNnWv0dMZfU,Éberen figyelj,6w33pH9yoNlM3xpudZYTt4,Ideas,2Kmxmwj6p7NYuXKHEt0ic7,Egység,2017-07-05,0,Gothic Metal
4M5RfkBQ5fDbMfyg1CX8gr,Run with the Wolf,3plrLljdYlvsskVoFCvwWH,Witches of Doom,3JoyDph7kjmeR9WQEISXT3,Deadlights,2016-04-29,0,Gothic Metal
7cR20gD0wQoAdfALcXXH2O,On every roads,6w33pH9yoNlM3xpudZYTt4,Ideas,1iT75JF0cVelnIlKxBxnsK,Hide your heart,2011-06-06,0,Gothic Metal
0849QTECRVG3cqB8DWxDYi,Anomalia,4goSmf8MCKLsGP7own2QQ7,Motus Tenebrae,3GeHQTPPdTZ9ZstcUIn6nn,Soul Expression,2008-01-01,0,Gothic Metal
5MQnsqUtpRUlXGTUd4AYjr,Zoro (ripresa),533uOto4Sr77SbpZxhi2bh,Sirgaus,4MMwcxvL39LZOCsIvilA95,L'Anguana e la Gemma del Mare Ancestrale,2023-02-16,0,Gothic Metal
7AWWasTK6azqqIl3aOYaMl,New day,6w33pH9yoNlM3xpudZYTt4,Ideas,789N2kKpTDZKWxKg3X51l4,Revival,2006-05-25,0,Gothic Metal
3ahkMe71V9jQPLNJtI4eyv,Spettralia,5QDy8Im4BMOdS9LZaabiYr,Setanera,6VydoGOvSrc9RXqfuKmmlU,Symphonic Rock Hymns (7Hard Jubilee Series),2018-02-09,0,Gothic Metal
1PcPn4oA56eqjBTA7NYch3,Forever,6w33pH9yoNlM3xpudZYTt4,Ideas,1iT75JF0cVelnIlKxBxnsK,Hide your heart,2011-06-06,0,Gothic Metal
1HY9LNkXM2r9alo2W3nWMw,The rover,6w33pH9yoNlM3xpudZYTt4,Ideas,1iT75JF0cVelnIlKxBxnsK,Hide your heart,2011-06-06,0,Gothic Metal
7mnQIb4rWKyKtdSB99l7qR,Absolute Contrast,3fkm4bQsxoblPOlgh1iKPF,Shining Fear,3dgKjPVOIv1hD2few0y513,Apocalife,2010-01-15,0,Gothic Metal
1CwEg7FnBC4DJoX8NGwXqD,On The Path Of Reality,6w33pH9yoNlM3xpudZYTt4,Ideas,52XVhuCMEauvhy3R4mgUsN,Journey Around A Soul,2003-01-10,0,Gothic Metal
4JuQnvGRHQWQgVLSDrYS1C,Female Fronted,1QPqC0I7ggY7Etb5JTV6LG,Jaded Star,75gsmP3pnC3zC75sQFjX5o,Noble Demonic Metal – Chapter 1,2020-12-18,0,Gothic Metal
3k1SClsRE60rpU4rdPSzeb,World Of Our Dreams,6w33pH9yoNlM3xpudZYTt4,Ideas,01t7jD67DjIScUHD0V6qxD,New Dreams' Cradle,2003-05-01,0,Gothic Metal
1Vgs9wO9XbbWxiizRUuWbz,Inner Balance,4goSmf8MCKLsGP7own2QQ7,Motus Tenebrae,3GeHQTPPdTZ9ZstcUIn6nn,Soul Expression,2008-01-01,0,Gothic Metal
2EvYYT8cFWDWk2NRbU2Rog,Petaka Susuk Diri,3cdXtqRqJVidTJjx9YOAnr,Tali Ari,41nRcV6TwuzqNkBvNGUq9H,Ilusi Kebencian,2024-04-27,0,Gothic Metal
6ocFgEEeNSzgYY3p5HNSyi,Phoenix,6w33pH9yoNlM3xpudZYTt4,Ideas,3TYkdZpOeE8nrT0a3CdCZw,Phoenix,2008-11-27,0,Gothic Metal
0TCYvFMi1waLbaaaDOfyTy,Afflatus Audio,5zCc1hZPURXwIqFGRwxm1t,Whyzdom,0q6MyzMKmXR8gm1d6YMVd9,"Metal Central TV Vol, 12",2019-10-17,0,Gothic Metal
7bJLd719NzPyzYFoQZzqfj,A Last Kiss,4UdXZONILAUZQtQqtQuD8V,The Sun of Weakness,5W63yIg3rrDl0hlzXMCYYg,At the Edge of Shine,2004-07-24,0,Gothic Metal
4fPivTAmjnnHnqsVhBLcFN,My Drama,6w33pH9yoNlM3xpudZYTt4,Ideas,01t7jD67DjIScUHD0V6qxD,New Dreams' Cradle,2003-05-01,0,Gothic Metal
12uPTHpYwoMvEcfFYZfNvA,Dunnos,1kuj40JRujZ3KAQlBiUXjx,Labyrinthus Noctis,2Z0byM9SXEgLaFfQNLluoN,Dark Unknown Nonreflective Nondetectable Objects Somewhere,2012-07-06,0,Gothic Metal
0wEMPfi8fvCrWLFIPbhszm,Az önzés ára,6w33pH9yoNlM3xpudZYTt4,Ideas,1fJ0VC7FeAhhzZS7nnSTZm,Őrizd a szíved,2011-06-06,0,Gothic Metal
7zyYrUVikrojifJxdY2wGy,Amnio,6OuQrU0luU28oGYhDM8OsI,Raving Season,6bcEPIwEXanUI5tVHkRGu6,Amnio,2013-08-05,0,Gothic Metal
19OC9kfwuL16uENnB3hX47,L'assedio di Famagosta,533uOto4Sr77SbpZxhi2bh,Sirgaus,6YyqzpTQFMOEjpefmmETyN,La bales de canon,2019-05-16,0,Gothic Metal
4CA5Q9LwUWAT0XaNvsDsMZ,Cordura,20YNLDxAaYgH2WsS8imwl7,Son Et Lumiere,7Fnnqi3mbkisWB4LuGAmmj,Refraccion,2019-12-13,0,Gothic Metal
7nXQcbtcabUJb5pMzXNjs6,Túl az élet hajnalán,6w33pH9yoNlM3xpudZYTt4,Ideas,1SQDn8s3OQnYr96y4Q9kP8,Ébredés,2006-05-25,0,Gothic Metal
4wwQl88MPzLDgrgeLxLWJy,2012,4goSmf8MCKLsGP7own2QQ7,Motus Tenebrae,0gdbyYJfrtP1T2YWvPSIOM,The Synthetic Bliss,2010-01-02,0,Gothic Metal
1R8uoao9UP3zdAqtoxeTFM,Path of Trasmigration,5cMD1VO0rOwTus1XyO60L0,Inner Shrine,75RgBNKfzEcwpoNomDZ4jj,Path of Trasmigration,2004-12-31,0,Gothic Metal
3KNzOdA3y5FNVCLBdgXIio,Fratelli... Tutti 'sto cazzo!,3KLY0pmQHbDOS0spNSn4of,Deviate Damaen,3RURFs1Y4uwZ1L34VYEun6,Fratelli... Tutti 'sto cazzo!,2021-04-25,0,Gothic Metal
3jxSussbUagfdeBL3A4D5L,La Lama il Ghiaccio e il Fuoco,1GA1i7gyxhMlRr5n4cOi9V,Dunwich,543w95SinJmt0AkMEGfjen,Heilagmanoth,2008-01-01,0,Gothic Metal
7L2i0p7FujUgUJqbicLb3m,In The Surface Of The Worldsea,6w33pH9yoNlM3xpudZYTt4,Ideas,52XVhuCMEauvhy3R4mgUsN,Journey Around A Soul,2003-01-10,0,Gothic Metal
07FCVXpnefQQZhhB0mB22K,The Horrible Marquise (Instrumental) - Live,3KLY0pmQHbDOS0spNSn4of,Deviate Damaen,5roDndz9U1RxXxDbZ9iAyO,Just Dead Applause...! (Live),2002-01-01,0,Gothic Metal
5tLyCD2vzCN3k8lFj0m7bw,"Onwards, Pt. 1: All Is Fair in Love and War?...",0hk3NBCfedrc9J4qj27UxG,Triosphere,6nKShK4tdhVXElSypFwyZI,Onwards,2006-01-14,0,Gothic Metal
2AI0WTwG0nyaRuv00s8ORE,Restless Rain (il rumore della pioggia),6OuQrU0luU28oGYhDM8OsI,Raving Season,6bcEPIwEXanUI5tVHkRGu6,Amnio,2013-08-05,0,Gothic Metal
4LKXTWdCP6wjHwhThkJRuv,Azt mondom nem,6w33pH9yoNlM3xpudZYTt4,Ideas,5w1Z4k8SLViKjkC9wm9iYM,Főnix,2008-11-27,0,Gothic Metal
6Qe0MsGV4PmX54gUtX5Yd6,Essici semper - Plettro Remix,3KLY0pmQHbDOS0spNSn4of,Deviate Damaen,0Esl4OLiLh0Sl0aK5JRQUf,Skizzi di riskio,2020-09-30,0,Gothic Metal
3fSvOZPyDY4Relk1FKnefg,Uno Strumento di Dio,533uOto4Sr77SbpZxhi2bh,Sirgaus,2KddRfZXmtF4rBhtvuUu9m,Non Fiori ma Opere di Bene,2024-09-27,0,Gothic Metal
6vB14HjI6aU6DAirHIverd,"Before, Part Iii - The Present (Drops of Tears ...)",752Rl4eXD83r1vn6BN0azL,Fallen Sentinel,3F4Gg0fewPrLgvx8xUjH7w,Eternity and Before,2011-01-21,0,Gothic Metal
42y5hFQw2CTtseiPUovJuw,Into Your Hands,096Toz6N161MGGP9Z54QQ1,Kandia,1fmOc8cKUGpcv2BYNqLxYL,Seven - An Ethereal Sound Works Compilation,2014-07-31,0,Gothic Metal
6o055V9SNoRaez0M7kCYAV,Deface - The Things That Made Me a Man,3plrLljdYlvsskVoFCvwWH,Witches of Doom,3JoyDph7kjmeR9WQEISXT3,Deadlights,2016-04-29,0,Gothic Metal
5rAFmkGkaqJlCYMsqGxLgG,Egység,6w33pH9yoNlM3xpudZYTt4,Ideas,2Kmxmwj6p7NYuXKHEt0ic7,Egység,2017-07-05,0,Gothic Metal
7HYzvu6Lh88gRdU3cVveGZ,Kosmonaut Vladimir Komarov,1kuj40JRujZ3KAQlBiUXjx,Labyrinthus Noctis,73zyEd5czrPfPZzb9Q95TJ,Opting for the Quasi-Steady State Cosmology,2018-04-16,0,Gothic Metal
0ovPfJajFHrp4BC7ZgNLQU,Shadow of Night,3KLY0pmQHbDOS0spNSn4of,Deviate Damaen,4b0dbAxKJUJtyhn0QbLUf3,"Dark Waves, Vol. 6",2021-01-08,0,Gothic Metal
4P3nj2MBShGvAmohi13HI7,Őrizd a szíved,6w33pH9yoNlM3xpudZYTt4,Ideas,1fJ0VC7FeAhhzZS7nnSTZm,Őrizd a szíved,2011-06-06,0,Gothic Metal
15QL74iocuCHs4y2yTOaMu,Drastic times,6w33pH9yoNlM3xpudZYTt4,Ideas,789N2kKpTDZKWxKg3X51l4,Revival,2006-05-25,0,Gothic Metal
5YApjONDz9gOmzhvXfipzG,Bravery 2000,1xKWwvtQAOXdCNsLz0Hso0,Source Of Tide,3kwdnknMkN9QKp5WrI5iFl,Blueprints,2002-02-19,0,Gothic Metal
1ry9Eg3shfabJpj7orRIgL,Every Cold Second Zakk Michaels Remix,4BbsMj6DmaHcE27FQ9gnb3,Angercure,4S1mMeVm7LupHR7rbrfo1a,Arguing in Dichromatic Days,2010-05-15,0,Gothic Metal
6TgVkJoMkDqb0HtUaXkDdL,Buon maiale,3KLY0pmQHbDOS0spNSn4of,Deviate Damaen,0Esl4OLiLh0Sl0aK5JRQUf,Skizzi di riskio,2020-09-30,0,Gothic Metal
3Z3kitN3VBUjBFHGhPsfhd,The Whispering Darkness,1GA1i7gyxhMlRr5n4cOi9V,Dunwich,1bq0UQ3vZQLzUGZfIKfDmw,Il Sogno e L'Incubo (Vita e Opere di H.P. Lovecraft),2023-06-30,0,Gothic Metal
14scVxCNS4vGCtpAagLlE7,... And Some Thoughts,6w33pH9yoNlM3xpudZYTt4,Ideas,01t7jD67DjIScUHD0V6qxD,New Dreams' Cradle,2003-05-01,0,Gothic Metal
3bNVZRH9q5pG4ON1v66zRy,Into Your Hands,096Toz6N161MGGP9Z54QQ1,Kandia,0ZbNp2ogfFNQv87Tw4llP7,The Autumn Collection Vol1,2011-08-30,0,Gothic Metal
5Pkx1QPTrpHs1U2GQWCBtr,Snatek s Vecnosti,65FLOPJuuqdbdhdGbPKcj3,Astral,0RK4429tbm6m8izwSGnmlc,Snatek s vecnosti,2010-08-19,0,Gothic Metal
2oywYxfCWbn3RAnZpuQhgE,After midnight,6w33pH9yoNlM3xpudZYTt4,Ideas,6Z4ZGffQXWS8hV53aIr1J4,Oneness,2017-07-05,0,Gothic Metal
3hfoQKJFROhBaljtsQgvRm,Silent rain,6w33pH9yoNlM3xpudZYTt4,Ideas,3TYkdZpOeE8nrT0a3CdCZw,Phoenix,2008-11-27,0,Gothic Metal
6qbDGKW9yhhF3VlNuxACTc,You Will Meet Your Love,1ufI83CMg1Uux5ChTZfQsC,A Day in Venice,3civhcejMZcYDu6dGZxZ7e,IV,2023-06-06,0,Gothic Metal
