track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
2WH1nmYYKDr6VqlU9hhOVY,The Purifying,6w33pH9yoNlM3xpudZYTt4,Ideas,52XVhuCMEauvhy3R4mgUsN,Journey Around A Soul,2003-01-10,0,Gothic Symphonic Metal
15QL74iocuCHs4y2yTOaMu,Drastic times,6w33pH9yoNlM3xpudZYTt4,Ideas,789N2kKpTDZKWxKg3X51l4,Revival,2006-05-25,0,Gothic Symphonic Metal
4P3nj2MBShGvAmohi13HI7,Őrizd a szíved,6w33pH9yoNlM3xpudZYTt4,Ideas,1fJ0VC7FeAhhzZS7nnSTZm,Őrizd a szíved,2011-06-06,0,Gothic Symphonic Metal
52F8qC4u0F2XWdlaEId0Wv,Enigmatic Memories,6w33pH9yoNlM3xpudZYTt4,Ideas,01t7jD67DjIScUHD0V6qxD,New Dreams' Cradle,2003-05-01,0,Gothic Symphonic Metal
5YApjONDz9gOmzhvXfipzG,Bravery 2000,1xKWwvtQAOXdCNsLz0Hso0,Source Of Tide,3kwdnknMkN9QKp5WrI5iFl,Blueprints,2002-02-19,0,Gothic Symphonic Metal
0784i4006IVrbfsQ5XOZap,Te döntöd el,6w33pH9yoNlM3xpudZYTt4,Ideas,5w1Z4k8SLViKjkC9wm9iYM,Főnix,2008-11-27,0,Gothic Symphonic Metal
21FY3aScZp0XBLVzAHKgh1,Prayer of tears,6w33pH9yoNlM3xpudZYTt4,Ideas,1iT75JF0cVelnIlKxBxnsK,Hide your heart,2011-06-06,0,Gothic Symphonic Metal
0S5Wt8QwNqAkeXdHR3mcID,Revival,6w33pH9yoNlM3xpudZYTt4,Ideas,789N2kKpTDZKWxKg3X51l4,Revival,2006-05-25,0,Gothic Symphonic Metal
4YDf49DrV3QbNGtsrZiMoX,Don't Stop Believin',2mKiBiT7SkTNNgWqaZynfw,Northern Kings,5VD4SUg00mZWgQEC7gzcFP,Global Rock Fusion,2024-04-30,0,Gothic Symphonic Metal
1CwcW8MJElpLL56aopHZfT,Pure Flying,6w33pH9yoNlM3xpudZYTt4,Ideas,01t7jD67DjIScUHD0V6qxD,New Dreams' Cradle,2003-05-01,0,Gothic Symphonic Metal
0Sil9ZMYfCfuOko5gNHjMS,The Poet (Twilight of a Tale),6w33pH9yoNlM3xpudZYTt4,Ideas,6Z4ZGffQXWS8hV53aIr1J4,Oneness,2017-07-05,0,Gothic Symphonic Metal
