track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
0TL6V4UEsqSNiXpDH7p9IH,I never dance,4YOxehuAixup3ubJfzzlJs,Cartilage,51n9POJNuHVZAU4pgvNXBC,Hide from the public eye,2022-10-01,0,Grim Death Metal
4LufHDfiaSgJKRvLMWW1pH,Green Jam 3,6Hbh5vbcHrQ2KgrTnA7tLz,Victims of Internal Decay,7nUQIir5fh1gNv2m69CN02,Resin 67 Sessions,2020-09-15,0,Grim Death Metal
3cfnezimV2CCWS5rNxCM7Z,Green Jam 1,6Hbh5vbcHrQ2KgrTnA7tLz,Victims of Internal Decay,7nUQIir5fh1gNv2m69CN02,Resin 67 Sessions,2020-09-15,0,Grim Death Metal
3Als8lI4wzOf9W2Nc8uP2f,Green Jam 4,6Hbh5vbcHrQ2KgrTnA7tLz,Victims of Internal Decay,7nUQIir5fh1gNv2m69CN02,Resin 67 Sessions,2020-09-15,0,Grim Death Metal
6ErfVaSxVgtmkqk076v70B,Death Rider,0EtjkDuswRJAwr6vszY5Og,Apophis,4qTyVDNE7gJaYRAJuAgTwd,Apocalypse Rock,2010-06-11,0,Grim Death Metal
1n20OnRVcujV99tzddxxvj,Buried to Rot-14,15bWcusRsDaThBO9CRSSKO,Toxaemia,20iliCVXWb4BS1ATYplUx6,Buried to Rise: 1990-1991,2011-12-23,0,Grim Death Metal
0oW8AqVL1nK2C73rgjq2kg,Private film,4YOxehuAixup3ubJfzzlJs,Cartilage,51n9POJNuHVZAU4pgvNXBC,Hide from the public eye,2022-10-01,0,Grim Death Metal
2Nhh47wY8C4O93qfP1ZqLb,One Time In Life,0EtjkDuswRJAwr6vszY5Og,Apophis,4qTyVDNE7gJaYRAJuAgTwd,Apocalypse Rock,2010-06-11,0,Grim Death Metal
0GRa3VsIt1hVgTeOSKLDmP,Satellite Christ,0EtjkDuswRJAwr6vszY5Og,Apophis,6XczHudJfiPul9zIeWiGDu,The Theory of De-Evolution,2010-04-20,0,Grim Death Metal
72FilHnVNzt2b9S7fMQ6bH,The night parade,4YOxehuAixup3ubJfzzlJs,Cartilage,51n9POJNuHVZAU4pgvNXBC,Hide from the public eye,2022-10-01,0,Grim Death Metal
3GH7CPiVeXcGfqWrIM0m6x,Festering Sore,756A3jsp3xunGsWkJl5slM,Xysma,0TQq0cHpdpd3sVdKr9eYcO,Yeah / First And Magical,1992-01-01,0,Grim Death Metal
3cxRGHq4r87JJ03WtgjUsV,Endless summer,4YOxehuAixup3ubJfzzlJs,Cartilage,51n9POJNuHVZAU4pgvNXBC,Hide from the public eye,2022-10-01,0,Grim Death Metal
2UfbinnCDhol3z8c8NZE2t,Darkness On Earth,0EtjkDuswRJAwr6vszY5Og,Apophis,4qTyVDNE7gJaYRAJuAgTwd,Apocalypse Rock,2010-06-11,0,Grim Death Metal
5eUGF3L0AC8rmrRI645Alr,Stereotaxic,0EtjkDuswRJAwr6vszY5Og,Apophis,6XczHudJfiPul9zIeWiGDu,The Theory of De-Evolution,2010-04-20,0,Grim Death Metal
0E2afmOPoKM1bASqvDVIg1,Effetto Yarkovsky,0EtjkDuswRJAwr6vszY5Og,Apophis,4qTyVDNE7gJaYRAJuAgTwd,Apocalypse Rock,2010-06-11,0,Grim Death Metal
5Hu9H2Unpt5JXS5iMvOviw,Lady wearing glasses,4YOxehuAixup3ubJfzzlJs,Cartilage,51n9POJNuHVZAU4pgvNXBC,Hide from the public eye,2022-10-01,0,Grim Death Metal
4y3cXUljtFFSTaaEAhOBeK,Survival of the Fittest,0EtjkDuswRJAwr6vszY5Og,Apophis,6XczHudJfiPul9zIeWiGDu,The Theory of De-Evolution,2010-04-20,0,Grim Death Metal
0ER93R4Zn63eLsK4wqNOPv,Glasses play,4YOxehuAixup3ubJfzzlJs,Cartilage,51n9POJNuHVZAU4pgvNXBC,Hide from the public eye,2022-10-01,0,Grim Death Metal
2QlMyBvwKPVNr0YFlscyih,Pathologists Perversitys,756A3jsp3xunGsWkJl5slM,Xysma,0TQq0cHpdpd3sVdKr9eYcO,Yeah / First And Magical,1992-01-01,0,Grim Death Metal
