track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
3T5HFx65MJZ0MAaJmroE53,Blind Faith,2VAHdNi9v1ae2FVJmVNKU7,Capitalist Casualties,09L3eJX0axMCx5u5aKpzoP,Disassembly Line,1992,0,Grindcore
51Ud1dkixxAjEtO9PegFHK,Schlachtfest,2UXeWc8IMGzAdJeBvjLeHq,Yacøpsæ,05Z3LAs0ybwd4vQpgTa70u,Einstweilige Vernichtung Part 1,2001-10-02,0,Grindcore
642DFMRDcqrk6A8F2ALoDS,Outside In,2gyZHlI5HIDctuCa2Crm2I,His Hero Is Gone,3BiRyrXcXGyLvhwWMKWKqi,The Plot Sickens,1998-03-01,0,Grindcore
2kt40IZmzwb2ee2s6OZPlq,Scalpel,1rXjfC9HsVIIHggTMuxvSL,Iron Lung,4OKayvXBnByCt3Vxq06uhg,Savagery,2014-08-10,0,Grindcore
0VZbGde0UntJl3KBjEklpq,Spayer,2o7bPXB4iqXbMFnHo22i7N,Olivia Neutered John,7KR9f8g3KQiE6ftrdlDSCj,Complete Castration,2018-10-31,0,Grindcore
2CtLagr6ruzXTAZ6hIHurJ,H.L.T.,0Mt971osfNFxZ3X6jqFwXf,Endless Swarm,6UPyhmX5v3wQQUCDqs94e4,Collection,2018-03-09,0,Grindcore
4KWfERNiG1q1nv7f9kx2OD,Empty Your Pockets,45FXsWRxYogI0PWzWHNwCm,Gets Worse,0lzIwILh93tTiEOkXAA73v,Struggle,2017-07-02,0,Grindcore
1HzDfvIcyAPM13Ssnv5dEz,Survival,4Uu8hbzDD9HAtLosp8g4jB,Dropdead,5TNyZUltfhDHhETnp39lMW,Demos 1991,2020-08-14,0,Grindcore
4qoKSyQUGQlBlMdJ7FCsSG,Puke on It,7pL20gpmXwB8GB4zoj6sTb,Putrid Pile,20ZYQA6O1PcVnxhssCVSvm,Paraphiliac Perversions,2016-05-26,0,Grindcore
47FPpK6yp6hfIgfv1wg7va,The Infection,2gOteqH220dj2Ph0PJ8js3,I the Intruder,2SMv5mO0vjXLOWT9fWnlyu,Exilium,2015,0,Grindcore
