track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
7FAYkIx7lsOQNcot9qEWgA,Long Live the Death Cult,3PLUqL7h2FK5hGjAY2MmDG,Headhunter D.C.,08bhFF2dbOYbv7suPtsNLt,God's Spreading Cancer,2007-06-05,0,Grisly Death Metal
3kNYCmV2z7roZC76V1d3Sc,Perpetual Decline,6Wcg95EatXjZLbbRHkvx5g,Absence of the Sacred,5hq7MbYtU4YQYGQa4ECRGJ,Come Hither O Herald of Death,2012-03-01,0,Grisly Death Metal
554ZNXjsWMZkle1wOwQiAk,Enslave Fire,6Wcg95EatXjZLbbRHkvx5g,Absence of the Sacred,5hq7MbYtU4YQYGQa4ECRGJ,Come Hither O Herald of Death,2012-03-01,0,Grisly Death Metal
5nyBk14e8AVxdkwHVs2MDn,Recesses of the Hollow,6Wcg95EatXjZLbbRHkvx5g,Absence of the Sacred,5hq7MbYtU4YQYGQa4ECRGJ,Come Hither O Herald of Death,2012-03-01,0,Grisly Death Metal
0hdFrDBQA1i1BaI2mt7Zck,Elements of Reprisal,6Wcg95EatXjZLbbRHkvx5g,Absence of the Sacred,55phy1nu03fEvBdbQxoKps,Era of the Apostate,2008-10-24,0,Grisly Death Metal
1x3enQfYnmKImvyaNkGI78,Dawn of a Dead Aeon,6Wcg95EatXjZLbbRHkvx5g,Absence of the Sacred,5hq7MbYtU4YQYGQa4ECRGJ,Come Hither O Herald of Death,2012-03-01,0,Grisly Death Metal
1IH2SalAbG7qx8KXRlxkQD,Harvest The Storm,5bdhMXYRvM1nFnH2TFZKT0,Magna Mortalis,3gxqa83dRJJseGX6NbqbQe,Jetzt ist Schluss mit Kaspermucke,2022-01-14,0,Grisly Death Metal
2Mpe4CV1W0z6CTrgNVyFVG,Venustus Caedes,57q1CeQfPLVE17GUgWAyPd,Grace Disgraced,4HkPHJlUfSveveYna5bcFe,The Primal Cause: Womanumental,2014-04-24,0,Grisly Death Metal
4zUXwTai1xZlBWGkyVejrQ,Three Blind Mice,0Pewh8RXLNvv4WBMGz2nha,Symptom,34dZWHCACTTs0ngoW2tMXt,Temporary Alien Residents,2015-07-13,0,Grisly Death Metal
1V47mNnYXOSNl8HPgtytQM,Curse the Gods,7eYv0P4pmiNrIdpni3hLag,Abominant,6KyyYZzsyhVsrkSA50C1fp,Armageddon: The Tribute to Destruction,1998-03-18,0,Grisly Death Metal
0U5jGXNB9gNGe4qltpIGO4,Religionism,5Gmu6WWZxxkidTa0xvj9nx,Diabolical,4DeAHsIQTJhaHnOZkyyBWY,The Gallery of Bleeding Art,2008,0,Grisly Death Metal
08JV8ri2PBXGXJv0w5IFft,Castrate Immortal Beast,5WOBHV40DFyglQzLVjoH2s,Entrails,0uuOemJ63fcvwM3LHemtMw,"Knights in Saint Wally's Service Presents: Bobobn, Vol. 9",2012-02-05,0,Grisly Death Metal
5AiMSzm1IuAbW8ZOmcSmDh,Entrails,5WOBHV40DFyglQzLVjoH2s,Entrails,0uuOemJ63fcvwM3LHemtMw,"Knights in Saint Wally's Service Presents: Bobobn, Vol. 9",2012-02-05,0,Grisly Death Metal
0FvmQD3fCJLrlO1SEXqy5i,Unholy War,6Wcg95EatXjZLbbRHkvx5g,Absence of the Sacred,55phy1nu03fEvBdbQxoKps,Era of the Apostate,2008-10-24,0,Grisly Death Metal
5SkD131wwhz376nIUSJ68B,Enlightenment Despised,6Wcg95EatXjZLbbRHkvx5g,Absence of the Sacred,5hq7MbYtU4YQYGQa4ECRGJ,Come Hither O Herald of Death,2012-03-01,0,Grisly Death Metal
3Cz7wO0Sq5HtXDe80HRYWs,Angelkiller,3PLUqL7h2FK5hGjAY2MmDG,Headhunter D.C.,08bhFF2dbOYbv7suPtsNLt,God's Spreading Cancer,2007-06-05,0,Grisly Death Metal
1VY1W8RBbPtA1KmDqYwTlI,Body Barrier,0Pewh8RXLNvv4WBMGz2nha,Symptom,34dZWHCACTTs0ngoW2tMXt,Temporary Alien Residents,2015-07-13,0,Grisly Death Metal
03Jdjq9BvZLU7HtLcGPgtc,Tagen med våld (slakthusgolv),5Q2bGeGfdne9kx6AAzutJP,Bloodgut,3vDPRRG2zp89sfpsu1aKXH,Nekrologikum Evangelikum pt II: FURNAGE WORLD,2011-12-12,0,Grisly Death Metal
4zFjn8riPSfB0AXPuD71Kr,Make It Work,0Pewh8RXLNvv4WBMGz2nha,Symptom,34dZWHCACTTs0ngoW2tMXt,Temporary Alien Residents,2015-07-13,0,Grisly Death Metal
52cT9tZQs6ODLoRYvBdoEA,A Past Revived,6Wcg95EatXjZLbbRHkvx5g,Absence of the Sacred,55phy1nu03fEvBdbQxoKps,Era of the Apostate,2008-10-24,0,Grisly Death Metal
7KTleyecqssgbTFX4yWptH,Quandary of Flesh,6Wcg95EatXjZLbbRHkvx5g,Absence of the Sacred,5hq7MbYtU4YQYGQa4ECRGJ,Come Hither O Herald of Death,2012-03-01,0,Grisly Death Metal
36HZM4vIJrIaqRPshJ92NH,Disunited,3PLUqL7h2FK5hGjAY2MmDG,Headhunter D.C.,6xqrmRmJ5lWgbbcafz1CpY,Born… Suffer… Die…,1991,0,Grisly Death Metal
7GF9pu5F6z8rMVGhKLpFqL,Into the Bright,0Pewh8RXLNvv4WBMGz2nha,Symptom,7cX28fkortvombUK0HRKLV,I Believe in You,2015-07-13,0,Grisly Death Metal
4ZGmbzVfAomR3IIVMHmHxR,These Hollow Graves,6Wcg95EatXjZLbbRHkvx5g,Absence of the Sacred,55phy1nu03fEvBdbQxoKps,Era of the Apostate,2008-10-24,0,Grisly Death Metal
1daKv0fLzi6WFFjFvuA0Bf,Sightless 6,5Gmu6WWZxxkidTa0xvj9nx,Diabolical,0qpm8spP6s344NBGM5u90b,ViciSolum Vol.1,2012-01-16,0,Grisly Death Metal
6pTU7lwq6VaCU37TXNo0az,Oracle,6Wcg95EatXjZLbbRHkvx5g,Absence of the Sacred,5hq7MbYtU4YQYGQa4ECRGJ,Come Hither O Herald of Death,2012-03-01,0,Grisly Death Metal
7inEHDJ1yveagtcOThZp0N,Eye,5Gmu6WWZxxkidTa0xvj9nx,Diabolical,1XkELmLPA0TicHzaIPdiau,Eye,2010-11-21,0,Grisly Death Metal
2QvCoxkLuLGKeUD96okIa5,Cosmic Necrosis,4DlUNA1UY87BQbRdMCaCf1,Deadly Remains,1XPnNBvj4z0mJbmywnmTCS,Severing Humanity,2012-08-14,0,Grisly Death Metal
1e82McTQHuV2zKr3tyoH1c,Ultimo koprophago,5Q2bGeGfdne9kx6AAzutJP,Bloodgut,3vDPRRG2zp89sfpsu1aKXH,Nekrologikum Evangelikum pt II: FURNAGE WORLD,2011-12-12,0,Grisly Death Metal
2vgyDy2oaYDMLjiaVyu8sB,Intro,2FdxnNop2fGGiaDbszPUOB,Souldeceiver,1twE8uQjlYcPNxlTCBDhfF,New Nation,2016-11-25,0,Grisly Death Metal
7n7yGJqqRypbGdrQRzEVcO,Darwinian Minions - Bonus Track,56t7xTSxdKKNrfqR8gFDPn,Goat the Head,6yxN8MNDC4uSD1VNJWxz2h,Simian Supremacy,2007-10-22,0,Grisly Death Metal
00aJrMGIG9f5zf5iE1snT4,Deadly Cosmic Rays - Original Mix,11qSMxLoqFSXUfIUfs54Ub,Ravager,7fiYF2kI0oXQBhlTLDB79G,8 Bit Hollywood / Deadly Cosmic Rays,2011-10-07,0,Grisly Death Metal
