track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
4jNiuqFWoDwCH2cZDOsPCp,We're Not Fools,5JGyNiJ4JddQbEZCor1Tr8,New Democracy,0ukG2VOZXleHxudLY32w1G,Disgrace to the Family,2017-03-01,0,Groove Metal
2gWoKkZZ8yFSkGhn4OT04B,Reverse,2AztJcP4GBEvmSrioSUkgV,Dust From Misery,6Z1LLZzewjTrfcjnAv2r8I,Dust from Misery,1999-01-31,0,Groove Metal
0BWLNMmGvBMewuKQFMVs8o,Shape Your End,3XaDeQ2Hqr1BmOJjqRPlHG,BlackDamp,4ZPIT1uyGEPG6GStJSR0Y3,BlackDamp,2007-01-01,0,Groove Metal
1Buq14sgmsV9fDNHK7bj9u,Get Intro the Pressure,5aYf21JkEq61zRxUwTvuns,Torvo,54ZywtpDLcWL6y4gdjAVY4,Into the Pressure,2018-06-22,0,Groove Metal
5NeDkA81Qa3kcyru62pOR6,Inner Plague,2r7ALyYKrj3Ftwibp5rRgG,Abstract Rapture,3vsWMPxMuKTHMVwGK6XGds,Hollow Motion,2018-12-22,0,Groove Metal
0uMUik7Nja0k5vBAbLnXxz,When God Is Murder,34dSvUgludnnGX0ME70g2X,Truth Corroded,3b7f3Ti9Ol7b4dAG1nXnw4,Upon the Warlords Crawl,2013-10-25,0,Groove Metal
45Bg8WOuo6Tyj7uTLu5gEQ,The Throne,6n9XWa8CL7upDxVVmzBZZV,Legacy of Kain,5M6mnXrlzr45VeT0z8QbPK,Paralelo XI,2019-05-16,0,Groove Metal
7mjvC2g0PyHroNoSyNGogB,Dead Womb,6XFfGO6qVLliyJWx48gNO4,Broken & Burnt,0O5BcMxZ9EUqC4D4RjJKmj,It Comes to Life,2016-07-22,0,Groove Metal
5zvBtNgnwXvxPBu9sVb0mt,Papagaio do Futuro,2uS6zz0W5fCIjgMhX62H5V,Hanagorik,6DTT2knW5x9tVSRsIfFCMw,Alceu Ao Nosso Jeito,2012-06-16,0,Groove Metal
2Lj1XZYzO2Ca702n0oHNzN,Psico Terror,7H30PaCZX1557Fu69AvO49,Alkanza,1Sa38EqxZASgDYT5fDMl9J,Colonizado pelo Sistema,2015,0,Groove Metal
1LJXlZIShB6odQKCjxdVN7,Porrada,7H30PaCZX1557Fu69AvO49,Alkanza,1Sa38EqxZASgDYT5fDMl9J,Colonizado pelo Sistema,2015,0,Groove Metal
3mGFEfommSZccQq7kNpE7r,Lost Soul,2AztJcP4GBEvmSrioSUkgV,Dust From Misery,6Z1LLZzewjTrfcjnAv2r8I,Dust from Misery,1999-01-31,0,Groove Metal
2INQMDaOqBrjhgRtmpykX0,Intro,35gZoh8Emm5hfQx2ApIV1g,Alíria,1jjYUGQXobi3trJLYeAXmT,Alíria,2014-12-20,0,Groove Metal
52dOS1EboMVAEzE5k22pKZ,Systole,5ZWRArDmkl8croDSE4LKaM,Watch My Dying,32HbgHWWt62WFNWH6y1kHh,Rendszerhiba,2000-01-01,0,Groove Metal
5uTptYNpJm2klHPvq9xAQR,Despised,1Rm93wBT6Oq0B7bq12TCyF,Aleister C.,08nReZ5eiLgTzbuvIsSt9g,Struggle for Life,2000-06-20,0,Groove Metal
3YinWkrvsLbMYCvOdaYdUI,Bleed,5mAisKCEtpky89G0yiO77M,Chugger,3g6D5TwmlXc2B1Qidu9ZK4,Artister mot speciesism vol 2(Stoppa Våldet),2014-10-31,0,Groove Metal
3GlFWRUVIcuNFwOZFrLvSa,23 Milhas,68ppEBng9KqeCGN60kFmse,Laboratori,3wnVcVpRvCIk7rCj9LdMrD,"Na Casa dos Antigos, Conselho É Terapia",2016-02-18,0,Groove Metal
4nq7VN2Sa4YgC6o6uxJpBc,Backdraft,2Ah9OuOj7B57gPD1cbwiaE,Municipal Waste,2UirD4DbVjOVzeYjIi59wC,Tango & Thrash,2024-03-07,0,Groove Metal
2sQBs2IIGAe55nLl11HouO,The Plague,5JGyNiJ4JddQbEZCor1Tr8,New Democracy,56K9qS3pLDOGJfi6YvuqeX,The Plague,2020-10-28,0,Groove Metal
7L4GPupZZtHZAPBzzLs0ma,Of Gods Drowned in Blood,34dSvUgludnnGX0ME70g2X,Truth Corroded,48DFOnjdmZe7la2Lr4oRIE,The Saviours Slain,2013-12-06,0,Groove Metal
5hEopoQDskJITZzSmlqLzk,Halloween - Instrumental,1Dvfqq39HxvCJ3GvfeIFuT,Mastodon,7k1hk59BDpCYE7k80L1wEs,Noche de Brujas - Halloween - Rock,2023-10-13,0,Groove Metal
1yI62ljo1QCwDOXv5TgOYI,Halloween - Instrumental,1Dvfqq39HxvCJ3GvfeIFuT,Mastodon,46Y3SKj2PtIJPA8OG3dWGU,Halloween Songs,2023-10-13,0,Groove Metal
3OZSGkScgMNY729EMUETKL,Epiphania,6n9XWa8CL7upDxVVmzBZZV,Legacy of Kain,3VQhL0JLTasGGgysC4cIEL,Greta,2016-11-15,0,Groove Metal
6wnVoxkDVzJahgAG6UtKwC,Cycle of Birth and Death,2AztJcP4GBEvmSrioSUkgV,Dust From Misery,6Z1LLZzewjTrfcjnAv2r8I,Dust from Misery,1999-01-31,0,Groove Metal
0RkavOvB6OqzZRQUJLMCd7,Dominação,7H30PaCZX1557Fu69AvO49,Alkanza,1Sa38EqxZASgDYT5fDMl9J,Colonizado pelo Sistema,2015,0,Groove Metal
0OgIc8h6poFZN0siDAeny5,Without Fear,5JGyNiJ4JddQbEZCor1Tr8,New Democracy,0ukG2VOZXleHxudLY32w1G,Disgrace to the Family,2017-03-01,0,Groove Metal
0Nq4VTlVKgrFqaZvTahDkn,Rajada de Vento,2uS6zz0W5fCIjgMhX62H5V,Hanagorik,6DTT2knW5x9tVSRsIfFCMw,Alceu Ao Nosso Jeito,2012-06-16,0,Groove Metal
7jJIKyyQbNAup2zMZHaf0F,Likes a Live,5aYf21JkEq61zRxUwTvuns,Torvo,0jWaLGg6mWum1gJwRSJuKN,Likes a Live,2022-09-01,0,Groove Metal
0s796qfReg899hA9bku7Qz,Amorfa Existência,35gZoh8Emm5hfQx2ApIV1g,Alíria,1jjYUGQXobi3trJLYeAXmT,Alíria,2014-12-20,0,Groove Metal
3xCWAyNnXghZM5JdRMxgE5,It Comes to Life,6XFfGO6qVLliyJWx48gNO4,Broken & Burnt,0O5BcMxZ9EUqC4D4RjJKmj,It Comes to Life,2016-07-22,0,Groove Metal
25wamjkn4mjA59yYavM23r,Love Song,4o7s6kGtanVk87ts7md93J,Misery Inc.,71TJm1SgQWXlIadPHF0NvK,Electraglow,2001-06-19,0,Groove Metal
3jjWxNof4KjBkI2auQKOnL,Ynitum,6zH6MYHlV28nhVXdXCUx9k,Motograter,4BoC5fsK04wLyeEYEIaOpn,Motograter (PA),2003-06-19,0,Groove Metal
3aLUnyVXZIsjBbK1kIPiTu,Espectro,5Lk08VGIGksvO26jDQkSoP,Agona,69gbKxvSNgl43ZOzQVxWSs,Espectro,2019-04-02,0,Groove Metal
1Z7z2wMWKyhGBUwwo2n7Sm,Curl of the Burl,1Dvfqq39HxvCJ3GvfeIFuT,Mastodon,3gooh91HcMbaXUdvu5iViy,Metal Gods,2022-03-04,0,Groove Metal
5snW4bvEKpS1GbrPFMsv9d,Intro (Live),2WLmgv66Uq4vt2i36vwkAq,The Haunted,55mEV4iBN3AX7DOmwEd38B,Live Rounds In Tokyo,2000,0,Groove Metal
4PtVmDUfeYIvqAcZsLTecn,Vou Danado Pra Catende,2uS6zz0W5fCIjgMhX62H5V,Hanagorik,6DTT2knW5x9tVSRsIfFCMw,Alceu Ao Nosso Jeito,2012-06-16,0,Groove Metal
0pgwnJLH7RdHCdhllh2tRA,Agalopado,2uS6zz0W5fCIjgMhX62H5V,Hanagorik,6DTT2knW5x9tVSRsIfFCMw,Alceu Ao Nosso Jeito,2012-06-16,0,Groove Metal
4w7KiaSbO5dsegZj1D7anX,Vozes,6n9XWa8CL7upDxVVmzBZZV,Legacy of Kain,2L7oMbL6kA7OJwnxANcSOn,I. N. V. E. R. S. O.,2017-10-23,0,Groove Metal
1mxbjXH0CtT4NIDE0hKd6T,A Tribute to Our Enemies,3l63SIizPxEaOIUK9CzWOW,Oudn,2yHkOZ7SlVyUICWBJe12c8,Save Us from Ourselves,2016-08-07,0,Groove Metal
3PuzBWuQgr9MHuyNLaA9m4,Veneno,2uS6zz0W5fCIjgMhX62H5V,Hanagorik,6DTT2knW5x9tVSRsIfFCMw,Alceu Ao Nosso Jeito,2012-06-16,0,Groove Metal
6ZYvNHj8EDoQkbbsF1Bgcr,Knives of the Betrayed,34dSvUgludnnGX0ME70g2X,Truth Corroded,0xr2VotpRxvT2CCjFhvspC,Worship the Bled,2013-10-25,0,Groove Metal
6wOuOt2uA4UVHTMc42HnZT,The 7th,2AztJcP4GBEvmSrioSUkgV,Dust From Misery,6Z1LLZzewjTrfcjnAv2r8I,Dust from Misery,1999-01-31,0,Groove Metal
4jMv4Oe54xlT76wPvuVkuA,Residente do Caos,7H30PaCZX1557Fu69AvO49,Alkanza,1Sa38EqxZASgDYT5fDMl9J,Colonizado pelo Sistema,2015,0,Groove Metal
0TGoHKmtj1x8KSZPhG7DLZ,Venom Skies,2r7ALyYKrj3Ftwibp5rRgG,Abstract Rapture,3vsWMPxMuKTHMVwGK6XGds,Hollow Motion,2018-12-22,0,Groove Metal
1dCF2Jf3wBmdtsnM8AI6cR,Condenado,66Lf76HUPNZbNXNHKCDBLB,Exentria,562JAdNSMwboYWl8EBAOWS,La Conquista,2018-12-15,0,Groove Metal
3ekF5BgT3dsgn4szRdxvIE,Espalloc,6zH6MYHlV28nhVXdXCUx9k,Motograter,4BoC5fsK04wLyeEYEIaOpn,Motograter (PA),2003-06-19,0,Groove Metal
5YrWywyDdPSMc37gwDSTVO,Curl of the Burl,1Dvfqq39HxvCJ3GvfeIFuT,Mastodon,6cfdyE3WEcTaK2yeqYE6tK,So Heavy it Hurts,2024-04-20,0,Groove Metal
3XBBZTnzf4iSTUD6xdyzLO,The Seldon Plan,3Vm376UbO2JxtD3TM7gndJ,Hatematter,2aDdG6t8YB0fmJ75rFxNmw,The Seldon Plan,2014-12-10,0,Groove Metal
5Kozn5keRYSBlnQhfcB2s8,Frieza no Olhar,6n9XWa8CL7upDxVVmzBZZV,Legacy of Kain,2L7oMbL6kA7OJwnxANcSOn,I. N. V. E. R. S. O.,2017-10-23,0,Groove Metal
7GudBfgWEVuaDI5cHKxcru,Que Grilo da,2uS6zz0W5fCIjgMhX62H5V,Hanagorik,6DTT2knW5x9tVSRsIfFCMw,Alceu Ao Nosso Jeito,2012-06-16,0,Groove Metal
2HBuEu36wYTicBohDD5doH,Pride of Demise,34dSvUgludnnGX0ME70g2X,Truth Corroded,0xr2VotpRxvT2CCjFhvspC,Worship the Bled,2013-10-25,0,Groove Metal
7yZB8pJHlbUmEjek44TN5U,Black Raven Eyes,2AztJcP4GBEvmSrioSUkgV,Dust From Misery,6Z1LLZzewjTrfcjnAv2r8I,Dust from Misery,1999-01-31,0,Groove Metal
38Z55AN1yl0kgOQCnppvi1,Curl of the Burl,1Dvfqq39HxvCJ3GvfeIFuT,Mastodon,68b0EeN8D81VPNYOrz9h6u,SONGS TO CUT CLASS TO,2024-08-10,0,Groove Metal
3rMPARpdrwxiRhmZOA06eH,Nowhere,7zYUi4USVpCaGq5v1vb4os,The Slit,4HydPwZclfJbNeh1UXx1u9,VI VI VI,2017-04-01,0,Groove Metal
43VLQw76VMiJ3o2bfJXmBc,She Wolf,2yiKqGxWj7uUVuTw0LZUIL,Abhorrent,0klyObfDdq3h1OBlYyhmiZ,This Is the News - The Tribute to Megadeth,2007-03-13,0,Groove Metal
3MChhbS3nl9WHhdrTV2rwH,Saidapet Score (Outro),70Azhem3tXd0epsff6V8UD,Escher's Knot,2yylDnSAKdFkCwbUsl5m1d,Tesellations,2010-05-15,0,Groove Metal
5o69bg1YXv7cvluvx6lOwQ,Alone,1Rm93wBT6Oq0B7bq12TCyF,Aleister C.,08nReZ5eiLgTzbuvIsSt9g,Struggle for Life,2000-06-20,0,Groove Metal
1FJhjXWgGXER8ZW70aAVLw,Isso É Violência,7H30PaCZX1557Fu69AvO49,Alkanza,1Sa38EqxZASgDYT5fDMl9J,Colonizado pelo Sistema,2015,0,Groove Metal
0SxWthxZORODDjaLPesBAp,Halloween - Instrumental,1Dvfqq39HxvCJ3GvfeIFuT,Mastodon,3Rfrv5PN2AnnyAOK4qVbuj,Halloween - Spooky Sounds and Scary Vibes meet Metal & Rock,2023-09-09,0,Groove Metal
2LaKiJ5LCD5nzyBP1JJEZM,Hallowed Black Sun,34dSvUgludnnGX0ME70g2X,Truth Corroded,48DFOnjdmZe7la2Lr4oRIE,The Saviours Slain,2013-12-06,0,Groove Metal
