track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
6zQDpHdUlJl73IWfsMOQA5,Left Me for Dead,1tjlBewFVOoImOZoaTVe4e,Aaron Buchanan And The Cult Classics,6rnbwAWblPJlhAYDhGvdWc,The Man with Stars on His Knees,2019-01-25,0,Hard Rock
2uBtYeqFG8MfNGr2SbmlG6,Intro FDP,7MlOEUg7IX1ZHijxgWiRDX,D.F.C.,4jMTCM9Z65Td9PS13ESEKL,Ludo de Satã,2009-10-01,0,Hard Rock
0Qfwy2lIkbNlyUxK4JAFEB,An Old Fashioned Love Song,4FAEZeJcsYYBkNq2D3KGTV,Three Dog Night,1KYZX9jg9s1S1bnZDnI6dZ,Retro Mania 9,2023-04-15,0,Hard Rock
072Hr4MHnhA0CWP63fWzy3,Intro,20hjSWZHeq66aZZeKn8KYd,Black Drawing Chalks,7ADRrzmnr8RBPtSgX3AZYD,Live In Goiânia,2010,0,Hard Rock
3TEIiCR97D8qDMIUZ1wVcJ,Rolling in the Deep - Live,6WMo39FU3nrpSz3qMgRKug,Black Stone Cherry,7qrRhj8HX5SUn2P1PfvgJl,Southern Rock Hits,2024-09-06,0,Hard Rock
7dufrpXdnWz2lp35cLEQyT,I Want to Know What Love Is,6IRouO5mvvfcyxtPDKMYFN,Foreigner,7rmKuzJuCbH9aaSq4CZXmt,Pop We All Know,2024-03-08,0,Hard Rock
1IXxiI4H6azfBqwudwhrjx,Academia (Ao Vivo),4yWw7EPFxvoHnljO64ZrcK,Pastel de Miolos,7J0EX5t4BhPpW7uHpEIucg,Bootleg Łódź,2020-06-25,0,Hard Rock
2Zn8yH1jZP69cD4gDRF4iz,I Believe In a Thing Called Love,5r1bdqzhgRoHC3YcCV6N5a,The Darkness,1r0fRJ6QpzAjGcHdrSUvgX,Good Feeling 00's,2021-11-05,0,Hard Rock
5i9j9xwYX9OY5x68bH2N8d,The point of no return,1DoYbXxolkSNTovBmuG0C2,The Soundtrack Of Our Lives,3nPjOPRijX80ARQ9SXFB23,Artister mot speciesism,2013-03-13,0,Hard Rock
1Pb8AAQeaxgl4vjWCZmp03,The Light (Live),3HC7NcxQx2Yk0fWoRKJ0xF,Jefferson Starship,4n9uwgYryysoJD8yPHLdbW,"Acoustic Warrior - Live at the IMAC, Huntingdon, NY, February 19, 1999",2011-12-12,0,Hard Rock
3F7tx5V5iffulULPiMEIWf,Slow Down,5K3J449ht1dM3CObXSwU1X,Hellfueled,2nSP1f7vsrfCvDNCjsWQtO,Memories In Black (Bonus Tracks),2007-01-01,0,Hard Rock
20ItVau6KzwnoAMs7aKGW9,L' italiano,5YsYWuQQgVyajqOdRipuMM,S.E.X. Department,2vkrJdkmhahtnnRkbW8SoR,Rock N Roll Suicide,2009-06-06,0,Hard Rock
46mIWhTUsaMV2rpTJDNzED,Too Far Down,3UWlqugOsNUi9T0hkGatGN,Fatal Smile,41YH21Z2t4sdY6NoWYYuuA,Signed Copies of World Domination,2009-04-20,0,Hard Rock
1INwdPJjvjl7QFLrQb5XsE,Moving in Stereo,6DCIj8jNaNpBz8e5oKFPtp,The Cars,5Padu48U33dycydLwOAhXj,Lieblingsmelodien - Die größten Songs aller zeiten - Pop Hits,2023-09-29,0,Hard Rock
3mp9Aym86hHX2WlZiEpW6D,Master Of Night,5K3J449ht1dM3CObXSwU1X,Hellfueled,2nSP1f7vsrfCvDNCjsWQtO,Memories In Black (Bonus Tracks),2007-01-01,0,Hard Rock
6QCmMHSiO3pvkYivnifgZ0,I Want to Know What Love Is - 1999 Remaster,6IRouO5mvvfcyxtPDKMYFN,Foreigner,2jgP9Y73BGOXUCNU9Di0QJ,dad grilling songs,2024-07-04,0,Hard Rock
5cYq0tBaUG7Mmlq8mGh74K,Verme Parasita,1rEggsfmzR2ffDXfXWDdLr,Bull Control,3QtEx5lPRVFLdcxB1CiZmp,Noise Against Fascism,2022-06-27,0,Hard Rock
4259cpsziUwR9GlKVnaQBr,Moving in Stereo,6DCIj8jNaNpBz8e5oKFPtp,The Cars,2bttfTYLoRCg6pgxw7B36f,Stranger 80's,2022-09-09,0,Hard Rock
4vgaaCw1UtflNM7xzSANGC,I Want to Know What Love Is - 1999 Remaster,6IRouO5mvvfcyxtPDKMYFN,Foreigner,0BXohLd9kGMOk2sbBuoOLR,Love Anthems 100 Essential Songs,2024-08-23,0,Hard Rock
2G38Lr4Rr0i4cBySn8hZKo,Let's Go,6bz0ztmnpeofmoFksV3DqL,The Wildhearts,3Y16hfzuok4vzutMK1Xefx,Going For Gold (14 Record Breaking Tracks),2012-03-11,0,Hard Rock
1LlLIE2GmwpDs3XYQ3FdrC,Dirty White Boy,6IRouO5mvvfcyxtPDKMYFN,Foreigner,51Hg2btpk2uvOKSSK9fDSA,Heavy & Hard Rock,2021-09-17,0,Hard Rock
6bZ6kaRhShBMG51YKWqiej,Transmission / Space Bossa - Sokio Remix,7sIPqgvtteNEJx6ndabJhA,Panico,3WVbFZWPlwp5Ec15Rm4nnm,Panico (Remixes),2000,0,Hard Rock
4ipv1Gtfih4I1UVLAzcxo7,Heartbreaker,43mhFhQ4JAknA7Ik1bOZuV,Pat Benatar,1jy39WFR27bsdHaSVZE4RY,Rock y Rolas,2023-09-22,0,Hard Rock
3iDgOZJDJkDIO2N277AOe5,All the Things You've Said and Done,1tjlBewFVOoImOZoaTVe4e,Aaron Buchanan And The Cult Classics,6rnbwAWblPJlhAYDhGvdWc,The Man with Stars on His Knees,2019-01-25,0,Hard Rock
4pOUTsgVhhvtowbsNRas4A,Zombie Zoo,2UZMlIwnkgAEDBsw1Rejkn,Tom Petty,7BU1MiHemFcQKn3xEn7cOz,Halloween 2019,2019-09-27,0,Hard Rock
6JVUMTxKzh7LWTQ2AC2ksV,Snabba skor,5RQeUPg9fXVVpBUUL2B6Ml,The Kendolls,5sWqx1rFd8vNk1e3ZTrrf3,Botox de la Europa,2017-09-28,0,Hard Rock
2ip7M3sBODWi3uaNKzWMJw,Madhuram,2Uiis5cmcUvukNK7OlpW8s,Wilson,231UGZ0KnGK9kg3I4XclKS,Yente Ponnale Nee,2023-10-20,0,Hard Rock
0kOBkhJ6KiFoOqxtRvgaKG,Forever Wild,3C4VmYylMWBpZlCJgADCCd,Shakedown Suzies,26tgQrkR3hxb0wYXPIbcyO,A Business Doin' Pleasure,2020-06-12,0,Hard Rock
2bHXHIQbU1PSl9LZ85nFFA,Rise,5JyGIkum5V069QbuqWMuH0,Pompei Nights,7huNYZr7F72OK4eg4U3g1B,Nu Rock,2020-09-18,0,Hard Rock
4pjakHNNXaV9wqd4VfDYY2,Panic Extravaganza,5RQeUPg9fXVVpBUUL2B6Ml,The Kendolls,2YvSdS6eNXyuUtkSJVN0AD,Transwagon,2011-05-02,0,Hard Rock
51C5IjsE1TytQY41i2jktf,Love Walked In,3SfrwwVPGtjYTI3vwQ4hEU,Thunder,6LX9xHBDcVUaXo0pSOvMdw,Power Ballads,2020-09-18,0,Hard Rock
0mx6tFvPTGyiubhXm7E8vn,American Nightmare,2uXeu1jxpl41IMo5puPZFT,Debbie Ray,6Ap4kOH8q5jm4PvraF8bqe,American Nightmare,2017-09-08,0,Hard Rock
3oMTAFu6E0Kzy8hC1pdRUf,Bumble Kee,5yBVDQGDI58X71bTYrle3o,Kee Marcello,29T5DOc1jw7UDXDflALGtW,Speechless (The Instrumental Compilation Vol. 1),2018-09-21,0,Hard Rock
75PIJZKV7SnI56CyK9iuvr,Epic - Radio Edit,6GbCJZrI318Ybm8mY36Of5,Faith No More,0tUPklUk4ZSfOKV5V2BwyC,100 Greatest 80s,2024-01-12,0,Hard Rock
3DJkYk2j0RhDvGLEUTbgRk,Desespero (Ao Vivo),4yWw7EPFxvoHnljO64ZrcK,Pastel de Miolos,6Iyk4gZwBTbOP5fJMCWACp,Bootleg Liepāja,2020-07-25,0,Hard Rock
2urcc1FGpTvZrqSJMvNnAl,Ruas (Ao Vivo),4yWw7EPFxvoHnljO64ZrcK,Pastel de Miolos,2bEQeFwL2bErSOAhXxrJ2S,Bootleg Bratislava,2020-04-25,0,Hard Rock
2HsSmqUkfJcIjjlKNyVEKc,Peace Dog,5tELhkPCHdMPzh0SyhX5yI,American Dog,4Y196zyiuOBV4MStscV8jB,Working Man's Metal Vol. 2,2019-08-09,0,Hard Rock
2l5pLEx0pcXR0JehcnwrqD,If You Needed Somebody,5AEG63ajney2BoDXi0Vb84,Bad Company,53KW3NzdjHfAtSIOMOX9NF,100 from the 90's - Rock,2023-11-11,0,Hard Rock
0FAD1x9gJTJpjDlHAAybj3,I Want to Know What Love Is - 1999 Remaster,6IRouO5mvvfcyxtPDKMYFN,Foreigner,4h9NQjxLR3F8paZCMJFh5y,Vintage - 80s Hits,2024-06-27,0,Hard Rock
4qjrD2yx7YjKd4ZLeNY1zS,Earthshaker,5hfOHpGMsi8O3DA0ROLGqF,James Gang,2pTID0M3ZrAgA6XVXsbQCI,Rock Power Trios,2021-03-12,0,Hard Rock
0pnycqRHq0I3gMyI7MDKH3,Drive,6DCIj8jNaNpBz8e5oKFPtp,The Cars,22MqNcTkI6xQ087xieZc2t,The 80s,2021-06-18,0,Hard Rock
3pN1zkRufrfD1KAAoAMaMQ,I Hear You Knockin',2WlWfaOVYfwSAnlNUstKos,Sister,0DWy6D4k8xvS75UdYbOI30,Casino,1979,0,Hard Rock
4bguyoMUk10LfhvJaLTlcG,I Want to Know What Love Is,6IRouO5mvvfcyxtPDKMYFN,Foreigner,0SANKTeeAsqClqFfIMgpYD,throwbacks classic hits,2023-09-29,0,Hard Rock
7wt63H4Pxe8povalCs9HXU,Your Way,14c4jf0F0bJkpR1WumvNXG,Voodoo Six,35DFSRM5Knyg4cwRMlSKiE,Your Way,2013-01-01,0,Hard Rock
46BteC2of0ZwcZuOWQNqCj,Can You Hear Me - Acoustic,3RNrq3jvMZxD9ZyoOZbQOD,Korn,0FEhhuPnB09e3Jah5QPAaD,Twenties Metal,2023-08-16,0,Hard Rock
2pkuNGfmaO5nHp5HimkVXZ,Dirty White Boy,6IRouO5mvvfcyxtPDKMYFN,Foreigner,5H54eo3fI6KFNI0oA93msh,Gaming Zone,2020-04-13,0,Hard Rock
