track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
2g5jNGzZwBt0kuVmyhftfp,Surrender,00NwpiTtYKYzE6yEhSbFIk,Prurient,1I65k37cojfhxFlA6Cl1PE,History of Aids,2002,0,Industrial Metal
1bv2t2Jypc0EJYWpazZlMV,Revelations of Power,5FusxERTlV1Ihr9SbxyReQ,Choronzon,342wLNvNd5AmLy1XxWr4Pm,Hyperstition,2017-09-21,0,Industrial Metal
5My2UGAJLY3CgWVNIq1QcT,Denied Memories,0RcxOpyu7pL8aaEmMLaUqL,Chaosweaver,4rwGbfrJY8Tn4Q4I7pAwwo,Puppetmaster of Pandemonium (Crucified Edition),2008,0,Industrial Metal
1hRwhSydgUx8nCnazuS1lH,Fourth Suture - 2021 Remaster,6fJTyAeSgv4A1LR9LamLnY,Chemlab,6I9AUjcC43s0WtBPmBuHCt,Burn Out At The Hydrogen Bar (2021 Remaster),2021-06-18,0,Industrial Metal
569pQq02NDfPVoeDR6AwKy,The Sidewinding - Justin K Broadrick Remix,2ra1QAGhMwMqNWU7kQ1uwU,Invertia,1DWMDdDXlo0NkRN8uutGQl,Another Scheme of the Wicked,2014-04-08,0,Industrial Metal
4agX23MU6lKejfGeejLvxO,Sorrowsong,3xJWuGar6aPZi6TaNKjJ2j,Empire Auriga,1I5Vk52lOWdn3wqGtSCCPc,Auriga Dying,2008-06-10,0,Industrial Metal
0ykyfAe9I3Upp9OEyV424u,Daksinakali Five,5cCzokwZSw5IRKcm7LpRbH,Jarboe,3DGnKopaflgLOAAZlvb9Ut,Daksinakali,2009-05-07,0,Industrial Metal
0NJogQZAVOOTJpqiwyGsLE,Moment 27,749NYjdBbuLCymn83mV3HA,Lull,4GHuz5fPhtgYxkedWLwalc,Moments,1998-06-23,0,Industrial Metal
3ekF5BgT3dsgn4szRdxvIE,Espalloc,6zH6MYHlV28nhVXdXCUx9k,Motograter,4BoC5fsK04wLyeEYEIaOpn,Motograter (PA),2003-06-19,0,Industrial Metal
2z8pQotXNewK9G0x9mBeID,Moment 45,749NYjdBbuLCymn83mV3HA,Lull,76mcXvkPXoKjyjmCWqHtlx,Moments,2021-11-26,0,Industrial Metal
0ti7WJ04CM8npjftd6AhxC,Lefva (Nattens barn),4hqetd7hlRlVqXI4H617ah,Malört,6kYibEkiFUaAAqVeGl0QSa,Lupus in Fabula,2016-12-21,0,Industrial Metal
0GJa5SMTHKX3ZohZoGdR99,Spanish Moss,00NwpiTtYKYzE6yEhSbFIk,Prurient,5qLENgTE3I9hiz7dTigZNL,The Hidden Family - +White+,2008-08-12,0,Industrial Metal
3LrKOjsyE3UafIUoQhK6Uy,The Pineal Torch,0CBlZDaIG5xJMS3j5ZBzfP,Alpha Drone,1DQpeJ4WjRIcU4Y3ge6Cq3,Coal to Ash,2018-07-28,0,Industrial Metal
6doSd9LF8Tc8fCAsHiSPjZ,Moment 34,749NYjdBbuLCymn83mV3HA,Lull,76mcXvkPXoKjyjmCWqHtlx,Moments,2021-11-26,0,Industrial Metal
1r7g4iIwu57bcWvSncF2Pz,Your World - Album Version (Edited),6aF0th74w70h0fpFaVcRe0,Professional Murder Music,09c3JWTapMIbQJJQidF7fQ,Professional Murder Music,2001-01-01,0,Industrial Metal
0OCwA8KjaEsiMu2BWje6DB,Daksinakali Seven,5cCzokwZSw5IRKcm7LpRbH,Jarboe,3DGnKopaflgLOAAZlvb9Ut,Daksinakali,2009-05-07,0,Industrial Metal
17ej2mDptGHh06mfpfrc8T,Shambala Serrano (2003 Version),0CBlZDaIG5xJMS3j5ZBzfP,Alpha Drone,0L40qgUj5Qz4EfKbpI6JOJ,Ash to Coal,2019-04-27,0,Industrial Metal
5XlVqd7iQVKJaAQ5v8UQLh,To Take Earth Back from Man (Remastered),0CBlZDaIG5xJMS3j5ZBzfP,Alpha Drone,0L40qgUj5Qz4EfKbpI6JOJ,Ash to Coal,2019-04-27,0,Industrial Metal
63pbBmRHFlqi7VPqW3n8uE,"Walker in the Sky, Act 1 (Instrumental)",4pVMH8SLLmO9QLVyjTIwtw,Hellish Oblivion,08gpceh9DWdHWZKUdsxb5r,Human Grain,2013-02-27,0,Industrial Metal
0V8IgnJtde3zISMpUdT1Ne,Moment 67,749NYjdBbuLCymn83mV3HA,Lull,76mcXvkPXoKjyjmCWqHtlx,Moments,2021-11-26,0,Industrial Metal
7FjIQlkpUuSm8TrmPUUfuq,Moment 68,749NYjdBbuLCymn83mV3HA,Lull,4GHuz5fPhtgYxkedWLwalc,Moments,1998-06-23,0,Industrial Metal
