track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
6YOVjyW2oEEawyWWiV6KS8,Blackhole Dub,6tqRiiqhyYd6O1TjLcVfXm,Painkiller,60PYxMXrhvihOEZCGhpAgS,Buried Secrets,1992,21,Jazz Metal
22e4y55oZHc62DrdjWgmIP,Jesus and the Glory,4xhCeLae0uwZO9pb7UWLYR,Power Touch Pinnacle,4a8YDWTq8m8svEsSjegTs5,Temple of Grace,2025-02-20,25,Jazz Metal
5zuSpXBZt3mLLhZAC7DTDi,Guts Of A Virgin,6tqRiiqhyYd6O1TjLcVfXm,Painkiller,0d1wDNGlYHtDlZTp9lBHa6,Guts Of A Virgin,2009-03-25,7,Jazz Metal
1ka0yv33St1uuT2FkrTNXU,Alien Hip Hop,6NO4yN3PJL0PeMBPgdBWGq,Panzerballett,76I9LrHlOao5fZolqeF9J2,Alien Hip Hop,2025-03-21,7,Jazz Metal
0eMm3McK2hFDdbaAp7K01C,After Party,4VB29du3XEqCOhcLzWi4LE,AFØNK,6SJ7HCwyCNaIOrJl3tHGAa,Space Disco Djentzz,2025-01-28,12,Jazz Metal
2YJAuZUYY75b0h1ALKhz7F,Guts Of A Virgin,6tqRiiqhyYd6O1TjLcVfXm,Painkiller,3jnGu1805EASK1MK4FkwQA,Painkiller Collected Works,1998-02-17,3,Jazz Metal
5h25nYqFVFE4TP9H7bxNCh,Lore,0IQi5DLf1WCAOLxpbXX7p2,Glauber Oliveira,7b4ZYmprZXIWxHMbcUru2Y,Lore,2025-08-29,3,Jazz Metal
2cMN3a16L7Rtt6hg9OTak9,Weaponized Boba Tea,4SFYGbAgttfxzlSHWrXxR9,Amero,4hvuK0PFw2of58B5odDYv8,Weaponized Boba Tea,2025-03-25,8,Jazz Metal
1i7hlmUU3272d67V0WXIb8,The Age of Change,5e7TIgZNzZyeShoK1kGFPn,Conjurer,06uZNHVrcWlOUJz5dmM0V8,The Rule,2025-03-14,0,Jazz Metal
19570uxSCtpCo4z2pHo9e5,Winward,74mGamQqCKjhmJOARtDIYH,Austere,6hHq8FmdlNTwJpbOm8hXKD,Umbrella Halo,2025-03-15,0,Jazz Metal
6Ds2nv5ABfZdwPX6pjpoPS,Throwing Ice Cubes at the Moon,4SFYGbAgttfxzlSHWrXxR9,Amero,2iekoHTiZ082fXyvMBYOXZ,A Room with a View of More Rooms,2021-12-03,10,Jazz Metal
4IQ7YPwAO50GU11eMmPzR2,Point & Kill - Live at Jazz Club,4CgAWFNYtBi1vqId2OBMNM,Mario Georges,3NXJAZNQHmOCscutmvn05t,Mario Georges & Scarlett Saad (Live at Jazz Club),2025-01-26,1,Jazz Metal
030yqwJQkpQp8RbTb5kaUo,ضوّ القمر - Live at Jazz Club,4CgAWFNYtBi1vqId2OBMNM,Mario Georges,3NXJAZNQHmOCscutmvn05t,Mario Georges & Scarlett Saad (Live at Jazz Club),2025-01-26,0,Jazz Metal
2or0X05oytS5Sno2lY0a25,HALO OR THE HORNS (Live),0LANTlMc9NXSbJNuTPEeVq,Rene Benton,3ytaSEs0opvg7sn9N2YgQI,2 Live in O-Ma-Haw; Lyvv in Omaha (Live),2024-11-30,18,Jazz Metal
7bYF0VT1qxwkeslr1kJvEh,Hostage,6tqRiiqhyYd6O1TjLcVfXm,Painkiller,0d1wDNGlYHtDlZTp9lBHa6,Guts Of A Virgin,2009-03-25,5,Jazz Metal
5lccvNjwNBWxmWRwH4Kno6,Skinned,6tqRiiqhyYd6O1TjLcVfXm,Painkiller,60PYxMXrhvihOEZCGhpAgS,Buried Secrets,1992,8,Jazz Metal
1uwjBrZMmwBwTaFBUykRYf,Tortured Souls,6tqRiiqhyYd6O1TjLcVfXm,Painkiller,60PYxMXrhvihOEZCGhpAgS,Buried Secrets,1992,19,Jazz Metal
5NKa3ThzysUSg398cbwMyb,Mountain Queen,3x01nxgeWJPYu7snchOgQO,Fruitcake,73Cv06IJhdIuLMKvOH04vV,How to Make It,2024-04-26,0,Jazz Metal
1zop2vFSFPvdo8TDD5bMrW,I Fall In Love Too Easily - Live at Jazz Club,4CgAWFNYtBi1vqId2OBMNM,Mario Georges,3NXJAZNQHmOCscutmvn05t,Mario Georges & Scarlett Saad (Live at Jazz Club),2025-01-26,1,Jazz Metal
4XLeXQcz7y9NWXdti1puRh,You Can't Escape the Terror,3FfItaoKaX52Js2OmsrwMs,Stacey Havok,1wJqcAPElE1w1hUUdbJo8J,You Can't Escape the Terror,2025-10-10,0,Jazz Metal
1fleSvkfBxUcjeWMwMLaJy,Alien Hip Hop,6NO4yN3PJL0PeMBPgdBWGq,Panzerballett,2SszEvw9D7fO42lGdoYZzr,Übercode Œuvre,2025-04-25,16,Jazz Metal
