track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
4xDwCYhobDehSBGUmd5H6Y,FEEL NOTHING,1cJ5tVoeAEFcZBAwSZ0CtF,The Plot In You,7BNY7JDC9CtfXMOQARmuWP,DISPOSE,2018-02-16,71,Metal
1fLlRApgzxWweF1JTf8yM5,Given Up,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,2tlTBLz2w52rpGCLBGyGw6,Minutes to Midnight,2007-05-14,80,Metal
4Uiw0Sl9yskBaC6P4DcdVD,Be Quiet and Drive (Far Away),6Ghvu1VvMGScGpOUJBAHNH,Deftones,7o4UsmV37Sg5It2Eb7vHzu,Around the Fur,1997-10-27,80,Metal
5rAxhWcgFng3s570sGO2F8,A Place for My Head,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,6hPkbAV3ZXpGZBGUvL6jVM,Hybrid Theory (Bonus Edition),2000-10-24,75,Metal
5anCkDvJ17aznvK5TED5uo,Hail to the King,0nmQIMXWTXfhgOBdNzhGOs,Avenged Sevenfold,0ks45m1bsP2JsZpM5D2FFA,Hail to the King,2013-08-23,78,Metal
2bPGTMB5sFfFYQ2YvSmup0,Deutschland,6wWVKhxIU2cEi0K81v7HvP,Rammstein,1LoyJQVHPLHE3fCCS8Juek,Rammstein,2019-05-17,77,Metal
2avKuMN2QXkaG9vvHa2JLt,Take A Look Around,165ZgPlLkK7bf5bDoFc6Sb,Limp Bizkit,5mi7FKaWE5CtcOjdyxScA7,Chocolate Starfish And The Hot Dog Flavored Water,2000-10-17,80,Metal
2wXSx9UxsNIYidGi5r0SZ4,Ending Credits,0ybFZ2Ab08V8hueghSXm6E,Opeth,4FmI0F5GvvR1M9RURWnJV9,Damnation,2003-04-22,52,Metal
1EryAkZ0VHstC6haIxVBiE,Sextape,6Ghvu1VvMGScGpOUJBAHNH,Deftones,1GjjBpY2iDwSQs5bykQI5e,Diamond Eyes,2010-04-30,80,Metal
18lR4BzEs7e3qzc0KVkTpU,What I've Done,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,2tlTBLz2w52rpGCLBGyGw6,Minutes to Midnight,2007-05-14,85,Metal
0WSa1sucoNRcEeULlZVQXj,Can You Feel My Heart,1Ffb6ejR6Fe5IamqA5oRUF,Bring Me The Horizon,6IYPmM3xsOPL2XPSvf1ZAz,Sempiternal (Expanded Edition),2013-04-01,78,Metal
0UFDKFqW2oGspYeYqo9wjA,Bleed It Out,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,2tlTBLz2w52rpGCLBGyGw6,Minutes to Midnight,2007-05-14,81,Metal
3RAFcUBrCNaboRXoP3S5t1,Psychosocial,05fG473iIaoy82BF1aGhL8,Slipknot,2ISXjEm0D4chvU2IDNvUqk,All Hope Is Gone (10th Anniversary),2008-08-20,78,Metal
5cZqsjVs6MevCnAkasbEOX,Break Stuff,165ZgPlLkK7bf5bDoFc6Sb,Limp Bizkit,3HCCUaRSjHSFOe4fqE0BiP,Significant Other,1999,84,Metal
28WmNsclKsrVmdv3tDmoYU,Seek & Destroy - Remastered,2ye2Wgw4gimLv2eAKyk1NB,Metallica,1aGapZGHBovnmhwqVNI6JZ,Kill 'Em All (Remastered),1983-07-24,72,Metal
1Vej0qeQ3ioKwpI6FUbRv1,Papercut,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,6hPkbAV3ZXpGZBGUvL6jVM,Hybrid Theory (Bonus Edition),2000-10-24,80,Metal
4OROzZUy6gOWN4UGQVaZMF,The Trooper - 2015 Remaster,6mdiAmATAx73kdxrNrnlao,Iron Maiden,7I9Wh2IgvI3Nnr8Z1ZSWby,Piece of Mind (2015 Remaster),1983,74,Metal
6FUwPb4mGlUDbx42uspXaZ,Fuel,2ye2Wgw4gimLv2eAKyk1NB,Metallica,0Ip2GlQPoAIgdkqCO2YkMa,Reload,1997-01-01,73,Metal
7w6PJe5KBPyvuRYxFkPssC,No More Tears,6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne,6eh82ojicL8RSJF7GkYTh7,No More Tears (Expanded Edition),1991-09-17,79,Metal
5W8YXBz9MTIDyrpYaCg2Ky,Last Resort,4RddZ3iHvSpGV4dvATac9X,Papa Roach,0BHa0ePkvGAVKymB4FU58m,Infest,2000-04-25,82,Metal
3K4HG9evC7dg3N0R9cYqk4,One Step Closer,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,6hPkbAV3ZXpGZBGUvL6jVM,Hybrid Theory (Bonus Edition),2000-10-24,83,Metal
1158ckiB5S4cpsdYHDB9IF,My Own Summer (Shove It),6Ghvu1VvMGScGpOUJBAHNH,Deftones,7o4UsmV37Sg5It2Eb7vHzu,Around the Fur,1997-10-27,82,Metal
5ArNGisLzrNOIVwWajRRdt,Mein Herz brennt,6wWVKhxIU2cEi0K81v7HvP,Rammstein,1CtTTpKbHU8KbHRB4LmBbv,Mutter,2001-04-02,69,Metal
3X0K6fII7VIwL1URPrp8Ko,Ich will,6wWVKhxIU2cEi0K81v7HvP,Rammstein,1CtTTpKbHU8KbHRB4LmBbv,Mutter,2001-04-02,70,Metal
3UygY7qW2cvG9Llkay6i1i,Going Under,5nGIFgo0shDenQYSE0Sn7c,Evanescence,02w1xMzzdF2OJxTeh1basm,Fallen,2003-03-04,79,Metal
3IV4swNduIRunHREK80owz,Rollin' (Air Raid Vehicle),165ZgPlLkK7bf5bDoFc6Sb,Limp Bizkit,5mi7FKaWE5CtcOjdyxScA7,Chocolate Starfish And The Hot Dog Flavored Water,2000-10-17,83,Metal
60a0Rd6pjrkxjPbaKzXjfq,In the End,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,6hPkbAV3ZXpGZBGUvL6jVM,Hybrid Theory (Bonus Edition),2000-10-24,89,Metal
5nekfiTN45vlxG0eNJQQye,Fade To Black - Remastered,2ye2Wgw4gimLv2eAKyk1NB,Metallica,4K5E5mWQbECn9aThu6Xnkx,Ride The Lightning (Deluxe / Remastered),1984-07-26,70,Metal
4e9eGQYsOiBcftrWXwsVco,Aerials,5eAWCfyUhZtHHtBdNk56l1,System Of A Down,6jWde94ln40epKIQCd8XUh,Toxicity,2001-09-04,83,Metal
57BrRMwf9LrcmuOsyGilwr,Crawling,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,6hPkbAV3ZXpGZBGUvL6jVM,Hybrid Theory (Bonus Edition),2000-10-24,81,Metal
5ltXoDLlI0rFZAmOXbAp5T,Sad But True - Remastered 2021,2ye2Wgw4gimLv2eAKyk1NB,Metallica,7h5xn0Olvx2p0eQcSt1Osy,Metallica (Remastered Deluxe Box Set),2021-09-10,74,Metal
51c94ac31swyDQj9B3Lzs3,Change (In the House of Flies),6Ghvu1VvMGScGpOUJBAHNH,Deftones,5LEXck3kfixFaA3CqVE7bC,White Pony,2000,81,Metal
2DlHlPMa4M17kufBvI2lEN,Chop Suey!,5eAWCfyUhZtHHtBdNk56l1,System Of A Down,6jWde94ln40epKIQCd8XUh,Toxicity,2001-09-04,85,Metal
61mWefnWQOLf90gepjOCb3,Duality,05fG473iIaoy82BF1aGhL8,Slipknot,4ZDBQSIDIZRUBOG2OHcN3T,Vol. 3: The Subliminal Verses (Special Edition),2004,82,Metal
6q7p4AczMoOVzw95GDXz1x,Flying,0ZXKT0FCsLWkSLCjoBJgBX,Anathema,6rAcqvF8bsczcbpmCAIfZN,Original Album Classics,2011,57,Metal
0snQkGI5qnAmohLE7jTsTn,Toxicity,5eAWCfyUhZtHHtBdNk56l1,System Of A Down,6jWde94ln40epKIQCd8XUh,Toxicity,2001-09-04,84,Metal
3gVhsZtseYtY1fMuyYq06F,Sonne,6wWVKhxIU2cEi0K81v7HvP,Rammstein,1CtTTpKbHU8KbHRB4LmBbv,Mutter,2001-04-02,78,Metal
3fjmSxt0PskST13CSdBUFx,Somewhere I Belong,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,0f7R0jf0pcTb6K6IVVPcMD,Meteora (Bonus Edition),2003-03-25,82,Metal
1VNWaY3uNfoeWqb5U8x2QX,Lonely Day,5eAWCfyUhZtHHtBdNk56l1,System Of A Down,3QxX3NbWyLlLG6lP1xveL3,Hypnotize,2005-11-22,83,Metal
5Osd2BWeCNtA6EMLY0Dsil,Flying - Remastered,0ZXKT0FCsLWkSLCjoBJgBX,Anathema,2u9kFU66dEBxvvw23QPujf,A Natural Disaster (Remastered),2003,58,Metal
3DwQ7AH3xGD9h65ezslm6q,Enter Sandman - Remastered 2021,2ye2Wgw4gimLv2eAKyk1NB,Metallica,7h5xn0Olvx2p0eQcSt1Osy,Metallica (Remastered Deluxe Box Set),2021-09-10,84,Metal
2MuWTIM3b0YEAskbeeFE1i,Master Of Puppets,2ye2Wgw4gimLv2eAKyk1NB,Metallica,2Lq2qX3hYhiuPckC8Flj21,Master Of Puppets (Remastered),1986-03-03,78,Metal
02xhLoVqpGmOqvolgrwM8w,One,2ye2Wgw4gimLv2eAKyk1NB,Metallica,6jZ1z25PyF4Yd3kHxt9rl1,…And Justice for All (Remastered),1988-08-25,76,Metal
4Yf5bqU3NK4kNOypcrLYwU,Faint,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,4Gfnly5CzMJQqkUFfoHaP3,Meteora,2003-03-25,83,Metal
2nLtzopw4rPReszdYBJU6h,Numb,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,4Gfnly5CzMJQqkUFfoHaP3,Meteora,2003-03-25,87,Metal
6QAsrXPnMSXIbV0yEJHlEX,Nothing Else Matters - Remastered 2021,2ye2Wgw4gimLv2eAKyk1NB,Metallica,7h5xn0Olvx2p0eQcSt1Osy,Metallica (Remastered Deluxe Box Set),2021-09-10,82,Metal
1EDPVGbyPKJPeGqATwXZvN,The Emptiness Machine,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,4R6FV9NSzhPihHR0h4pI93,From Zero,2024-11-15,80,Metal
5Zuboc3Cj9Ldnc8HyUnNUK,Engel,6wWVKhxIU2cEi0K81v7HvP,Rammstein,6hh5ax5BomINXGoi4q7FDP,Sehnsucht (Anniversary Edition - Remastered),1997-08-22,72,Metal
6XcoiOYiNbIxzpt8WRxq8Z,Du hast,6wWVKhxIU2cEi0K81v7HvP,Rammstein,6hh5ax5BomINXGoi4q7FDP,Sehnsucht (Anniversary Edition - Remastered),1997-08-22,75,Metal
5lqyqPU3JkpCbUbLmTVQPW,The Unforgiven - Remastered 2021,2ye2Wgw4gimLv2eAKyk1NB,Metallica,3dck2tBxGfxj9m3CguDgjb,Metallica (Remastered 2021),2021-09-10,74,Metal
2Ap6ZjicxxcWvit5ZRYQxk,She's Gone,0ecbvwhuhiEAWOLHlRXpqD,STEELHEART,5w6EjgZMLmZm7Z0EJJZ7PZ,Steelheart,1990-01-01,63,Metal
0rPTPahzhGx9LSzI8XX5OM,Figure.09,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,0f7R0jf0pcTb6K6IVVPcMD,Meteora (Bonus Edition),2003-03-25,72,Metal
