track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
02MoQDQWVTfmn9HJx23Hwi,X,7AAPdXTYf0T23DAqs1c6yA,Davide Rinaldi,3wzLAkiasbHb3NMAuQ5XXD,Hybris,2020-03-13,0,Metal Guitar
4kt6i4ievWr7Euet7JDk6u,Kick the Snare,3TBpFbPUgK5NaXtz36L5wA,Jose de Castro,6JA4ivoveNz5uaTswHLkMo,Best of Jose De Castro for China,2014-01-17,0,Metal Guitar
0hQYfYVNu1NUxkNUs2Cu1T,Bug Love Song,61i2os184CElyOxTU8uxBx,Andrew Bordoni,16BVHcI2qlbukGdWKyf40T,Andrew Bordoni,2019-08-02,0,Metal Guitar
0m5nKjzDVGedAUihoneJW0,Forever And A Day,1nhPnZSmcjY3z4ZuSwdVap,Dave Sharman,0WNxdD9EBVABfvffsWZVcN,Best Of Vol 2,2007-11-13,0,Metal Guitar
1Tbdrw5s69pufdMGLMlz98,The Assassin (Guilt),6wiZYckkoOu46qSbcMzIvA,Greg Rapaport,3v3LjwXdOhBgVP1EnaMFCm,Homunculus,2006-05-31,0,Metal Guitar
4pQIFbeBxsIf9XKr9tqZYp,Freestyle,5Vpq85QICHsnxM2RvgiqeK,Pascal Allaigre,5LK1c2OBjB7m3i03xzyjRn,Firelight,2004-06-27,0,Metal Guitar
3cHaRLmvUnJJDBGZFAjjQr,Burning Passions - Remaster,19kR9XvBZIFz1otBxms6cC,David T. Chastain,73X3kuFffrPMrcCkNefKK6,Heavy Excursions,2009-03-01,0,Metal Guitar
5qZaxm2Daqwqe8B0PvYWnZ,Satch,4j53lL9r8HIzBcfrgTqEtg,Michael Elsner,3PSttG0J1InGtoHjJX67ft,Stained Voodoo,2006-09-12,0,Metal Guitar
4bvAInRXQNlkjaIoZS1Mal,Uncle Ice,2sQsuNVUf1LeFVhqft0lmj,Rob Metz,7gRLdDgcn8zb2FXe4s6GkV,Legion Of Dreams,2006-05-04,0,Metal Guitar
5COIBrad2S2eGkGrWxhqSU,Mind Tapped,61i2os184CElyOxTU8uxBx,Andrew Bordoni,16BVHcI2qlbukGdWKyf40T,Andrew Bordoni,2019-08-02,0,Metal Guitar
3wkMc1hyF9DzUq1HMseMed,Survive,07yIRfS33W7aEZNY5FkuIB,Daniele Liverani,5qW0NSLs0QjL11FAZK9Dvi,Eleven Mysteries,2012-07-20,0,Metal Guitar
34J6hfKvqXtfj8idBi2ZLY,All Or Nothing,25ESX8qSXqXwnp4x9yTn4X,Cyril Achard,4TeDJjnVzgkW9tJ8p1dOt3,Violencia,2010-03-18,0,Metal Guitar
16Pe2nBsttptM4FSwUkGP0,Ultraviolet,1J30A3LeupFiWkPvNq4yOI,John Hahn,0LjEMaoRCRDwcgEdeBkjAO,Darkness Falls,2013-04-09,0,Metal Guitar
