track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
2Qk71HtKeqEiDO8OGwo4qi,Terribly Quelled,76eUJzhkBiV3Rn7x6lfEQe,Hawk Eyes,5CG2RPICaRQqMf5A5BCAVn,Everything Is Fine,2016-06-24,0,Metalcore
2wLmzXldDXVSPgQdWmBCE7,"The Honest, the Arrogant",6Bi410ey29G3HHhqoGyjdr,A113,7tV7jJIKGRjZHPmooSWtT9,Chapter 2,2016-04-08,0,Metalcore
7z328F97jFT1JVZaxVCaLl,Смерть человечества,517KqifFRX4ocKsns1Exsj,Terror Inside,6jQkRTb5ttAXmQgxxZPd7b,Смерть человечества,2022-01-21,0,Metalcore
6iaRHnDaGbtyuRe3hbB0nc,Огонь внутри нас,6Ri8avJjVWhrgdqatIK2VG,The Last Four,2jEMjPGSZ5xYP4eN9appaF,Новая страница,2017-05-16,0,Metalcore
0StcIIy2QNwruue0BydGr9,Renascer,07mHN2gszNrhROhPNPd0IE,We Are The Revenge,3OQ45542skX6czBXGukItl,Cap. II: Neo,2019-01-21,0,Metalcore
4V9bxw3wi7kxw4auxTI9tJ,Werewolf,6MwPCCR936cYfM1dLsGVnl,Motionless In White,0fzTiZL7PZVNNaBU8hYnbd,Nejlepší hudba na Halloween 2024,2024-08-27,0,Metalcore
13VZdp33PQvgJx0KxwskI8,La foresta degli illucidi,74l0ZYQRkeaQl2DGvR8DyE,Il Vile,3N8IrLzJz1eBr7za2qJHM7,Orso,2021-02-12,0,Metalcore
5X9aL1vXy6myZkuEq7ibvg,Кость,6Bi410ey29G3HHhqoGyjdr,A113,0ROcxbpIE47OP6XRllPheT,Кость,2023-11-08,0,Metalcore
1PJlt7XHmNgJ9wCvaEDhXu,Minha História,1k5nXOuhyRAwwpunvY4j0G,FAI,6ekRWMQuZE5zodeDHNZGNy,Fai,2009-03-01,0,Metalcore
5BMD6PrF7y125juJlCjLHA,窺,0IJZarHpSaW0fLAAqXZR0E,窒息樂隊,5PP0rtHjc42Dle5vZYWLcP,紛擾世界,2010-03-26,0,Metalcore
