track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
05UgwHur1UU9licQIs18WS,Roller Grinder,2VwIrmXhXZbh4kfG9YPL3Z,Department Of Correction,4bKuMzliUzTuzjuYnRf1Uu,Split,2014-03-11,0,Necrogrind
0nm7yD1JewY8lNinT1pW1w,Whore's Blood,3k0lapWuo2eKE7aAXjaewz,Chainsaw Dissection,1j6NIuzVWAtrpjeCmN4h0g,My Chainsaw Still Executes,2013-05-13,0,Necrogrind
5LXv8YRH0ecvOthOfbs6Ed,The Trip,2VwIrmXhXZbh4kfG9YPL3Z,Department Of Correction,3rMeHK3PAh1EBuh4vNR905,Split,2016-04-08,0,Necrogrind
5RyXDsRXFzSwyrsPebgXcU,Clawhammer Death,3k0lapWuo2eKE7aAXjaewz,Chainsaw Dissection,3Lc1VC1yOt3RKc0EtOHcBo,Manic Disemboweler - 8 CD Set,2010-01-18,0,Necrogrind
6AS8Prf310geLCFTxH1k9E,Skilled Killer,3k0lapWuo2eKE7aAXjaewz,Chainsaw Dissection,3Lc1VC1yOt3RKc0EtOHcBo,Manic Disemboweler - 8 CD Set,2010-01-18,0,Necrogrind
7GqWnchdniqIKhHZy58vVP,Depraved Anatomization,3k0lapWuo2eKE7aAXjaewz,Chainsaw Dissection,3Lc1VC1yOt3RKc0EtOHcBo,Manic Disemboweler - 8 CD Set,2010-01-18,0,Necrogrind
0GZvVkXkLah1G4fHJ9mUiJ,While Sarnath Lies Desolate,0oGLIwghv1CJ5Hb9h53RBj,Cyaegha,0QzglHf7s1e1IBdmB6y5UB,Steps Of Descent,2009-01-07,0,Necrogrind
0Ar9cpd7ls9r22NkddCepf,A Hole In her Eyes,2VwIrmXhXZbh4kfG9YPL3Z,Department Of Correction,3rMeHK3PAh1EBuh4vNR905,Split,2016-04-08,0,Necrogrind
1TYl8IV00vELScAAxevX4J,Maggots Feeding,3k0lapWuo2eKE7aAXjaewz,Chainsaw Dissection,3Lc1VC1yOt3RKc0EtOHcBo,Manic Disemboweler - 8 CD Set,2010-01-18,0,Necrogrind
3kUw3OVvlHF0o9dr1udva4,Rommel,7knQw5CaCwDa4KzM1iwDbX,Exit Strategy,3sHWeCtSoChVGwkFqdvTh2,Exit Strategy,2007-01-01,0,Necrogrind
0boOeUAkbIulP06UC7HDOM,Maximum Torture,3k0lapWuo2eKE7aAXjaewz,Chainsaw Dissection,3Lc1VC1yOt3RKc0EtOHcBo,Manic Disemboweler - 8 CD Set,2010-01-18,0,Necrogrind
5aVrYhAB8FWHaox7nEMvCf,Random Acts of Dismemberment,3k0lapWuo2eKE7aAXjaewz,Chainsaw Dissection,1j6NIuzVWAtrpjeCmN4h0g,My Chainsaw Still Executes,2013-05-13,0,Necrogrind
52YQFjnY7Y8YPU8HUHlaQd,Massacred Bodies,3k0lapWuo2eKE7aAXjaewz,Chainsaw Dissection,3Lc1VC1yOt3RKc0EtOHcBo,Manic Disemboweler - 8 CD Set,2010-01-18,0,Necrogrind
6scKuSdf0N12HmZRxc70Qg,Hothorses.Com,10g4imT83ejcyKLm2AcsqK,DeathFuckingCunt,7jV6qk0VGoEri2eEP84h68,Splitroast,2009-06-01,0,Necrogrind
12cmKSd5FEJLYCRGn4GphR,Talking To Robots,7knQw5CaCwDa4KzM1iwDbX,Exit Strategy,3sHWeCtSoChVGwkFqdvTh2,Exit Strategy,2007-01-01,0,Necrogrind
2mIU78XuljfD3lUVhNCPXv,Fear Of Flying,7knQw5CaCwDa4KzM1iwDbX,Exit Strategy,3sHWeCtSoChVGwkFqdvTh2,Exit Strategy,2007-01-01,0,Necrogrind
7xRrxprAkebboOwzbZV7oi,Butchered Then Buried,3k0lapWuo2eKE7aAXjaewz,Chainsaw Dissection,3Lc1VC1yOt3RKc0EtOHcBo,Manic Disemboweler - 8 CD Set,2010-01-18,0,Necrogrind
4arKjEEMLWR2kB75llkb0R,Fear And Other Mistakes,7knQw5CaCwDa4KzM1iwDbX,Exit Strategy,2QwmyAvHoSjoSaauHhrCTa,New Lapses In Judgment,2005-01-01,0,Necrogrind
2IVkSQscnmWPaseMs7AOOC,Epiphany Of R'lyeh,0oGLIwghv1CJ5Hb9h53RBj,Cyaegha,0QzglHf7s1e1IBdmB6y5UB,Steps Of Descent,2009-01-07,0,Necrogrind
58pUWXU8ClNpfPNF699swX,Carving Up Her Corpse,3k0lapWuo2eKE7aAXjaewz,Chainsaw Dissection,1j6NIuzVWAtrpjeCmN4h0g,My Chainsaw Still Executes,2013-05-13,0,Necrogrind
0AqdAecuve8vP24xGSadtg,Funeral Orb,47mV4XiY7R9fI6yE2MxBKy,Visceral Damage,0tPddpu915e9DodVOieUp1,Icon of Massive Murder,2008-10-23,0,Necrogrind
5ZL6apIg6DSUBSeEG53RiO,Postmortem Enlightenment,0oGLIwghv1CJ5Hb9h53RBj,Cyaegha,0QzglHf7s1e1IBdmB6y5UB,Steps Of Descent,2009-01-07,0,Necrogrind
2Llz6fIID1ysdQtxnHJOj8,Poisoned Then Slashed,3k0lapWuo2eKE7aAXjaewz,Chainsaw Dissection,3Lc1VC1yOt3RKc0EtOHcBo,Manic Disemboweler - 8 CD Set,2010-01-18,0,Necrogrind
7quMgzHHHJe8U6hGE6ezbv,Insane Cumscore,10g4imT83ejcyKLm2AcsqK,DeathFuckingCunt,7jV6qk0VGoEri2eEP84h68,Splitroast,2009-06-01,0,Necrogrind
7zVct18VOl8BaIB6fvPyP8,Fear and Loathing Everywhere,79USLgpKK2FkfWPOD5M4Dy,Fitcage,6iaiocIwsw9C4UHgZwUvkV,Pigumanity,2011-12-29,0,Necrogrind
4ZdPu9nyhvpfNNyaCcW84A,Lord Of The Back Ring,2VwIrmXhXZbh4kfG9YPL3Z,Department Of Correction,4bKuMzliUzTuzjuYnRf1Uu,Split,2014-03-11,0,Necrogrind
4awJwCRDDpkfrqZmVMro6p,Grave Feast,3k0lapWuo2eKE7aAXjaewz,Chainsaw Dissection,3Lc1VC1yOt3RKc0EtOHcBo,Manic Disemboweler - 8 CD Set,2010-01-18,0,Necrogrind
3LedNJ6oJZ48IP1JbwlVlz,Bestial Fistfuck,30EB62yRwOeI1GPtF7IJcz,Cardiac Necropsy,2Ty5VZGlRuwn4Ex6tZOwll,"Supreme Brutal Legions, Volume One",2009-12-15,0,Necrogrind
2uWU95EoFwy2Pqs4uIBYtB,Knifed and Sliced,3k0lapWuo2eKE7aAXjaewz,Chainsaw Dissection,3Lc1VC1yOt3RKc0EtOHcBo,Manic Disemboweler - 8 CD Set,2010-01-18,0,Necrogrind
6z47PMBLi7ytxduYmbpQxP,Eyeball Sauce,3k0lapWuo2eKE7aAXjaewz,Chainsaw Dissection,3Lc1VC1yOt3RKc0EtOHcBo,Manic Disemboweler - 8 CD Set,2010-01-18,0,Necrogrind
