track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
2YM4PTmOCZ20VBW3aH3dzn,I'm Real,3IDqp4odlDTs1TWvh81Zf2,Beautiful Sin,2hMgHpGx4hgOJfFHFO885d,15 Years - Metal Addiction,2011-10-28,0,Norwegian Metal
5QYsUB1yNJuaOsiPUzA0Fp,Subterranean Sun,0i9FAaR0uQeFEzwXKADZgp,Drottnar,18rgiWOJcScG0jFW03OooQ,Monolith I,2017-11-01,0,Norwegian Metal
1h6IgyhswQMw3ULNawVMwV,Freak Of Nature,0damOkMTmgSOIWfvrsI5jZ,GROTESQUE HYSTERECTOMY,3yiSBWhpnTcCIuBAsGVEIa,Sororicide,2012-11-17,0,Norwegian Metal
47PvWFxiZl3lGrUaBsLrsm,Demon Semen,2aVEeathPvV8rdHTA6U5Az,Cleaver,1652FBFFBKhypeG6oxlwS3,When There's No More Room in Hell...,2013-12-07,0,Norwegian Metal
1VGMG6D0KD2wg7rh9cyiO7,Aeon And Eternity,0W8Mqh61lbcUKKMpJdSGK5,Old Memories,0ZCMPqfouN8N7z0Ql682dL,Prelude To Oblivion,2006-01-01,0,Norwegian Metal
3Sq9vuL0IjyAQRr9RP2UWT,The Stench Remains,2aVEeathPvV8rdHTA6U5Az,Cleaver,1652FBFFBKhypeG6oxlwS3,When There's No More Room in Hell...,2013-12-07,0,Norwegian Metal
7xyqDddE4t6cdOrlXIPgnW,Unholy Abomination,2aVEeathPvV8rdHTA6U5Az,Cleaver,78yDLJwIIADkVHwMmP3vzd,Odes to the Reaper,2017-07-13,0,Norwegian Metal
2ZYWjLALom75uhSHCI5cBM,The Other Side,1t40E17WOgf9zKD5GnRycG,Last Lightning,3z9UYhu5BbeAFNB3jL1LwC,Last Lightning,2018-05-03,0,Norwegian Metal
13Uc8OViNIakUw4uwIzwZA,Intro,0AYCe7sARnk2vHKywRo4my,Beastcraft,6is5xt2ZDepLHJbSaZhVVV,Into the Burning Pit of Hell,2005-06-06,0,Norwegian Metal
3GyXGoVA5ZQ8itmgqejlaH,Into the Sun,3DQbCFwxTN3mRzg7CMfHHu,Superlynx,1DqYDeacGidf7SL0sCSFq3,Cycle,2023-09-18,0,Norwegian Metal
2djwzzfCcKy9casSjwFnWb,Mot Skumrings Skogen,0W8Mqh61lbcUKKMpJdSGK5,Old Memories,0ZCMPqfouN8N7z0Ql682dL,Prelude To Oblivion,2006-01-01,0,Norwegian Metal
5bUhEBakxBINdZfCqlJA2Y,Mystikum,1vKXAkXBGSbjgGcOPYLI6j,Årabrot,1Jf8QrgOmpoVwzG2yNm6I1,Murder as Art,2013-10-25,0,Norwegian Metal
2oQdxW3g3fMiAkZvhnCkdN,"No Saviour, No Light",2aVEeathPvV8rdHTA6U5Az,Cleaver,78yDLJwIIADkVHwMmP3vzd,Odes to the Reaper,2017-07-13,0,Norwegian Metal
2t4uOyJ047rLfO1oZoDvaM,Lament Of The Optimist,2MBR2GJputTa6en1jxH6LO,Fleurety,15czpGGvU5ga4ps8EXs8l4,Lament of the Optimist,2017-08-30,0,Norwegian Metal
1Qhcld294n7MknBhRAqtFH,Eklips,5gC7I381xcCs8ywTWVHkvR,Solstorm,5IPYlSnmL7wkoLRzDOpfoF,Eklips,2019-08-07,0,Norwegian Metal
6lGtAJ9MY5c9uPeYs1y5br,At the Blacksmith's,50IPGSrIJWUKeJcN1T1fBn,Devil,4c2nyclQRo67zVYEJR93RN,Magister Mundi Xum / The Noble Savage,2012-12-07,0,Norwegian Metal
5F2OdAIkBhbaREzYCOR8XN,Chhinno Buke Chinho Akuk,3jXKuyWNGa8hUPsnrblyl7,Cadaver,3OWpCYmQbWfPVxPPbfZPG1,Daak,2013,0,Norwegian Metal
7GjrmsMF9ycqhwSuFHz6AH,Throwing Down the Gauntlet,67j2yPJxr9dYT4JYr14P0K,Hex A.D.,0VKow043mYasy1S9q8a159,Throwing Down the Gauntlet,2023-04-14,0,Norwegian Metal
4wSjDzOlrRoB5wP6Ys986y,The Dead Will Walk the Earth,2aVEeathPvV8rdHTA6U5Az,Cleaver,1652FBFFBKhypeG6oxlwS3,When There's No More Room in Hell...,2013-12-07,0,Norwegian Metal
4fLtOT1UinuFkbwsulNynj,Chaos,4Gbn5O6HDuU3CGjD2xOTYy,Neoplasma,71AS5wV4NOUHvzNJICzwui,Watch the Fire,2017-01-13,0,Norwegian Metal
7n7yGJqqRypbGdrQRzEVcO,Darwinian Minions - Bonus Track,56t7xTSxdKKNrfqR8gFDPn,Goat the Head,6yxN8MNDC4uSD1VNJWxz2h,Simian Supremacy,2007-10-22,0,Norwegian Metal
1Yni3XvJcNgwItToXKzp1i,Imprecations of the Impugner,5IEbJRIHL8zf1IbYQvvsnm,Impugner,5y3GdbFgV7a3DoeIIDkjJW,Advent of the Wretched,2022-11-04,0,Norwegian Metal
2zsQAX5lA5ihWSNJMrY7wY,I Seek the Path of Obscurity,61GZx4fVC48Ly8eBjArUdW,Thou Shalt Suffer,1Hb7gasB9bf3wZl5jVCELC,Into the Woods of Belial,1997,0,Norwegian Metal
2Y0PCWJ3QYMCSStyZ5fsxy,Intro,3VvpXXcSwQ4rS0h08HqMOL,Execration,3nkOEL4gj96AkgfACQMhyj,A Feast For The Wretched,2008-05-13,0,Norwegian Metal
11QIhqdkwbDONQpXMGCKKY,As Dragons Roam the Sky (2010 Re Release),575h72DD6qagbsJAT3jVfm,Antares Predator,6NnmyfhnVTL4mcNmR2pYpB,Twilight of the Apocalypse,2010-02-05,0,Norwegian Metal
0le5P8TRBvWRIUjpIJQL4S,From Crown to Dagger/ Moon Ritual/ In the Light of a Sinking Sun,26IjyOtC4R0RJs4Ie13Wf5,Reptile Master,0bBWm13pNzMulQEizj8AGz,In the Light of a Sinking Sun . Live at Driv 2015,2016-09-16,0,Norwegian Metal
1NAxXMPpR71Cigf5SthjYH,Kaldr,5XbRdXn5rKF7kVjGaqsShZ,Helheim,7pug1BmkgjdWWgKLlpGngZ,Kaldr,2019-03-08,0,Norwegian Metal
6yOsljWdYu6gjKf7tnNCXw,Worship Denied,2aVEeathPvV8rdHTA6U5Az,Cleaver,1652FBFFBKhypeG6oxlwS3,When There's No More Room in Hell...,2013-12-07,0,Norwegian Metal
