track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
3dEnkWx5fYpfMHpmoTr04W,Обозналась,6oJuOgsq4FHXBXmvC1Dvzo,Пятая Бригада,4pdAsZAyCYfkGUhqSRowEj,Позитива нет!,2012-12-12,0,Nu Metal
6SjRJeeBVB7F4tOxuGJffw,Грех,0x2rtRXrsBdBY77aLKfFTe,Ругер,4FRAGIjZJYM7J1wZKDg4LJ,IV путь,2015-03-15,0,Nu Metal
38EN5GvhNy5eAANc3wR2B8,Ебли по весне,6oJuOgsq4FHXBXmvC1Dvzo,Пятая Бригада,45dMGC41z1V2yrQtw6HRpC,Bestец,2017-01-17,0,Nu Metal
3HVCGKAQzeoy424vLtyUX0,Чёрный риелтор,6oJuOgsq4FHXBXmvC1Dvzo,Пятая Бригада,45dMGC41z1V2yrQtw6HRpC,Bestец,2017-01-17,0,Nu Metal
6YKpSzwCl6EARbzlPLlB8M,All Summer Long,7dOBabd5O4CvKrg4iriHTM,Kid Rock,043608E7IkV63M8ytxmJN9,Flashback Pop,2023-09-08,0,Nu Metal
3MnHKRZDgpeJ8WCemL7CQs,All Summer Long,7dOBabd5O4CvKrg4iriHTM,Kid Rock,3GkjUqg8qcL9HnAzLZ5yAN,Albion Lake Cottage Songs,2023-09-09,0,Nu Metal
7lgACvGmv4vFNpwdF9vo1G,Чёрный риелтор,6oJuOgsq4FHXBXmvC1Dvzo,Пятая Бригада,4pdAsZAyCYfkGUhqSRowEj,Позитива нет!,2012-12-12,0,Nu Metal
6cPLanLBWJ5gXyPiW9Aflp,Jane Says,02NfyD6AlLA12crYzw5YcR,Jane's Addiction,7ILh136xQVfdsAu9b19Qih,U Got the Look - Pop Rock Classics,2020-01-17,0,Nu Metal
58Hw90iejGq1HBikeDS9Hv,Пыльца,4aRyFaYQRsBkhVt5L9e3ZL,ASHLEY MOSHE,2U0zl52Qub9CTnmUDLLssz,Коктейль со вкусом мечты,2016-03-22,0,Nu Metal
20gdrCaG7XhUnkTYy4qA54,All Summer Long,7dOBabd5O4CvKrg4iriHTM,Kid Rock,1Xslp9fOslKr9UqLtrxRem,Summer Chart Hits,2024-05-19,0,Nu Metal
4HFLRX6m8J7PPIddoXHWp0,Маньяк,6oJuOgsq4FHXBXmvC1Dvzo,Пятая Бригада,7aETc0bksBIuLgNl5k2eDj,Всё чётко!,2014-07-01,0,Nu Metal
1IwjNfzt2Tr3MCFqU9RUu5,Фарватер,4aRyFaYQRsBkhVt5L9e3ZL,ASHLEY MOSHE,5OrzcoXirJfHoek6HfVcRZ,"Господи, убей меня нахуй",2020-12-27,0,Nu Metal
1qkX7Pg1MtDKvFDfxnqNz6,В городе родном,6oJuOgsq4FHXBXmvC1Dvzo,Пятая Бригада,3aRNyK4NI2GgoYFPPXEvlc,Веселуха прёт!,2000-01-21,0,Nu Metal
