track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
1ioMNdTKbO8ByUG1zh0GNw,"Danger UXB - Live, BBC Friday Rock Show, 1980",1S0z4SZEMYEQrmUaTerXXh,A II Z,64VWjMllrUcNKPpOKusPZF,The Witch Of Berkeley (Deluxe Edition),2012-08-13,0,Nwobhm
1ywQw3BwAIkzuJLu7ioeqH,London,2TRtXTjjmyzK5oUGec1Gv8,Girlschool,1ArKlgtpOs9c0UITXz8l6r,21st Anniversary (Not That Innocent),2002,0,Nwobhm
3Szpqzeu3kW5jIU7M6SVbO,On the Road,32cQK6fCPn3HpP1F1vu0xy,Ded Ringer,2gkx8uh5drZIFoSCixxiWT,Ded Eye,2011-08-19,0,Nwobhm
2fBMUtkJsNZOqAel8kPv8g,Thanks for the Angst,4SAgLQFpw67TzkE6BcWWtF,Chrome Molly,5bS6f2arXW7av3rLWHwlT6,80s Rock,2013-02-11,0,Nwobhm
70aquhFvIjOYU2oK29aIsk,Mighty Fine Year,4MCjxnrxner7IoAD2sFNfx,Ground Attack,2E3S2SYUcu3IZzCVZ3LYb5,Out of Control,2010-12-01,0,Nwobhm
57B0uQglx1sFiK2kpkbk8e,Power Games,6pp5z0t1YNfIRPIUb96UaO,Chariot,1rslpjfJ37j8RTTxNmjf4V,"NWOBHM Majestic Metal, Vol. 1",2014-06-16,0,Nwobhm
7tgrGltE2rntP35FCtVuDj,Life,7zfiWBX1poRMnhUQHQyPku,Seventh Son,3nHptfGlu8N7xXei9cyKDu,Maze,2004-07-30,0,Nwobhm
7co6YAn359iCvtbfuMiGzq,Hunted,0s4JwoiTHqruatpqAR0IZ7,Samson,47oaKXZdYBM8GhsxQDSAoX,Survivors / Head on / Head on (Tony Platt Alternative Mix) / Shock Tactics / Live at Reading,2019-07-26,0,Nwobhm
2vNUUDt2QBiz8Z6EhLLpKW,Do or Die,1EH9eSje47IiRyVsq3gfkl,Raven,3ndak7jdX1qaJxOCFDBPWK,Metal 100,2020-07-17,0,Nwobhm
6CFa6IITaPRMmaoPrv514m,Lady Luck,32cQK6fCPn3HpP1F1vu0xy,Ded Ringer,1lqeIYUBMtu3HDf8LbzAdY,Wanted: Ded & Alive,2013-06-17,0,Nwobhm
5jSAjl5L81tGGS96F9DmQ1,Running Free,32cQK6fCPn3HpP1F1vu0xy,Ded Ringer,2gkx8uh5drZIFoSCixxiWT,Ded Eye,2011-08-19,0,Nwobhm
2snWSY5im3iMev5Djs4Ba5,That's Life,32cQK6fCPn3HpP1F1vu0xy,Ded Ringer,7A6tmSO5yjIsePuJyOBw1c,Mistaken Identity,2004-01-01,0,Nwobhm
78zAAZIYbW0359VxtU85Rd,Walking out on You,0s4JwoiTHqruatpqAR0IZ7,Samson,47oaKXZdYBM8GhsxQDSAoX,Survivors / Head on / Head on (Tony Platt Alternative Mix) / Shock Tactics / Live at Reading,2019-07-26,0,Nwobhm
1UDJ11MRfEyKUUhFBUenks,I Cried for You,32cQK6fCPn3HpP1F1vu0xy,Ded Ringer,1lqeIYUBMtu3HDf8LbzAdY,Wanted: Ded & Alive,2013-06-17,0,Nwobhm
6fN2Gdj2kgwNDryMdMyNx5,Let's Get,32cQK6fCPn3HpP1F1vu0xy,Ded Ringer,2gkx8uh5drZIFoSCixxiWT,Ded Eye,2011-08-19,0,Nwobhm
5KG0hRtH4PCGmDILnyPX3M,Airstream,7zfiWBX1poRMnhUQHQyPku,Seventh Son,3nHptfGlu8N7xXei9cyKDu,Maze,2004-07-30,0,Nwobhm
5Q5j3EzhVN87BKzkPWnQp0,Saturday Night Special,5CdD7ikeZibbLQcfGTyjC9,High Treason,1A0A80KNUgdHA9g7CLALsb,Everything's Gonna Change,2016-10-07,0,Nwobhm
6VEARf5QK4aMPegJApp3sy,Alone,5VuuqhhYM8cRN6yA0qrq6R,Holocaust,7xhTClOSSaWD1W7UqkykoL,"Heavy Metal Mania: Complete Recordings 1980-1984, Vol. 1",2023-01-27,0,Nwobhm
6UqdrMsmyw0J261dxqIiwy,The Shuffle,0s4JwoiTHqruatpqAR0IZ7,Samson,47oaKXZdYBM8GhsxQDSAoX,Survivors / Head on / Head on (Tony Platt Alternative Mix) / Shock Tactics / Live at Reading,2019-07-26,0,Nwobhm
0GltyBkZUkl441YGwWoeYL,Born,7zfiWBX1poRMnhUQHQyPku,Seventh Son,3nHptfGlu8N7xXei9cyKDu,Maze,2004-07-30,0,Nwobhm
1KwIhgLzAGTa3GE6eH8JKH,Take It All Away,2TRtXTjjmyzK5oUGec1Gv8,Girlschool,2PssA5dsiDq5M0Kpp3KMWr,Hard Rock Diamonds,2013-09-23,0,Nwobhm
3UZh6JiWKfCo4p7L01uOhc,Are You Ready?,5IRiDFbQACzuEriYUoGBIK,Rock Goddess,4xdggt57rIn17LdFWgy5AO,Are You Ready? / Calling To Space,2019-02-01,0,Nwobhm
5pWoeOAUx1EJGxzAkc9GwG,"Walk the Distance - Live, BBC Friday Rock Show, 1980",1S0z4SZEMYEQrmUaTerXXh,A II Z,64VWjMllrUcNKPpOKusPZF,The Witch Of Berkeley (Deluxe Edition),2012-08-13,0,Nwobhm
0AYfkcJospsofdZRvikETE,Candle Burns,7zfiWBX1poRMnhUQHQyPku,Seventh Son,1cHbJtorw6AYbTYTE5huDw,Seventhson,2007-01-01,0,Nwobhm
1NJICabBXoGbQZL0IaAJGx,Midnight Star,2mL98EiVpADDYppobjKeJ7,Chateaux,1ExCfAm8MTeTydESdmSeqW,Spirit Of The Chateaux,2024-06-21,0,Nwobhm
5x0CnWaNMDJyj1dlGd1i1H,Kai Vidala,0s4JwoiTHqruatpqAR0IZ7,Samson,4oafIxKZlau5XFpVM4HRde,Yesuva Pola,2021-04-05,0,Nwobhm
04IsmsHXakxWBMgZiWHuMv,When Did You Know?,32cQK6fCPn3HpP1F1vu0xy,Ded Ringer,2gkx8uh5drZIFoSCixxiWT,Ded Eye,2011-08-19,0,Nwobhm
7ziPlJ9LHrDTS2o4ci0tYH,Thunderburst,0s4JwoiTHqruatpqAR0IZ7,Samson,47oaKXZdYBM8GhsxQDSAoX,Survivors / Head on / Head on (Tony Platt Alternative Mix) / Shock Tactics / Live at Reading,2019-07-26,0,Nwobhm
7ujBY4rdKdl65e1Sf9fhqr,Calling To Space,5IRiDFbQACzuEriYUoGBIK,Rock Goddess,4xdggt57rIn17LdFWgy5AO,Are You Ready? / Calling To Space,2019-02-01,0,Nwobhm
0jYY9rLqu3lgvchPolUS1z,Wrong Side of Time - Bruce Dickinson Vocal Version,0s4JwoiTHqruatpqAR0IZ7,Samson,47oaKXZdYBM8GhsxQDSAoX,Survivors / Head on / Head on (Tony Platt Alternative Mix) / Shock Tactics / Live at Reading,2019-07-26,0,Nwobhm
