track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
0ZG1TdBe3pdaSttqcgEwD9,Triumph In Flames,1vrQbA2pHhg6HqBUlJfVMl,Wolves Of Hate,3C45FlJUj8HICHMkJ1fpbv,Battle Hymns And War Songs,2008-03-12,0,Pagan Black Metal
2YJ1JfERKWzQEJb4xJFSWD,Carthago Delenda Est,0okB1HEJFLD98VkNzLtTBJ,Ancient Rites,5OOUvoEyBS5YlPFD4YNfhL,"Massacre Soundcheck, Vol. 5",2015-02-10,0,Pagan Black Metal
7tuj0Erfs0bxjzH0Aff1WW,Fesseln der Asche,44me9oXgyKCsfdmTw8kLTk,Fimbulvet,3nID7wSiYJVUkkulUNrL0H,Frostbrand - Eines Bildnis Tracht,2015-01-06,0,Pagan Black Metal
6V7h89zaMCLR87wQAyUAAH,Krieg der Ratten,44me9oXgyKCsfdmTw8kLTk,Fimbulvet,1gcGpQF1bZHQ9JXVAwRju6,Portale,2023-04-29,0,Pagan Black Metal
2ZLV49hY2IXpmkiJdESx1G,Beast of the Sea,1T5Q0IS0ApUxkGZikQYo9W,Pagan Throne,2lKWjyD9QXISxWOJnuJqer,Live Thorhammerfest,2018-10-10,0,Pagan Black Metal
0kQDONvVdzzZpmPxPOqFY3,Wielandstahl,2xbOpaJ8n2zn5zcLtmdWPM,Surturs Lohe,5nMfWR95g8BRvgKiD2hiYe,Wielandstahl,2021-08-13,0,Pagan Black Metal
5fLSyNqeOUdigqZoYpGk5F,Portale,44me9oXgyKCsfdmTw8kLTk,Fimbulvet,1gcGpQF1bZHQ9JXVAwRju6,Portale,2023-04-29,0,Pagan Black Metal
1wkk7j7vygqd9gcB81AGRU,Fallen Heroes,1T5Q0IS0ApUxkGZikQYo9W,Pagan Throne,2lKWjyD9QXISxWOJnuJqer,Live Thorhammerfest,2018-10-10,0,Pagan Black Metal
3F7RG1mrC3jJqpMthfIYIL,Shieldwall,1vrQbA2pHhg6HqBUlJfVMl,Wolves Of Hate,4Ll5AlBhz5OD5gxwUt7Cwr,To Victory,2011-08-16,0,Pagan Black Metal
3wvpndLMV84BWw9w5eW85J,Wotan's Blood,1vrQbA2pHhg6HqBUlJfVMl,Wolves Of Hate,4Ll5AlBhz5OD5gxwUt7Cwr,To Victory,2011-08-16,0,Pagan Black Metal
7EBbnFXcJF6T0jZSK50glt,Drachentor,44me9oXgyKCsfdmTw8kLTk,Fimbulvet,1gcGpQF1bZHQ9JXVAwRju6,Portale,2023-04-29,0,Pagan Black Metal
0AXC5mkMzILkKHWHWifZbh,Swords of Blood,1T5Q0IS0ApUxkGZikQYo9W,Pagan Throne,2lKWjyD9QXISxWOJnuJqer,Live Thorhammerfest,2018-10-10,0,Pagan Black Metal
5xdDy8ckbFcjCoTJURhhDn,Kelche von Gold,2xbOpaJ8n2zn5zcLtmdWPM,Surturs Lohe,2GBjMNR8wzxskz0bFSVo6s,Kelche von Gold,2021-09-03,0,Pagan Black Metal
052GTWIxzlhWeLwGTjE55I,Berserker,1vrQbA2pHhg6HqBUlJfVMl,Wolves Of Hate,3C45FlJUj8HICHMkJ1fpbv,Battle Hymns And War Songs,2008-03-12,0,Pagan Black Metal
4qcia4zUoJ0FqSpMxXN19s,Rites of War,1T5Q0IS0ApUxkGZikQYo9W,Pagan Throne,2lKWjyD9QXISxWOJnuJqer,Live Thorhammerfest,2018-10-10,0,Pagan Black Metal
17SoVGDp8AglpptzaIHZiP,Feuertod,44me9oXgyKCsfdmTw8kLTk,Fimbulvet,1gcGpQF1bZHQ9JXVAwRju6,Portale,2023-04-29,0,Pagan Black Metal
6nqrfs71UXbtEfaxSioBvl,Entrance to the Underworld,2FoMnaDONyTBlKaVnGj6fk,Ancestors Blood,5SEbDStvIeucTisQyaF9jG,A Dark Passage from the Past,2016-01-30,0,Pagan Black Metal
0IBbRTENw3iNnef3aEaTKI,Hiljaisessa Syvänteessä,6cvfJNOW4ZAMiSVLEbeP8P,Kalmankantaja,4oGqBhpceylpyFtlpdSNFP,Musta Lampi,2017-03-21,0,Pagan Black Metal
5wtnXfoydjHB646wFvdA21,Legend of the Horizon,2FoMnaDONyTBlKaVnGj6fk,Ancestors Blood,3Hr8tjZ9oROM14wib2nxJ0,A Moment of Clarity,2016-02-01,0,Pagan Black Metal
04SwTVWj6XrhPIYNUXvPr6,Neiding,44me9oXgyKCsfdmTw8kLTk,Fimbulvet,1gcGpQF1bZHQ9JXVAwRju6,Portale,2023-04-29,0,Pagan Black Metal
5kFrulbqSXNXOKZnkWok7k,Path of Shadows,1T5Q0IS0ApUxkGZikQYo9W,Pagan Throne,6mSf8LVa08XJAKxW47aBEh,Blood of My Enemies,2017-10-07,0,Pagan Black Metal
6JNeshrOIGagJNtZ09LXvJ,Fallen Heroes,1T5Q0IS0ApUxkGZikQYo9W,Pagan Throne,6mSf8LVa08XJAKxW47aBEh,Blood of My Enemies,2017-10-07,0,Pagan Black Metal
3Niap8atn2o2x5ATOLoFgL,The Hallowing Of Heirdom,0cKyWvYnOGpPV2NpulEYf5,Winterfylleth,6A8WRldgnrmU7LFJUyEmek,The Hallowing Of Heirdom,2018-09-03,0,Pagan Black Metal
3MgRU8AM64DPmHFKrslj0O,Intro,44me9oXgyKCsfdmTw8kLTk,Fimbulvet,3nID7wSiYJVUkkulUNrL0H,Frostbrand - Eines Bildnis Tracht,2015-01-06,0,Pagan Black Metal
1s5DPiWbVbfQEnZuqwuaMO,Und aller Glanz schwand...,7l6s4jTGaOlQrU8awOB0vH,Heimdalls Wacht,1nw0A8DZPn7egQ9x37YM2f,Verschuettet - Unvergessen,2014-06-01,0,Pagan Black Metal
3tlrJHS0aspr75mfl6j86G,The Coming (Introduction),7L6u6TyhjuwubrcojPeNgf,Burzum,4275lvIx2lgEzk5f78HAvW,From The Depths of Darkness,2011-11-28,0,Pagan Black Metal
06Wn9jui5YXxmYY8BQlR6m,1664,3tJCrNrAyyrC4BRVeTzD6t,Khors,3AG40JXHQuvPGoLdCazJFF,Night Falls onto the Fronts of Ours,2019-10-29,0,Pagan Black Metal
75he3msg3FbropPT04CMoM,Rise of the Spirits of Ancient Heroes - Live,2FoMnaDONyTBlKaVnGj6fk,Ancestors Blood,2CukdTobVA2gNh12BZsuRo,Heervader / Ancestors Blood,2015-12-03,0,Pagan Black Metal
6jNCjJTUfgMQYwrOORtkeH,Over En Stygg og Hatfull Gård,4ChLecElnzV8dLh4OHPWgx,Voluspaa,4YgGwcxlSnSgWhpOHsqGu1,T.Å.E.M.E.N.,2017-03-26,0,Pagan Black Metal
1NAxXMPpR71Cigf5SthjYH,Kaldr,5XbRdXn5rKF7kVjGaqsShZ,Helheim,7pug1BmkgjdWWgKLlpGngZ,Kaldr,2019-03-08,0,Pagan Black Metal
5jsUJCcKOIl2oFRJoW5jtQ,Traumfänger,44me9oXgyKCsfdmTw8kLTk,Fimbulvet,1gcGpQF1bZHQ9JXVAwRju6,Portale,2023-04-29,0,Pagan Black Metal
