track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
2pf76HNPY7iOcCrMYIgehj,Purple Haze,66RF1JqKQgQCz7kFNqHgmY,Winterlong,6uz7MaxF8noUIGGa2lFWWB,The Spirit Lives On - the Music of Jimi Hendrix Revisited vol II,2004-01-01,0,Power Metal
7DyRroaYodQO3E95DZDsG4,Brick By Brick,4Uu8hbzDD9HAtLosp8g4jB,Dropdead,2etWsZImwovdyDfkF65Ki5,Dropdead / Look Back and Laugh Split,2004,0,Power Metal
2gr0e7iVfbboocmm7Psd18,Vassalage Grotesque,72p9ulj72dl7By7lbw9iv0,Grunt,2G21K99FeRfi5vfT6rmXWe,Codex Bizarre,2015-12-04,0,Power Metal
6XustnoVCsNdB0KYEzCFQW,Magic Place,7atCUlC2inU6TmgaRA981H,HOWLING,39wI6Y563pjIki1O1WHKIn,SPIRAL TO VICTORY,2015-11-15,0,Power Metal
6AU7ks08pgj3JoPNl3k94n,Sadopsychorama,72p9ulj72dl7By7lbw9iv0,Grunt,2CbXeIPh37HzK7ELIGQXMK,Codex Bizarre,2015-08-24,0,Power Metal
7pWtS5JJdMKng6pbuxHD9s,Путь Феникса,6yS0o11Rl53vy2WMlDWhFQ,Война Осколков,4lCAaMqqPukwzQ1PvD4O6S,Путь Феникса,2022-01-16,0,Power Metal
5J95SKkRDlkr5GOfuG5qRN,Полет Феникса,6yS0o11Rl53vy2WMlDWhFQ,Война Осколков,3SH2EgOHxCGEPOfxIW0wtS,Полет Феникса,2020-11-18,0,Power Metal
7qdhdyRdKBx9QAIWGflNt0,Интро,4fm4IxU2kbixhLwTzUigvR,Arda,61kQwzkpNtrVhXckqfFk7v,Экзорцист,2005-01-01,0,Power Metal
4m9G6u69GL96M4VjEzsUGn,World of Nothingness,0VcBQU4YIJHE6HwCy2Nu4M,Incrave,0AD33Av1qBZSK9IBTiwIsO,The Escape,2007-04-25,0,Power Metal
65Sd6negSgMVhdTiUissxP,Klan,4Uu8hbzDD9HAtLosp8g4jB,Dropdead,3YoBZ5r4peUfTYIuuHT8vR,Self Titled 1993,2012-02-14,0,Power Metal
6CQNPePgOb1nX9e9K40TFv,Leaving The Light,6r5M5nwM1qIuqpX3RYN47k,Silver Dragons,4w2SxvMSTkd1ZLK0xdQhE5,Paper World,2013-10-24,0,Power Metal
7a5gvJA0pgI5NL3BbGPmsq,Бессмертный Воин,2VnPNLB35yVCeWnpRNVVGq,Харизма,4yp19XswKI4g4ubypR8pG9,Бессмертный Воин,2020-08-02,0,Power Metal
7IQiajpPQrkP0Sevin6Tkx,Intro,5a9212FJIflueLgNlGt5Nz,Silent Winter,7yPzntrGbaVZxHnH0MolHM,THE WAR IS Here,2018-05-25,0,Power Metal
7beMv7yfC3WFeomO5vYH5L,Мистика,00KYw7ioBkUEJEoFvaZzco,Цитадель ветров,52qmM1D8KBOckMdZAqoSfn,Мистика,2003-03-07,0,Power Metal
