track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
3P344PFBVBriIYDFIxki5I,Netherworld Exile,2l3vw5Ei6mvcrw4Zlw6hPX,Rapheumet's Well,4lWuGy90zwFps8we2oQ3OZ,Dimensions,2014-10-31,0,Progressive Metal
4BKCKk93okd2OhrD81rkqI,Nasa,7jvrJRvIsPPiDvFoqOyCRp,Karnak,7aBjpkT2i8Qc3xyuuB11zt,Karnak (Music From the Advanced Egyptian Dance by Hilary Thacker),2003-05-10,0,Progressive Metal
5nhqzOpnTtafAKin5dI6GZ,F32.2,5UO9WZghVQ03dAeueVAcN4,Galaktik Cancer Squad,32w3IiiVzcvqWvOBBo57QE,The Gathering,2012,0,Progressive Metal
3Z3kitN3VBUjBFHGhPsfhd,The Whispering Darkness,1GA1i7gyxhMlRr5n4cOi9V,Dunwich,1bq0UQ3vZQLzUGZfIKfDmw,Il Sogno e L'Incubo (Vita e Opere di H.P. Lovecraft),2023-06-30,0,Progressive Metal
7pP5BLwXoF6ON9clZC20mX,Cose Della Vita,4Xe63wRxHbU9vQu4nNQf7F,Heretic Brazil,20TTvCuU8flFNvBhsqzHLF,(dis) covering,2020-07-21,0,Progressive Metal
0YB5QL8JQVshjHlDixNqPD,My Will,2w28irhMljQAtk0nhDRxei,Lethal,3JHyeRnvZV4Y4OuQYJwLPm,My Ticket to Freedom,2015-06-23,0,Progressive Metal
74LjpRLxZIIFzm5cXAqTBB,Nubes bajas,7JJJAFR2AEAZr1J2rX0mbS,El Lado Oscuro,0Ilnq8AIPclvXTm7PnXge3,El Lado Oscuro,2011-06-28,0,Progressive Metal
32WbKtpRO4ecEZCHJnCZtL,"Tanglewood '63 - Live at the BBC John Peel's Sunday Concert, 8 November 1970",7zSHQFzTnqpcbrmroB7bvM,Colosseum,0qE5dDmbeQQvAfORa7kCyv,Transmissions Live at the BBC,2020-11-27,0,Progressive Metal
7kdfotWQHlSiy4EubiNDCn,The World They Took Over,0UXa7yhwFTbjt3atKg03Xn,Show Me Wolves,2ME0FutaYpbBP9qxHMCQiZ,The World They Took Over,2016-06-27,0,Progressive Metal
72JDjiWVhBYZbImRNZtSw4,Black Genius,4Xe63wRxHbU9vQu4nNQf7F,Heretic Brazil,5HhDSCcJilnIYBgFxYw5qX,The Errorism,2016,0,Progressive Metal
6vtMRS736vsxN42GmW34sW,Prism Prison,19iL5Yx1EoJKIFY6almj8B,Existential Animals,6XkSpvZpa2M64H6hmnPTkz,Anthology (2013-2015),2024-05-17,0,Progressive Metal
4kBEZdXbZbt9tPMA5jGML5,Cartography,78vcgsazbewjh8cPW5ga7Z,Pantheon,4n37NhasSSD5u1IT8SKrwj,Overgrown,2013-02-16,0,Progressive Metal
3FrGpipT4noQ7axofTdps2,Hybrid Fear,4Xe63wRxHbU9vQu4nNQf7F,Heretic Brazil,6kO80PQeo7aGVR4cPWHMRc,En Vivo En Galicia,2024-01-28,0,Progressive Metal
6VbmV6cHImQgalUgAEd1z8,Impulse,49N7pfoh57RPn2yoBLfUjR,Archaeologist,5iZQahLoWPdjkQHQzAEIAS,Five Demos,2020-09-18,0,Progressive Metal
7FbQL3tEWnUT2kOpNWHH8Z,Lechery Brought the Darkness,2l3vw5Ei6mvcrw4Zlw6hPX,Rapheumet's Well,2gpdfQ7xugw0vCXPA0BM2w,Enders Door,2017-05-16,0,Progressive Metal
