track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
4rtlTFvuJCCrOSXjm2Fiv5,Endeavour to Fly,3HxzTpJD5f5SHmnrTQ65sh,Graven,6Cn8UeYjnAHBgMikcprUAd,Zenith the Meadow,2011-08-01,0,Raw Black Metal
6QkJmXyzjhfDBIa5RkdKuz,End of All Things,3HxzTpJD5f5SHmnrTQ65sh,Graven,6Cn8UeYjnAHBgMikcprUAd,Zenith the Meadow,2011-08-01,0,Raw Black Metal
6sx6vzmRV08GS25ekQwWuq,The Orks' Lair,0N8Syr60BVeXqmtNXd7ziD,Munruthel,6sd2Ryg3P9qNacVkuxx6jn,The Dark Saga (Original Soundtrack),2011-12-22,0,Raw Black Metal
0rlh39I1AUKf52dVNTJblY,The Graveyard,0N8Syr60BVeXqmtNXd7ziD,Munruthel,6sd2Ryg3P9qNacVkuxx6jn,The Dark Saga (Original Soundtrack),2011-12-22,0,Raw Black Metal
3je5NMPAf1zG8m3ttSuiYM,Between the Walls,3HxzTpJD5f5SHmnrTQ65sh,Graven,6Cn8UeYjnAHBgMikcprUAd,Zenith the Meadow,2011-08-01,0,Raw Black Metal
4kqUT4KXoB5t5ykRD5rs5T,Wander Onward,3HxzTpJD5f5SHmnrTQ65sh,Graven,6Cn8UeYjnAHBgMikcprUAd,Zenith the Meadow,2011-08-01,0,Raw Black Metal
1nbjBAcllc8e1fCcKxHCUI,Wander Onward,3HxzTpJD5f5SHmnrTQ65sh,Graven,4ccgS2BV7NH7QwVEdTxAnZ,Channelsurfing the Seas of the Cinematic Mind,2015-03-15,0,Raw Black Metal
7BpEvSa7OHHOpkj0FkJ2vP,Blind Idols,4DOSWxfEpubAy9xvF4GRr1,Finist,2YTol1h6d3OuqtW2JJ9OpI,Blind Idols,2016-10-21,0,Raw Black Metal
0r1EmA1onk57tZQBB9BGUb,Blaze of Saturdaze,3HxzTpJD5f5SHmnrTQ65sh,Graven,4ccgS2BV7NH7QwVEdTxAnZ,Channelsurfing the Seas of the Cinematic Mind,2015-03-15,0,Raw Black Metal
7AzbYln5DdAdnnaa2MEETz,Megachernobyl,3HxzTpJD5f5SHmnrTQ65sh,Graven,6Cn8UeYjnAHBgMikcprUAd,Zenith the Meadow,2011-08-01,0,Raw Black Metal
3Fsgab1D9FW6gRDNARNyvC,The Void - Outro,252pxytUTi6lWEKYfjvUpJ,Verwesung,2AMnAflVpUk5tomJakfHuY,21st Century Vampyre (The Dark Years 2015-2017),2021-05-01,0,Raw Black Metal
5f7xNs1vnqWxuFYcuSMq9Y,Horizons Glassy,3tJCrNrAyyrC4BRVeTzD6t,Khors,2vtTRzO200ZcuxTCu5HA8T,Wisdom Of Centuries,2012-11-09,0,Raw Black Metal
3hfFlA9xwfahNctsOL7V7w,Underdog Under Fire,3HxzTpJD5f5SHmnrTQ65sh,Graven,4YAHRv1ue4oNunJn2I3ySf,Feel Real,2013-02-01,0,Raw Black Metal
3ZU7nC54itBimOwV70bTk6,Green Lights at Night,3HxzTpJD5f5SHmnrTQ65sh,Graven,4ccgS2BV7NH7QwVEdTxAnZ,Channelsurfing the Seas of the Cinematic Mind,2015-03-15,0,Raw Black Metal
2DfjIk6SoWALOYltflUav8,Breath,3tJCrNrAyyrC4BRVeTzD6t,Khors,1a6rudrFRVjJLbKPfspYOD,The Flame of Eternity's Decline,2010-12-15,0,Raw Black Metal
5v8F5g3nHO8imZjtfZuwHx,Hollows Mass,4LWO5fWCd4uO3pfO9YR5b7,Calderum,2Lph6UiLXxAruPFgUQrap0,The Solace Path,2020-02-12,0,Raw Black Metal
4qhhh3TpXMPgORT8jsBPQ4,Fifteen Line,3HxzTpJD5f5SHmnrTQ65sh,Graven,0t575SvLi1eD4fExbPNzmq,Hometown Bringdown,2017-02-02,0,Raw Black Metal
3KH2C4zaHxJ7I23OzmlnGI,Drums of Doom,0N8Syr60BVeXqmtNXd7ziD,Munruthel,6sd2Ryg3P9qNacVkuxx6jn,The Dark Saga (Original Soundtrack),2011-12-22,0,Raw Black Metal
3cxIYFe3ymAKL4bOcUt33r,"The Waves, They Come",3HxzTpJD5f5SHmnrTQ65sh,Graven,6Cn8UeYjnAHBgMikcprUAd,Zenith the Meadow,2011-08-01,0,Raw Black Metal
144t3Ysd0jN9D2gzM0tvak,Basement of My Disgrace,3HxzTpJD5f5SHmnrTQ65sh,Graven,4YAHRv1ue4oNunJn2I3ySf,Feel Real,2013-02-01,0,Raw Black Metal
06Wn9jui5YXxmYY8BQlR6m,1664,3tJCrNrAyyrC4BRVeTzD6t,Khors,3AG40JXHQuvPGoLdCazJFF,Night Falls onto the Fronts of Ours,2019-10-29,0,Raw Black Metal
1Ns0BZIRMyXCv2OTRzVkOv,Entrance to the Malignant Castle,4LWO5fWCd4uO3pfO9YR5b7,Calderum,0J3BpanoogcrhIP9gnq8EI,Calderum,2019-09-19,0,Raw Black Metal
