track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
7DVXFwKhphlGZTlccaI53h,Spectra Spectral,2JDEtAc1gGiAbCvjUnK2iZ,Huntress,7t3QijPNtLOBdndgx6JAFB,Starbound Beast (Japan Edition),2013-08-28,0,Retro Metal
23N4hQBPQiNxrUkQkMKFtF,Death On Two Legs,1ovAqymfccoNeUwKsjku7j,Riotgod,2S07qdMtpJss2ikXCOmsZU,Horse Feathers & Animal Crackers: A Tribute To Queen,2010-01-25,0,Retro Metal
25A3jbV7ScHkg54WsEAd71,Let It Roll,5IIUt3gSaku4Ga8Pa6cwRB,Blood of the Sun,5c42hwYnaV1hU5J29f9oke,Burning On The Wings Of Desire (Japan Edition),2013-05-22,0,Retro Metal
6k03ufHDooGi0PfUfwV0bU,Starbound Beast,2JDEtAc1gGiAbCvjUnK2iZ,Huntress,7t3QijPNtLOBdndgx6JAFB,Starbound Beast (Japan Edition),2013-08-28,0,Retro Metal
0B77GwVXsJsA822QK1IRTO,Receiver,2JDEtAc1gGiAbCvjUnK2iZ,Huntress,7t3QijPNtLOBdndgx6JAFB,Starbound Beast (Japan Edition),2013-08-28,0,Retro Metal
2dM9OO1R0wG4GaFItxCrdI,Welcome,0WJFn6zLNOIKtlrZknTHYi,OJM,1TxnZzTf4rLLBEwXREXziA,Volcano,2010-09-15,0,Retro Metal
0CepzVIGUDGeEtkEWvcBCy,Enter The Exosphere,2JDEtAc1gGiAbCvjUnK2iZ,Huntress,7t3QijPNtLOBdndgx6JAFB,Starbound Beast (Japan Edition),2013-08-28,0,Retro Metal
4xBlwuUqeEPQmsdA0Rvm3x,Destroy Your Life,2JDEtAc1gGiAbCvjUnK2iZ,Huntress,7t3QijPNtLOBdndgx6JAFB,Starbound Beast (Japan Edition),2013-08-28,0,Retro Metal
71xxm7CY1HK2WPUqP12oGM,Sunrise,3LfdVpF9VAFzwzuAQvjbzR,Vinum Sabbatum,0bJoAM2WkqHGHMqTSDZdr2,Sunrise/Faceless Deceiver (Digital Single Download),2021-10-10,0,Retro Metal
1K7FZYkgRGREqzBDkLYRPr,Letters from the Damned,3LfdVpF9VAFzwzuAQvjbzR,Vinum Sabbatum,0AX89lOoQsRMVO10cGePtK,Letters from the Damned / Ota Merkityn Numero,2018-05-31,0,Retro Metal
7ueEdoQXgC8va779B1kZfy,Welcome - Remastered,0WJFn6zLNOIKtlrZknTHYi,OJM,7KrsI7YubUickPaOSWSs3o,Volcano (Remastered),2010,0,Retro Metal
3WXl9EPuiEQbE661Cflmke,I'll Be Long,0WJFn6zLNOIKtlrZknTHYi,OJM,1TxnZzTf4rLLBEwXREXziA,Volcano,2010-09-15,0,Retro Metal
4ajIrYqXVFAKjuyELpsyba,Love Gun - Live,0SinbcXhPwNHsfAUstKY9h,Mammoth Mammoth,4oYTNJ9rfiGI4bihV0f5rZ,Sittin' Pretty / Love Gun,2022-12-02,0,Retro Metal
1zh7qyYO0NyyfG9NBRVnPb,Oracle,2JDEtAc1gGiAbCvjUnK2iZ,Huntress,7t3QijPNtLOBdndgx6JAFB,Starbound Beast (Japan Edition),2013-08-28,0,Retro Metal
3ZtpTrSGkv36nOy6axWOEg,Alpha Tauri,2JDEtAc1gGiAbCvjUnK2iZ,Huntress,7t3QijPNtLOBdndgx6JAFB,Starbound Beast (Japan Edition),2013-08-28,0,Retro Metal
2xdJz9WoIJrVy0dW4NkxIz,I'll Be Long - Remastered,0WJFn6zLNOIKtlrZknTHYi,OJM,7KrsI7YubUickPaOSWSs3o,Volcano (Remastered),2010,0,Retro Metal
1qIfTTNiH5FI3hLbBFFUFX,I'm Not An American - live,0WJFn6zLNOIKtlrZknTHYi,OJM,50SgbAya5wE0KwAsuGcJsr,Live in France (Under The Thunder Live),2009-03-11,0,Retro Metal
