track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
7eQxbhD2IrTF1RrRT2FSxn,Return to Saturn,5OZ3pOqpXkHXDCGZuSLb43,Intestinal Laceration,0FnOvZnjtbCtvnBDHAQ05h,Chaotic Eschatological Madness,2022-05-20,0,Slam Death Metal
0CtgRPMvXCtxjnomebGTkG,Entanglement of Perversion,0TaTSalXhDPgRV36hl08Ob,A Man Named Onigumo,4AFbMUkWCCxUMPJD5dBZxt,Entanglement of Perversion,2021-01-13,0,Slam Death Metal
2XE8UWwn0i47TlahiakhqB,Anathema,2pvDpRWrpTlplPGUNUhW3T,Decomposition of entrails,6gXaszOrjg3vhS6f4lpsp6,Abnormality,2019-05-30,0,Slam Death Metal
2o1IM5wfPgFnljqdgNdeZ2,Enjoy Their Putrid Flesh,5OZ3pOqpXkHXDCGZuSLb43,Intestinal Laceration,4IKKcyWJGuSSzLvNP0nS5e,Species of Putrid Minds,2015-04-25,0,Slam Death Metal
1xb2NaOuV2w2knIboXjKBf,Skin Stripper,6crbyNrtneKg8hcp3rrPcs,Iniquitous Monolith,6jj38URx46sdSWGyIXl9aB,Skin Stripper,2024-07-12,0,Slam Death Metal
0Dn2Dbk6Y7hRufqh61W1AO,The Unequivocal Fate,1uFcGpfJuKh7MSvHWmbyXL,Numbered With The Transgressors,7JiiD1zrGIyRnz8cNOWUO1,Tombless,2020-11-26,0,Slam Death Metal
0QTky46D9kd2uBKX7v1MhE,Tear Yourself Apart,0AVbPivwusyUYMWZmnK15A,Teratocarcinomas,6p89tW5y5Tm2wm9r2DITko,Exquisite Dissection,2021-03-24,0,Slam Death Metal
76SxTdYeygGytFcWxV5t5T,Bikini Atoll Fallout Frenzy,5P0SKq2cF2Nk6r2lUbsHbm,Atoll,78JwpjxFfp2ERAUozseG3K,Bikini Atoll Fallout Frenzy,2017-10-06,0,Slam Death Metal
1E8bpn0vF7wT2ktJ9Zwzg8,Antediluvian Anguish,3c9f2M6tEGCb6ZBpmD5f05,Molested Divinity,4uaY4PiSsy1H9mjWVpY8M7,Unearthing the Void,2020-03-25,0,Slam Death Metal
1s0TjzvkZhrOY5EzEFSxlO,A Mountain of Gore and Entrails,0AVbPivwusyUYMWZmnK15A,Teratocarcinomas,3mmlBfCFFAdqTfwfJgy0GQ,Church of Contagion EP,2021-06-01,0,Slam Death Metal
1PEri8m258DoUJ3WD6wVCC,Formation of Worms,2j5aEC28SlOLYBSn4UyPJe,Colonize the Rotting,2fE8MFwMcMKr2TLweNFLj4,Composting the Masticated,2010-07-26,0,Slam Death Metal
5xhnVfD6OiXUuaGD5tEkDi,Foetus Slamo-Maxillaire,4e0VSpGHRWALueHhc6lGiy,Devour The Fetus,3xlfvmid1F5BgEoNwSzLqM,Traumatic Birth Delight,2019-02-08,0,Slam Death Metal
6j8QBbwrRFdp2fP7R354XO,Necrotic Cranial Fornication,4gIdHWHTZSG4M6o8uic2Wy,Visions of Disfigurement,3hGLEfj9Vbq0BWGoGK7qGQ,Abhorrent Extinction,2017-02-10,0,Slam Death Metal
4jln56CYwXan1D6ABouDrN,Abnegating the Deities,3c9f2M6tEGCb6ZBpmD5f05,Molested Divinity,4uaY4PiSsy1H9mjWVpY8M7,Unearthing the Void,2020-03-25,0,Slam Death Metal
2aZnaLGAibkU790aTFL1Fl,Indefectible Murder,3cRAnesAhhc0CseM4CzI9U,Cephalic Impurity,28qgciDSmlcGq3jCUHFnTC,Perverted Surgical Concept,2019-12-10,0,Slam Death Metal
0PUyY3rM8Ldk4PfXnsaZoH,Worthless Intro You Will Skip,3S7Gb9yHm6H14a3j9qBJya,Engutturalment Cephaloslamectomy,2vW5YPzda7c0Ivok1HgDzO,Glam Not Slam,2020-04-24,0,Slam Death Metal
1l0XrhG3AqLePQbQR2NOs7,Pierced By Spears,0p2Fowf3zTGGV9TPnUYmBi,Sanguinary Execution,1nTNmO3QNjb7aTyFFN0EId,Infinity Space of Barbarity,2014,0,Slam Death Metal
5cO0dIO1I4RbmmBSDifAch,Discordant Ideations,33w9uqBCKAtwv0F1YZ7Lig,Paroxysmal Butchering,1Iiy9WB1IQh7yN1QMHSOvs,Amygdala,2019-03-05,0,Slam Death Metal
0vEu8S3WxEqfmcKrnI8I0Z,Parasitic Spinal Mutation,53aK2WifD6z28KabW2dhz4,Parasitic Ejaculation,6WYLGupespzWrnop57nL5q,Echoes of Depravity,2015-01-13,0,Slam Death Metal
0xFsd92JXLsLwPd4OzbVv9,Meatball Machine Story,1u9WmQesE5Av9Biq1681ON,7 H. Target,1lFEMBgDPlkzszM1ByxoqH,0.00 Apocalypse,2015-04-15,0,Slam Death Metal
48ncwhIUpATvqAfePzJQjN,Impaled for Eternity,0p2Fowf3zTGGV9TPnUYmBi,Sanguinary Execution,23Zmz0zTRN0HTfP6bMJDWo,Lake of Excrement,2020-04-01,0,Slam Death Metal
4sNYCzdY2cF6qRSegEHgKo,Territory Of Warfare,6tGib4S9TUc80SB2LnJ5hD,Osmed,4DT7uVP50MVF4nk9aLb7wd,Territory of Warfare,2019-02-07,0,Slam Death Metal
3hk32h8apGVF5mSwrIJXI4,Ripped From Self,1uFcGpfJuKh7MSvHWmbyXL,Numbered With The Transgressors,37bDyi4dae34Q6iagffdSX,The Lost Demo,2022-05-13,0,Slam Death Metal
