track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
4o19MArFj61KwKbIDHChJF,Here comes THOR!,4DLElWKADc3A99XmSXwCMj,Thor,1fkeb0g9eQyx2SDHhZVIOZ,Shower Time! A tribute to The Punk Group,2009-01-01,0,Speed Metal
0fLH0yizNYiiSIj4yNMG2a,Road to Hell,43YqSlE8Vz64b4edNCtU9G,Ghöstwolf,7tfNzwxTEmth9XzkxUuyBY,Wild Blood,2018-03-28,0,Speed Metal
4AsWFnPqEdFO0heA4oy0Oa,Eden Ablaze,1lW77XdxS0hB5EgNlj9kxt,Slutvomit,2tzrBWZepeNdafDKZwF70r,Swarming Darkness,2013-09-30,0,Speed Metal
5GGxgblelkYu6DnTFvWgUt,Nuclear War,6q7LsjU21CxDPRESGlGXH1,Regressive,4SnBxsQm9bBXkdwK8rOfpW,Turmoil and Misery,2014-01-01,0,Speed Metal
6e6uqUSGz3FVgx1ekP4Ki1,No Way Back,2thcNpARINMX4i8f73jqtf,Picture,3DiyaTB09XkVRBM8ji9FMz,Every Story Needs Another Picture,1986,0,Speed Metal
1pKBPup7FiFrruGzijF3cn,Christine,1nfx4dsznUTDrb27remxBH,Malice,5XWJFsBAZR3iDiXrUIRidH,Metal Love Fire,2019-12-13,0,Speed Metal
5LVpMlhXFUWi4Hsehtmmk1,Stay Awake,43YqSlE8Vz64b4edNCtU9G,Ghöstwolf,7tfNzwxTEmth9XzkxUuyBY,Wild Blood,2018-03-28,0,Speed Metal
21vdEO9JgYny2yEIAUzMPF,Stay With Me,2thcNpARINMX4i8f73jqtf,Picture,3DiyaTB09XkVRBM8ji9FMz,Every Story Needs Another Picture,1986,0,Speed Metal
6YldZCRoRpgt7g8yltyFuU,Into the Ground,1nfx4dsznUTDrb27remxBH,Malice,4Nk8TQiHff33OfkOL1FhJi,Hard Rock Banger,2021-04-30,0,Speed Metal
5dEcsadD4jS8SZSOsFtVlO,Ratslaves,3szpiJM9YBPhFzFqsEtZBP,Hungry Wölf,67yD4ENoEnW29F2q1o4W94,Sounds from the Grave,2014-06-06,0,Speed Metal
0J435jm9wA87VsNaQC8FKo,Nightmare,32WOr6JY0R6awDNgISVFHl,Pvnisher,7b9D4xVYL2c1pUCRQtZnm8,Bowel Rupture / Pvnisher,2020-03-20,0,Speed Metal
71OFFIuMFP3xU2irY7SR8s,Doomsday,43YqSlE8Vz64b4edNCtU9G,Ghöstwolf,7tfNzwxTEmth9XzkxUuyBY,Wild Blood,2018-03-28,0,Speed Metal
548ampyUaYAlP23ZwUVGQj,When the Night Falls,43YqSlE8Vz64b4edNCtU9G,Ghöstwolf,7tfNzwxTEmth9XzkxUuyBY,Wild Blood,2018-03-28,0,Speed Metal
4nq7VN2Sa4YgC6o6uxJpBc,Backdraft,2Ah9OuOj7B57gPD1cbwiaE,Municipal Waste,2UirD4DbVjOVzeYjIi59wC,Tango & Thrash,2024-03-07,0,Speed Metal
44lXbJ0w3c2HlwMisYiGul,Do or Die,1EH9eSje47IiRyVsq3gfkl,Raven,1yHBAzoM5JR0Co7Gsutfgc,Hard & Heavy,2019-11-01,0,Speed Metal
4ucCzSg8iP63NxdkLLbuwE,Harbringer of Doom,1lW77XdxS0hB5EgNlj9kxt,Slutvomit,2tzrBWZepeNdafDKZwF70r,Swarming Darkness,2013-09-30,0,Speed Metal
