track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
3UtHtW609vUsflV7czcfiA,Nocturnal,0UYiLINX06eG7MrGfhOdJi,Eyes on the Machine,5lg4MQb4sFviUnykn4RRU7,Eyes on the Machine,2018-06-09,0,Stoner Metal
4UJhChKdd4QRn3IUYq3bXK,Red Death,1tqsK5Px4s5tH6Mkehw6Dk,Waingro,4qiczEAzW1Ss10bgnocOUG,III,2019-08-17,0,Stoner Metal
3pFdHMpbYBYgxI5P9uM3JI,Higher Power - Demo,4YumqLcvnU9DW31AkzaviJ,The Obsessed,5mS3rD13ubNsIk6YRe7vzD,Live at Big Dipper,2020-08-21,0,Stoner Metal
76fFtxsiSkIGR8yqSH5zNr,Red Death,1tqsK5Px4s5tH6Mkehw6Dk,Waingro,3rdGNuPFshbleFTCgHn8jf,Red Death,2019-06-28,0,Stoner Metal
4sbEFpd3Bys8qJYsGrA7el,Equator,4KBxK8PodYKpYBpN6ewwmQ,Besvärjelsen,7yYse33VO9LwCfhpDN3rmQ,Kimono My House: 50 Years Later,2024-05-01,0,Stoner Metal
38Z55AN1yl0kgOQCnppvi1,Curl of the Burl,1Dvfqq39HxvCJ3GvfeIFuT,Mastodon,68b0EeN8D81VPNYOrz9h6u,SONGS TO CUT CLASS TO,2024-08-10,0,Stoner Metal
2dM9OO1R0wG4GaFItxCrdI,Welcome,0WJFn6zLNOIKtlrZknTHYi,OJM,1TxnZzTf4rLLBEwXREXziA,Volcano,2010-09-15,0,Stoner Metal
3lGG9Mjeysanf7AMd5bUGc,Decimation - Live,4YumqLcvnU9DW31AkzaviJ,The Obsessed,5mS3rD13ubNsIk6YRe7vzD,Live at Big Dipper,2020-08-21,0,Stoner Metal
0Kyte0jOMik0582jx4bJx9,Devil's Delight,6Cbs0xetz57bCUhG7wyCt7,Your Highness,21P7S89IroSHxa6VmmIuRs,Devil's Delight,2019-09-20,0,Stoner Metal
2BeW1iupR6JraZLq9ARU8G,Death Knell,6Cbs0xetz57bCUhG7wyCt7,Your Highness,5R7WcBXTXgkQRrqe2A7QbE,Your Highness / Hedonist,2013-12-26,0,Stoner Metal
5v9hpChGiYd2psyWh4DlGo,Third Veil,1tqsK5Px4s5tH6Mkehw6Dk,Waingro,4qiczEAzW1Ss10bgnocOUG,III,2019-08-17,0,Stoner Metal
5hEopoQDskJITZzSmlqLzk,Halloween - Instrumental,1Dvfqq39HxvCJ3GvfeIFuT,Mastodon,7k1hk59BDpCYE7k80L1wEs,Noche de Brujas - Halloween - Rock,2023-10-13,0,Stoner Metal
25MLLWodhc2Gb8ZT1CazYj,Dreams From The Gods,5S2zy9OhwijaNMh1CHoaq8,Galvano,1ykFY0x2LxjvrRkh35j3v4,Friends Connection 5: Dream Factory,2019-05-22,0,Stoner Metal
1yI62ljo1QCwDOXv5TgOYI,Halloween - Instrumental,1Dvfqq39HxvCJ3GvfeIFuT,Mastodon,46Y3SKj2PtIJPA8OG3dWGU,Halloween Songs,2023-10-13,0,Stoner Metal
0SxWthxZORODDjaLPesBAp,Halloween - Instrumental,1Dvfqq39HxvCJ3GvfeIFuT,Mastodon,3Rfrv5PN2AnnyAOK4qVbuj,Halloween - Spooky Sounds and Scary Vibes meet Metal & Rock,2023-09-09,0,Stoner Metal
3LKomklk1tJzFf2fEvT80l,The City Is My Grave,6qDmksevSHEWFnazGSeLHg,Pantanum,7KYLShNIMXbVwKN8ziA8jR,Innerspirit,2020-04-30,0,Stoner Metal
6uAZnM3Np1JrYxtgyeA8n6,Failsafe - Live,4YumqLcvnU9DW31AkzaviJ,The Obsessed,5mS3rD13ubNsIk6YRe7vzD,Live at Big Dipper,2020-08-21,0,Stoner Metal
2y2QoxLPr2ei7urZtp25wn,Wych Elm,6oy22UXcMWxwQU1D9rHAIp,Limb,0Pa0P9eaHeJDYigTAP5mul,Wych Elm,2018-04-23,0,Stoner Metal
2XklUwNU9uXdGKIwtZikOD,Black Death,5w7tXOFahGczAG8hWpX1LD,Pesta,7sBLdS1k3ZTQJyrAlULvAq,Hard'n Slow Brazilian: Compilation 2016-1,2016-07-20,0,Stoner Metal
4DzY6zkhv0nUTW5fANqRUP,Mental Kingdom - Live,4YumqLcvnU9DW31AkzaviJ,The Obsessed,5mS3rD13ubNsIk6YRe7vzD,Live at Big Dipper,2020-08-21,0,Stoner Metal
0i1WDmTELbG2Vsf501TE5i,Bay Area Cult,1tqsK5Px4s5tH6Mkehw6Dk,Waingro,4qiczEAzW1Ss10bgnocOUG,III,2019-08-17,0,Stoner Metal
1GGfkYOOWVfWjNyO4wRlDi,Lifer City (live),4YumqLcvnU9DW31AkzaviJ,The Obsessed,5khAZRYf4aRaq7oZQ5SHdP,Live At Big Dipper,2020-08-21,0,Stoner Metal
3WXl9EPuiEQbE661Cflmke,I'll Be Long,0WJFn6zLNOIKtlrZknTHYi,OJM,1TxnZzTf4rLLBEwXREXziA,Volcano,2010-09-15,0,Stoner Metal
7ueEdoQXgC8va779B1kZfy,Welcome - Remastered,0WJFn6zLNOIKtlrZknTHYi,OJM,7KrsI7YubUickPaOSWSs3o,Volcano (Remastered),2010,0,Stoner Metal
4yr2rLzPKmsz1RScTswcTq,Beluga,0XyVH7jP95pWw7g9ubDD67,Tutan Come On,08u7lhbhnoAwo7xQxz4Pws,Emaidazu Mainstream,2015-12-11,0,Stoner Metal
