track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
47Z6mGwnwJeZkEGQf7AiUj,Diamond Reefs,2gXTKvTmHLUmYTY8vM1Iwb,the Corals,08OHtwXlLwp8GG7Z2XgcX0,The Complete Recordings,2021-01-04,0,Stoner Rock
4VTdMkY0NROxNbbXXrwSIw,Adrenochrome,0tcIpHxchirBF4YIXbo7fb,Água Pesada,3nMz154s3yuDOGRbmFyptU,999,2008-01-18,0,Stoner Rock
0Xx7ZaNDL5Xq0IaDOGgWeY,Uninvited Roomer,7FviJmobOFWFWxuJM71b62,Intra,0tlsgphWztIIgGR4SBvOX2,Uninvited Roomer,2018-09-14,0,Stoner Rock
2eUnsUWFVuj8Na1NB40tdp,Começo do Fim / Desande,2xC3TrGi1juW7JGcPlvykX,The Galo Power,10XaGS2PcYjltk0bPbaP9U,Bote,2018-04-23,0,Stoner Rock
0aB7s0WX2IgTQuUlInVKjU,(Intro) Lazarus Taxon,3BnUo9CzTmWe9bOZ05NYVZ,The Haunting Green,1Dr1Syr3KlRV7Yc9RtgCI2,Natural Extinctions,2019-03-05,0,Stoner Rock
1ndhTrdJpUicbjseAjkYhX,The Vigil,4IiMp6X5PjuGbZwFZ4uyrW,Longhouse,3e9ZSDK0R0KhKSTxnn1X7I,II: Vanishing,2017-04-14,0,Stoner Rock
5K1oDcS4o3ABQq3dmUylEy,Gunpowder,02buBbQpe0wbARi8rhHqIm,Girlie Hell,1BQJL4otBNukUJ6QyzO63R,Hit and Run,2014,0,Stoner Rock
3UtHtW609vUsflV7czcfiA,Nocturnal,0UYiLINX06eG7MrGfhOdJi,Eyes on the Machine,5lg4MQb4sFviUnykn4RRU7,Eyes on the Machine,2018-06-09,0,Stoner Rock
2cIBXDbT5G4Vi1FtyBdNuB,Guapo/Selfie King - Dubstep Bilingual Mix,4qifqoJrUvrRmswCn43oel,Marte,646kuOtIPzwJBmhUe3akpG,Guapo/Selfie King,2014,0,Stoner Rock
541XnLFhfmvghdRuWgVwjX,Blåa Toner,4u2FEVv8H4ElR9kHQcIoVz,Abramis Brama,1HCAaq44Pi7g3fh6Nw5qla,Blåa Toner,2014-05-02,0,Stoner Rock
5GSYseRF1tfllBsBuGOKuq,Simmer Down,20hjSWZHeq66aZZeKn8KYd,Black Drawing Chalks,7ADRrzmnr8RBPtSgX3AZYD,Live In Goiânia,2010,0,Stoner Rock
1fsTBA9J3CLKzjBMDJCDNO,Mansion Blues - Remastered,5Xhrtsxlje2eYtv13rNAOc,AKSITERROR,4Z3p7Z7P9MsfoLoXt6RsC6,Aksiterror (Remastered),2019-02-04,0,Stoner Rock
1HCxWb8x2w9Zup5kMzBwHk,A Crazy Player For A Drunk Guitar,2xC3TrGi1juW7JGcPlvykX,The Galo Power,3yjo3btIEzOGTT8LmDflNO,Ancient Rise,2011-10-07,0,Stoner Rock
0PrYA2XHEPpRlAvNRGktnv,Thrust,0UYiLINX06eG7MrGfhOdJi,Eyes on the Machine,5lg4MQb4sFviUnykn4RRU7,Eyes on the Machine,2018-06-09,0,Stoner Rock
2nxOx6NbWxytEBCd9IrbYY,Mama,7zvZgnC7JNJECPT1Bq2kbU,Trivoltz,7MraDz4jB5Panigu7f9aAR,"Time, Big Sun, Long Road",2014-11-20,0,Stoner Rock
6gwpqR0xEgvYYTmJPFVlqo,Mental Kingdom (Live),4YumqLcvnU9DW31AkzaviJ,The Obsessed,5khAZRYf4aRaq7oZQ5SHdP,Live At Big Dipper,2020-08-21,0,Stoner Rock
6rTqmm24AYGTxMaLsHgtzX,Multiplayer Love,4Pu9Pgbr2hnTMIi83yvvd1,John Filme,0iHUoCdrNhqSaBwQ2f8tEI,Jhon Film,2020-08-06,0,Stoner Rock
4FxXUlYJdGNA8pDoHnKW8a,Returning,5xGVfqAjqAcku2xTWZw5z6,Oak,0y28AgcR8hzI94GxBudWrw,Oak III,2018-05-08,0,Stoner Rock
0h270ibDznMlibOXHSddCU,Burning Colours - Instrumental,3JAMJTMY1uAj214aeruzmL,Aakhagen,5zUwztLjQ3wHIIBGehYIUo,Burning Colours,2019-12-08,0,Stoner Rock
4lHYjZz8uxWg2MWg7k5gr9,La Tentación,4qifqoJrUvrRmswCn43oel,Marte,3Gjqc8pliAcCdDbdkMEKbz,Amores,2019-05-31,0,Stoner Rock
4qbF5yYX0wNukT6MNBjHKL,The Lisergic Show,5TFyFJfKhFnhmIETcZ3Is9,Desert Wizards,10ZkNOrpryiw5wpMrPUVgF,Hard Rock Explosion,2011-04-18,0,Stoner Rock
