track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
2pf76HNPY7iOcCrMYIgehj,Purple Haze,66RF1JqKQgQCz7kFNqHgmY,Winterlong,6uz7MaxF8noUIGGa2lFWWB,The Spirit Lives On - the Music of Jimi Hendrix Revisited vol II,2004-01-01,0,Swedish Metal
2ExUBKq1y2BRtXtNGt8pc3,Theme de Occulta,1lgr1q3Xlc2aQXlEbSASbQ,The Funeral Orchestra,7vfndcYK0Fu9KE5tfzkCyz,Apocalyptic Plague Ritual Mmxx,2020-03-31,0,Swedish Metal
57F9SNojv4J0hrqVY5L6dT,Rise Up,1GCYYYRCA5tRj936E2LwqA,Locomotive Breath,4gXq75NKBT4voymCukPZVk,Heavy Machinery,2002-02-01,0,Swedish Metal
4e1hsVoGRD7bLWRRfvkUpq,Mother - Live,0B1HnClGYkqAflF0jaqItZ,Rise And Shine,0c4bco2Of6sH80tpXtMrJz,25-Live at Kapsylen,2022-01-04,0,Swedish Metal
2XFJ7Cjj37KQYjOkicyWGK,Gravebreaker,1xbnr7Sv4BczmaanL3lFrz,GRAVEBREAKER,3QXIKtbF6U2wN23X492CLG,Sacrifice,2016-12-16,0,Swedish Metal
0C9ZiL7S4yrCe9wL39Do9c,Serenity,0TCNBN2pxonE2GtJMpMivu,Pyramido,3g6D5TwmlXc2B1Qidu9ZK4,Artister mot speciesism vol 2(Stoppa Våldet),2014-10-31,0,Swedish Metal
5nbDTEuhfHL4FIVLBhibnc,Sleepwalking - Acoustic Version,0Uj2hge2fxypJ7f4ik6lpr,Blindside,3eV4hACtQuIp3xLpesqA4m,Alternative & Indie Chillout,2021-01-29,0,Swedish Metal
7c3v1xXL6EQcjkXKzLGuRP,Hypnotical Kiss,4TDyeLBAVIwiQdlDP4XZ6h,Kaptain Sun,7gV6WgwmYVVpLjRc1kDV9W,Trip to Vortex,2000,0,Swedish Metal
5a01RTHFmgXkVDaQPY5roP,Kings of Caleva,5QTEjBTtJSpzGWvgyui0Y1,Descendant,31QbCr6aXFZxmREsSvATRi,Imperio Mundi,2016-05-31,0,Swedish Metal
5c2pM3XQwpRV5RI6TmkRgt,Grave Our Souls,0B1HnClGYkqAflF0jaqItZ,Rise And Shine,4N96IK4hnsxKuPrEHE4XHN,In the Shadow,2017-04-30,0,Swedish Metal
5rvkWCUKY9gIbS6MMAT8Bj,Impamiis Graa,18tsFtXPr2fhzfceBMtxZ4,Insision,2Ty5VZGlRuwn4Ex6tZOwll,"Supreme Brutal Legions, Volume One",2009-12-15,0,Swedish Metal
3LTBsKTye0fVD28BkENakE,Garden of Stone,5SWGq3iSMZyab6vqj9mNz8,Denied,0tfbMLi0iCG8osuodAydab,Judas Kiss Ep,2012-11-16,0,Swedish Metal
14GsK5c9nwOqLL9B2fWaGh,Childhood in the Shadow of the Bomb - Live,0B1HnClGYkqAflF0jaqItZ,Rise And Shine,0c4bco2Of6sH80tpXtMrJz,25-Live at Kapsylen,2022-01-04,0,Swedish Metal
1aIucdbx2xIX9anLpenQmL,Other Side of Nothing,6HLXSr5wseqj98lQJK9hN7,Defueld,3yknyadd5R98MmF5C47Ij8,Rorschach,2013-04-09,0,Swedish Metal
47rnmZr9vQhFDcWYa7wsKC,Voodoo Sunlight Rising,58by4xm7dSQRgy0ZycZDJM,Heavy Load,29fqo0fUJ6auZItqI14jbc,Love Revolution,2002-01-01,0,Swedish Metal
75d5kqyYia5MLMRYeAz78J,Intro: The Funeral Storm of Yandankk,3cYqTBLYKYoIlpYFKoyYHi,Sorghegard,7eTV9Lkh0kztpQwFmTM0Nl,Holocaust of the Holy,2014-06-06,0,Swedish Metal
75i4TTNwnAbFicQggXgr7J,"Aadham, You Will Not Stand Alone",6L8nensXtolAGjr2brVFwW,Master Massive,6ZlvC45HjrNV7HvgY2gnwF,The Pendulum,2015-05-29,0,Swedish Metal
2SiodXMb2PqEkkxSlRP471,Something Has Arrived,5NiGzteFr6N4yfGV2nvTsf,Diabolical Masquerade,3oUJbus7GRRjEDN3AUJ5iw,Death's Design,2001,0,Swedish Metal
76dpDEAwOpeHpQiZg00um1,Divine Dragon,1nL3VcaS5uu0Bkt4wYefSN,Grief Of Emerald,7gO9So1C6z9Zq9KnvzK4Af,The Devils Deep,2011,0,Swedish Metal
