track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
2SiodXMb2PqEkkxSlRP471,Something Has Arrived,5NiGzteFr6N4yfGV2nvTsf,Diabolical Masquerade,3oUJbus7GRRjEDN3AUJ5iw,Death's Design,2001,0,Symphonic Black Metal
7GgH7ftk8rF4numopM22vZ,Viscious Woman,0bwH61VmoQzYefX7t5kwQJ,Goathemy,3VmxEFHawXk85Sl8ogBvuP,Torn,2009-08-15,0,Symphonic Black Metal
7nAvIqvcJjFIMvE9NslIrC,To Destory the Veil of Time,1ugwuRkRIbt0qDY0hDJnFO,Astral Winter,16Hh31njtOWeOCd2NMTLpo,Perdition,2013,0,Symphonic Black Metal
74Mkx8Ldtc2euXrFOJQHS6,Cruciferous Lunacy,2MeQlkxKDFeQ7uIaS8Esc1,Twilight Ophera,3p9FNRLyR2nq4xGHmd5JIK,The End Of Halcyon Age,2005-04-05,0,Symphonic Black Metal
24JJqcbzJUU9JI9cMDsRHN,Eosphoros,2izfblpKDteA9vtJouHphB,Devilish Impressions,0sUYoaNRjbePUlRXX7kb8n,Eosphoros,2017-09-05,0,Symphonic Black Metal
3ormpUiAYTOAeLnih74UfD,Information,5NiGzteFr6N4yfGV2nvTsf,Diabolical Masquerade,3oUJbus7GRRjEDN3AUJ5iw,Death's Design,2001,0,Symphonic Black Metal
07nX3bRKVhhHqjwZoGyrK1,Valaria Imperium,2sMGkIRocvl3DATY8jVJqn,Into Infernus,42jxTOth3cJzKHITK7wbv7,VII (Orcestral Edition),2016-04-21,0,Symphonic Black Metal
45c7CCDnHw2MxAHPf2H3L5,A Hurricane Of Rotten Air,5NiGzteFr6N4yfGV2nvTsf,Diabolical Masquerade,3oUJbus7GRRjEDN3AUJ5iw,Death's Design,2001,0,Symphonic Black Metal
1moGhCFUMkJUJ6C4P5u8qv,Bleed,4vFwcBV1oj3RZtAZF1yybp,Dark Ring,1Qu4WO0oNTZ73yQjweGR2V,Reborn from the Inferno,2015-06-30,0,Symphonic Black Metal
1EM1yN3GDpCxXxMpCzxOxe,Void of Crown,0bwH61VmoQzYefX7t5kwQJ,Goathemy,7awzEe99NiAHZLb69MlFCq,Torn,2008-11-26,0,Symphonic Black Metal
3KN6RwVSCRqfXI5e1sGMJO,With Panic In The Heart,5NiGzteFr6N4yfGV2nvTsf,Diabolical Masquerade,3oUJbus7GRRjEDN3AUJ5iw,Death's Design,2001,0,Symphonic Black Metal
0cFkY59zIjY83o6Sa35y18,Vicious Woman,0bwH61VmoQzYefX7t5kwQJ,Goathemy,7awzEe99NiAHZLb69MlFCq,Torn,2008-11-26,0,Symphonic Black Metal
5YApjONDz9gOmzhvXfipzG,Bravery 2000,1xKWwvtQAOXdCNsLz0Hso0,Source Of Tide,3kwdnknMkN9QKp5WrI5iFl,Blueprints,2002-02-19,0,Symphonic Black Metal
5fO1dGigYgtBclbv41yyS5,Perceive The Revelation,1R5a1oBn8chZQ6m1AKq3ZG,Obsidian Chamber,5IzOYNIzpE8siwXEeWSzWC,Der Gesang der Fliegen,2010-11-15,0,Symphonic Black Metal
0xpYLFnNat91qqm25g4sCT,Lords Of Blood,1cvQkJNzEVLddnXZgw8j6m,Voices of Decay,1GXXa8SUylaKMWnJT7swAi,Nocturnal Domain,2009-01-09,0,Symphonic Black Metal
51BMKj6N4ouRkrGdeas6bL,Prologue,1ugwuRkRIbt0qDY0hDJnFO,Astral Winter,6rwrMcoXekMbgTXhZa5ZNY,Winter Enthroned,2011-09-27,0,Symphonic Black Metal
4sciDju6w3zrzjomCh0vi5,Exit Wound 187,5yzIaQ4T5GamSW3toJSdKn,Amortis,3ZY8HBXLC4uJvhqVskilHE,A Gift of Tongues,2016-02-12,0,Symphonic Black Metal
1FD0w93Y9BmuWdbtV1GgOX,The Blind Almighty,0bwH61VmoQzYefX7t5kwQJ,Goathemy,7awzEe99NiAHZLb69MlFCq,Torn,2008-11-26,0,Symphonic Black Metal
7pOoXmp8ZXUbtNgPkdDX0v,Leperthrone,2MeQlkxKDFeQ7uIaS8Esc1,Twilight Ophera,62RdKYh4qZimcf9P5KBzHz,End of halcyon age,2005-01-01,0,Symphonic Black Metal
5RQvEZcZludY10n87hTCIa,Perseverance - Instrumental Version,03S8FySjTXHvIwHKkNgqs1,Requiem Aeternam,3IY7fd7ZdT9wY7quVxKqK0,Emergent,2013-09-13,0,Symphonic Black Metal
5CvKadSpYs1S3fErFffDmz,To The End,7aRalmjIeTRp1PbnD9XlC2,ShadowCraft,7v4m3oZqXFmnx6Uww98DRS,ShadowCraft,2009-11-19,0,Symphonic Black Metal
7ALoMnPiR752nssyZ6WioZ,Fleischherrens Tochter,1R5a1oBn8chZQ6m1AKq3ZG,Obsidian Chamber,5IzOYNIzpE8siwXEeWSzWC,Der Gesang der Fliegen,2010-11-15,0,Symphonic Black Metal
4ocNsIaFzxjkLsugABYoPi,Erlkönig,1R5a1oBn8chZQ6m1AKq3ZG,Obsidian Chamber,0UgKwXYJOeZae3n2kdFvYX,Der Uhrwerkmann,2013-10-19,0,Symphonic Black Metal
1t1szGJKpyGPRd4oPEA3HQ,Daughter of Hecate,6gKWn5w9IgGSnlpPctmDEA,NightMyHeaven,1adAgsm7IZ1HNvZCYv6eoO,Across The Dark Side,2016-04-15,0,Symphonic Black Metal
7JWHPiRMbAjYd3UunwaglJ,Intro,2tAAi6F6JSZvkcJLhBivTx,Vesperian Sorrow,37byLPpLtThKxcjIdjkCDq,Regenesis Creation,2019-12-17,0,Symphonic Black Metal
