track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
0S5Wt8QwNqAkeXdHR3mcID,Revival,6w33pH9yoNlM3xpudZYTt4,Ideas,789N2kKpTDZKWxKg3X51l4,Revival,2006-05-25,0,Symphonic Metal
0xRcWw0IPuqYh1jwjdT9hF,Ruins of the Past,4PT5Yr7UUgPlYzrxeyAO0O,Ruins of the Past,2qjquhBPRiRhmmd41ZMmxs,Ruins of the Past,2017-10-01,0,Symphonic Metal
0Sil9ZMYfCfuOko5gNHjMS,The Poet (Twilight of a Tale),6w33pH9yoNlM3xpudZYTt4,Ideas,6Z4ZGffQXWS8hV53aIr1J4,Oneness,2017-07-05,0,Symphonic Metal
7F1I1nnoM0f36mDwWlrlpX,Cassandra,6r9T9XP90gEHC7nhEV97lR,Asphodelia,5PyEaYGcjh8JI8NAaCAQEP,Welcome Apocalypse,2018-05-23,0,Symphonic Metal
5nK4M55hwjXzxkadF0rOEM,Voices From Beyond,38lLH7C1t4I0HhIlzvRasM,Bernatchez,61fDqOUCNEJjQEPBgKaFNd,Dark Fiction,2023-12-18,0,Symphonic Metal
48cqcjCZyU6wmgkR7yn0tl,Smej se,0tG9NynsGIb7SZIREhLwj1,Noctiferia,3GzMumeyj6EPWGjNhTplfW,"Naredte revolucijo, za Kuzle gre",2020-12-04,0,Symphonic Metal
5DSpx1Nv8MLg6ePosmg3os,Psalm 133,74QFaaKwhgzxwtrFbqj9WV,Enzo and the Glory Ensemble,2hHvWKm8VVRHdaDAlxB4SP,In the Name of the Son,2017-09-29,0,Symphonic Metal
1XhOeETmuDIsY5vkHDXYlx,Ghostly Waltz,38lLH7C1t4I0HhIlzvRasM,Bernatchez,61fDqOUCNEJjQEPBgKaFNd,Dark Fiction,2023-12-18,0,Symphonic Metal
6R4wRDcphFdy9me78KIXwl,On the Cross,004Pzjt56gKELItvsiOUwf,Sareptah,5HsGA18liRx9aZeKKt1pLc,Acoustic,2019-10-01,0,Symphonic Metal
7pEgmRkPgdMN0Dnxdh5yUX,Dark Filthy Me,1R5a1oBn8chZQ6m1AKq3ZG,Obsidian Chamber,5IzOYNIzpE8siwXEeWSzWC,Der Gesang der Fliegen,2010-11-15,0,Symphonic Metal
3BPbIw0iwupwy6HmgN5Psp,Secret War,6r9T9XP90gEHC7nhEV97lR,Asphodelia,5PyEaYGcjh8JI8NAaCAQEP,Welcome Apocalypse,2018-05-23,0,Symphonic Metal
2SiodXMb2PqEkkxSlRP471,Something Has Arrived,5NiGzteFr6N4yfGV2nvTsf,Diabolical Masquerade,3oUJbus7GRRjEDN3AUJ5iw,Death's Design,2001,0,Symphonic Metal
5fO1dGigYgtBclbv41yyS5,Perceive The Revelation,1R5a1oBn8chZQ6m1AKq3ZG,Obsidian Chamber,5IzOYNIzpE8siwXEeWSzWC,Der Gesang der Fliegen,2010-11-15,0,Symphonic Metal
1wz0G7eMuXhF7nzlv3R6dY,Pandemonium,3nAGU5H8hpR3RF04D9n7It,Anima Sementis,6QwmIFAXHmxdpoG0fx8KEt,Sermons Of Lies,2008-11-14,0,Symphonic Metal
2TQMUQPkkcXo1MoHJjFNcZ,Succubus - Remaster 2023,6W6yM8NH6UPvCqvDdXjxr2,Jumpscare,475KkSDrwJiVDsttimWL0c,Three Marks of Dreams (Remaster 2023),2016-09-29,0,Symphonic Metal
3Yc4Ta4V5nj1lHHga2kILE,Örökké,6w33pH9yoNlM3xpudZYTt4,Ideas,1fJ0VC7FeAhhzZS7nnSTZm,Őrizd a szíved,2011-06-06,0,Symphonic Metal
6RA5P7FztFy3w61CxgIGut,Marian,38lLH7C1t4I0HhIlzvRasM,Bernatchez,61fDqOUCNEJjQEPBgKaFNd,Dark Fiction,2023-12-18,0,Symphonic Metal
473ZFEp1qrPxyLOA4hssCV,A Death Stalking Addiction,2sMGkIRocvl3DATY8jVJqn,Into Infernus,050bdEov5opE1WjpldttnX,The End of Eden (Orchestral Edition),2016-04-21,0,Symphonic Metal
6HXYNJ9R6fxaJ1hJGxdDqk,Hide your heart,6w33pH9yoNlM3xpudZYTt4,Ideas,1iT75JF0cVelnIlKxBxnsK,Hide your heart,2011-06-06,0,Symphonic Metal
1jRcGyJ2mlvbDzUiyVAL8q,Wreath,0W8Mqh61lbcUKKMpJdSGK5,Old Memories,0ZCMPqfouN8N7z0Ql682dL,Prelude To Oblivion,2006-01-01,0,Symphonic Metal
7pOoXmp8ZXUbtNgPkdDX0v,Leperthrone,2MeQlkxKDFeQ7uIaS8Esc1,Twilight Ophera,62RdKYh4qZimcf9P5KBzHz,End of halcyon age,2005-01-01,0,Symphonic Metal
3fgeKcg1n8xV8UIInlcgma,The Word Was Made Flesh Turned Into Chaos Again,2izfblpKDteA9vtJouHphB,Devilish Impressions,2EpHprDKqidXG7v4kQ8cE2,Diabolicanos - Act III: Armageddon,2008-01-15,0,Symphonic Metal
6j7BUi6QCugMxwEjpSiOKj,Dystopian Dreams,38lLH7C1t4I0HhIlzvRasM,Bernatchez,61fDqOUCNEJjQEPBgKaFNd,Dark Fiction,2023-12-18,0,Symphonic Metal
7swiT5LUfNAyG89nmxB8zR,Betwee-World - In The Mirror Version,38lLH7C1t4I0HhIlzvRasM,Bernatchez,2wRKZrEI22icVohfDOYbEW,Leftovers,2023-10-11,0,Symphonic Metal
4P3nj2MBShGvAmohi13HI7,Őrizd a szíved,6w33pH9yoNlM3xpudZYTt4,Ideas,1fJ0VC7FeAhhzZS7nnSTZm,Őrizd a szíved,2011-06-06,0,Symphonic Metal
0NgWNbzaaOmbcIa11Wt7VJ,Könnyes az imád,6w33pH9yoNlM3xpudZYTt4,Ideas,1fJ0VC7FeAhhzZS7nnSTZm,Őrizd a szíved,2011-06-06,0,Symphonic Metal
58QQLMco376985msAeiqz5,Riders of the Apocalypse,6gKWn5w9IgGSnlpPctmDEA,NightMyHeaven,1adAgsm7IZ1HNvZCYv6eoO,Across The Dark Side,2016-04-15,0,Symphonic Metal
4TenWkEfOS57znNqiMPgKp,The Answer,004Pzjt56gKELItvsiOUwf,Sareptah,5HsGA18liRx9aZeKKt1pLc,Acoustic,2019-10-01,0,Symphonic Metal
1jtUaBMCj5DCteWVu6zLMY,Hívj engem,6w33pH9yoNlM3xpudZYTt4,Ideas,2Kmxmwj6p7NYuXKHEt0ic7,Egység,2017-07-05,0,Symphonic Metal
1EM1yN3GDpCxXxMpCzxOxe,Void of Crown,0bwH61VmoQzYefX7t5kwQJ,Goathemy,7awzEe99NiAHZLb69MlFCq,Torn,2008-11-26,0,Symphonic Metal
3iQPJliHnWajSRDMs5Nih9,Senseless,5p4gGNjjzlWt6Of2OTMylC,Where Angels Fall,4xpmrYWCmbFuYIZqDpv0pp,Senseless,2013-12-16,0,Symphonic Metal
4YDf49DrV3QbNGtsrZiMoX,Don't Stop Believin',2mKiBiT7SkTNNgWqaZynfw,Northern Kings,5VD4SUg00mZWgQEC7gzcFP,Global Rock Fusion,2024-04-30,0,Symphonic Metal
206znrspSxfquDPtSLiBew,In my dreams,6w33pH9yoNlM3xpudZYTt4,Ideas,1iT75JF0cVelnIlKxBxnsK,Hide your heart,2011-06-06,0,Symphonic Metal
30SVbnpqTzScRQXK8bXXb1,Der Hexer,1R5a1oBn8chZQ6m1AKq3ZG,Obsidian Chamber,5IzOYNIzpE8siwXEeWSzWC,Der Gesang der Fliegen,2010-11-15,0,Symphonic Metal
14scVxCNS4vGCtpAagLlE7,... And Some Thoughts,6w33pH9yoNlM3xpudZYTt4,Ideas,01t7jD67DjIScUHD0V6qxD,New Dreams' Cradle,2003-05-01,0,Symphonic Metal
