track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
56XMAhbPDctRDO4efLC7yU,Stench of Burning Heavens,3eGn4wrip64xxG8SnBcAzA,Relics of Humanity,3tCMYo5plnoBSIMAYJD5Bc,Stench of Burning Heavens,2017-12-08,0,Technical Brutal Death Metal
52cjS9mG5OQpaJ99XdPphj,Infested By His Burden,0Q3omoaPzojT6TXeJyfuVZ,Offending,2SLwqFxX0GpDf2JjXSgJjX,Age of Perversion,2012-06-06,0,Technical Brutal Death Metal
376468WzEsvYV0aYLJhVbS,Sentence,0Q3omoaPzojT6TXeJyfuVZ,Offending,4ujdr6txDqof4q4JdTNtwy,Human Concept,2010-10-15,0,Technical Brutal Death Metal
2tleYYu6BMCKaTBXsFBTir,With a Wall,7Iy3W9Pe1ivZzIM3jZvW59,Augury,3fP3yQY8IXdV7MISvjloGt,"Metal Central TV Vol, 20",2019-10-18,0,Technical Brutal Death Metal
2u3Zeu0ngTmXym2ms9xFHE,The Quest for Absurdity - Live,2eIvR1DzWm5GAufWC2rcGr,Asphyx,1MylSXpmAsD4glIeyCum2I,The Rack (Reissue),1991,0,Technical Brutal Death Metal
2ElE3MThIFnfEyUrzlsjO9,Presage of Apocalypse,6aBkU8pPapDDcKPP52fKq8,Desecrated Sphere,51VoezcVV5sHFrZ1NkMJNF,The Unmasking Reality,2011-05-24,0,Technical Brutal Death Metal
4Bz2k1y08DwPXzFe3lFwht,Unpleasant Mutation,77msFZWTIzDlOLDjMsYxE7,Phobiatic,2dKzLzDbHKjg0mbIH05xP1,Spreading the Plague,2011-04-15,0,Technical Brutal Death Metal
6L9aClCP8JsWe11ku4ZLfq,On The Reigning Of Yama Court,3g3534ajJI0oMNKuNNFpf4,Shturm,6cp2RTUnxUqNw7JXJame8U,Kalahia,2009-04-10,0,Technical Brutal Death Metal
1wPpy3KMdrco8x5JPRmuVQ,Abstracted Mind,4IvsgPa40NNK3SJ6vXazu0,Baring Teeth,5jiQ88VTpXTye5kUJT3wLY,Abstracted Mind,2018-10-10,0,Technical Brutal Death Metal
5MquLWP5jLDRDqZK9SHhxM,Prerequisite of Consumnation,2uqABIyqy5rka4gggoEgni,Neurolepsy,2MdqD5XV3xRU02FuCZ4fSw,Disintegrated Cognizance,2009-12-15,0,Technical Brutal Death Metal
6Ky1APJMlB4UspQMFGmXIa,Devil's Covenant,0Q3omoaPzojT6TXeJyfuVZ,Offending,4ujdr6txDqof4q4JdTNtwy,Human Concept,2010-10-15,0,Technical Brutal Death Metal
4EQ7J8ucuYbvO7JJe76I8e,Mental Corrosion,0Q3omoaPzojT6TXeJyfuVZ,Offending,4ujdr6txDqof4q4JdTNtwy,Human Concept,2010-10-15,0,Technical Brutal Death Metal
233glYuq0OkxNjXOYhZLvl,Spinal Extractions,6hR8mUd2yyHFazoCuweiIJ,Autopsy,0XQgv0BaqYOVNEzf2Y6TPv,Shitfun,1991,0,Technical Brutal Death Metal
2RqioGTddrQFKwNxJldJPL,Obliteration,0Q3omoaPzojT6TXeJyfuVZ,Offending,4ujdr6txDqof4q4JdTNtwy,Human Concept,2010-10-15,0,Technical Brutal Death Metal
