track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
11OeGCmRyKl0ddrZquT9sE,Degeneracy - Instrumental,1gFrDW9BjvCPWKKO2K44Ee,Slaves of the Prison,6ZM8DUXyD5MMJ1bdwL5ggr,Degeneracy,2021-04-01,0,Technical Death Metal
4QVxcTMLl8bB9IBosFjTYp,Jam Beer 96 Morbid Reality - Live,43bwODZEMdJ3e2hjCprshw,Toxodeth,6b2QM2aQF7ICI2ij5THJVV,Morbidest Reality Live,2021-12-19,0,Technical Death Metal
6mfV3GVbY4WJB9TkcWpIT9,Intro,2uqABIyqy5rka4gggoEgni,Neurolepsy,2MdqD5XV3xRU02FuCZ4fSw,Disintegrated Cognizance,2009-12-15,0,Technical Death Metal
7jtfCOOXpolouvEmGQuAC6,As Enchantments Fail,4PB1uCg9f8xpUwLHZPGRqQ,NYN,3JRpQa0oLCpz4QXrBimrjp,Equivalence (Remastered),2020-01-19,0,Technical Death Metal
0XHSgBZ9WIRLbLMvyKNweR,Self Transform from Decayed Flesh,0JGSdaFEGvNiZUbgtU5bjy,Asphyxiate,6j5ZDfAG2KKmldo42scz8g,Self Transform from Decayed Flesh,2013-11-13,0,Technical Death Metal
4xgJYiKSHUqxvNNUiKiLnE,Desapia,4qxprzNCaDrsvtV510NMav,Cyclic Enigma,5rbGatVGkAlqOHnfwXyGZ9,The Entropy Dimension,2014-10-17,0,Technical Death Metal
6I3GvJxI5G0omht0RBfZQM,Triumph In Blasphemy (Interlude),66AXpP038gUcoKVQoO98Fz,Incantation,4swdsInDQFtV0FDYttru56,The Forsaken Mourning of Angelic Anguish,1997-10-14,0,Technical Death Metal
2EHfzlSvK6wGuieF58h7ww,The Spectral Path,63IEFaTELseyFxaVyn2US2,Bleak Flesh,5NEvpgnXJOnwF7i9nTXL8D,Overcoming Reality,2017-04-10,0,Technical Death Metal
4Hmc7rm8HA3j4OPgl7TXQu,Burble,4QGOIwBOrKa9axQxMz3yav,Disgorge,2W5KpJTzodC1rtMabkB9W9,Cranial Impalement,2010-08-03,0,Technical Death Metal
6UmuVQKQokCrty96bv80yI,Cryosphere,63IEFaTELseyFxaVyn2US2,Bleak Flesh,7b7nyQ8C3JqzJBMv4fq5ut,The Gateway,2013-11-09,0,Technical Death Metal
6OOUzSclZc6O53btx6mQaC,Harvesting,03hiuUAUYqtDIyw92uzqRM,Flourishing,5qpbIA8avazh7jpUQtfQQn,A Momentary Sense of the Immediate World,2010-03-30,0,Technical Death Metal
2dwDkFNq3OPDzNk7qHngf6,Traglodon - Demo,19iL5Yx1EoJKIFY6almj8B,Existential Animals,6XkSpvZpa2M64H6hmnPTkz,Anthology (2013-2015),2024-05-17,0,Technical Death Metal
3kbQXqWjqYbkgTwHtB1cv2,Decomposing Organs,0JGSdaFEGvNiZUbgtU5bjy,Asphyxiate,6j5ZDfAG2KKmldo42scz8g,Self Transform from Decayed Flesh,2013-11-13,0,Technical Death Metal
2koS7SPAT0XmW1fzDAp8TY,Everybody Died,43bwODZEMdJ3e2hjCprshw,Toxodeth,02v1Noko7u86puAuZtF9kd,Demoniass Vol 1 Underground Version,2020-04-29,0,Technical Death Metal
6qWOSZfRKrXptOMZibYcnh,Introspective Hypernova,63IEFaTELseyFxaVyn2US2,Bleak Flesh,7b7nyQ8C3JqzJBMv4fq5ut,The Gateway,2013-11-09,0,Technical Death Metal
