track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
4UWCFyxZMAoaQGd3UtnAch,Mental Enemies,1HHOVz0gumeBpzhNfAZOA0,Flayed Alive,4BMOSbou34062E7YwwQTwJ,Eye To Eye,2021-08-21,0,Unblack Metal
7py4lGJRIsJWSvaFfMQhLx,Inner Termination,49lbLAWlo4c1y5LtzYBlsw,Eternal Mystery,5ybf5YbmVcnuXbomTofB6S,The Right Wing Conspiracy/ Eternal Mystery,2010-08-03,0,Unblack Metal
4ZogbX9xW1fyWzmZqlHY8i,In This Exchange of Demise,7CctrNVGXaNv8PxdbiDZdK,Hguols,1UMVfGiOghcfQqpLpztP0z,Celestial Powers Intervened To True Surpremacy,2010-09-15,0,Unblack Metal
1rFJPJPlPBnIbdW69lggKc,Dominio Total,2uFaP9YI67KlXUAsJ7KfDi,Endless Sacrifice,6fCOPXWEiajEL7c6TW1oOS,Dominio Total,2016-08-04,0,Unblack Metal
5ZJ3bY4Hva0AL1RFVluNuU,Entering Jerusalem (Intrumental),13iAC1yuFG4HmErF79j3cH,Last Battle,1hU9fAvCdiFF7QSCVjSMwr,From Creation to Salvation (Remastered),2020-06-05,0,Unblack Metal
2xr1kEbZQ5K3UGpboMfmHb,Destruição,06OrJ7d6QzfsaHsk4NAW8W,Skymetal,4a35dOv6X8SNgJ2cv8uxMg,Devastação da Morte,2022-10-19,0,Unblack Metal
0YuC5xmBSonNAlT6A1h9xJ,The Duty of All Mankind,4MJnc4awLQWMYAU02ba2CS,Irgalom,0aSWf9jdRSsws8Niu69cTN,Songs of Ascents / When the Strong Men Stoop,2019-01-25,0,Unblack Metal
2Rw55RmUyDolJR3LPjG2Uz,Death in the Abyss,4YYjrXH6gIMvcY7BawRqtj,Satan Destroyer,3h2ZD0oFW98hqgg1GfMJtl,The Whore of Babylon,2021-05-28,0,Unblack Metal
5NefJRE5EQAyoPFZwyYTVs,In Great Riches,4MJnc4awLQWMYAU02ba2CS,Irgalom,0ifJYAHjtXBBDq2gYEpLQC,"Meditate, Vol. 1",2019-06-14,0,Unblack Metal
7tyLrZKbiXqM9a45SA0ZWo,The Pain of God,5dTTNR3WjQMEvmkKCwzeZb,Opus Majestic,1MShuKgwcCVs62DrxGAb4e,The Pain of God,2004-05-09,0,Unblack Metal
3G46xW8Y5e0UGVIoArDF0a,A Linear Passage,1TfoHj4wkkwQIIkE48Rgy5,Kekal,6iDCmetVg16YkPXKBuDLm7,8,2010-12-13,0,Unblack Metal
4gtP60rrDa9QeUH6PP1NsC,&4u2,40ifQTWKPXKQYMh15RDe18,Megilloth,3JaTuSOWoAQx3X3WWHjrXr,It Was to Happen Once,2010-01-01,0,Unblack Metal
7mm3DkGrsQet2fTchkkAjY,Shuffling Biorhythms,1TfoHj4wkkwQIIkE48Rgy5,Kekal,5sGosoik0iPJcvXnqBPktX,Audible Minority,2008-12-25,0,Unblack Metal
27SsbGFbPrsc7sM5OSlncM,Selah,4MJnc4awLQWMYAU02ba2CS,Irgalom,0aSWf9jdRSsws8Niu69cTN,Songs of Ascents / When the Strong Men Stoop,2019-01-25,0,Unblack Metal
6x5GrddK02dyWEgUix44v6,Cheap Rationalization of Objectification,5vyyo892GTdEJ1rMMdtXtg,Flesh Incineration,0xZfAHi3URLhOmwkOimfrM,"Incinerating Ignorance, Vol. I",2019-05-17,0,Unblack Metal
7HES4sZc81h2vsY309pYwd,Cobarde,7ojxQVO9LYFXW3cD2JNCud,Black Leather,3n9KQLqFL7rWMO8psF8lqO,Sin Cuerdas,2015-07-12,0,Unblack Metal
4A5C1jyfDjO3nthxB6t8tn,Enthroned in Heaven,4MJnc4awLQWMYAU02ba2CS,Irgalom,0aSWf9jdRSsws8Niu69cTN,Songs of Ascents / When the Strong Men Stoop,2019-01-25,0,Unblack Metal
0wR4hKlwfWR9UzcfTFmROa,Celestial Powers Intervened,7CctrNVGXaNv8PxdbiDZdK,Hguols,1UMVfGiOghcfQqpLpztP0z,Celestial Powers Intervened To True Surpremacy,2010-09-15,0,Unblack Metal
5CgMtCe0XVOP0DfztZF0uu,Outro,13iAC1yuFG4HmErF79j3cH,Last Battle,1hU9fAvCdiFF7QSCVjSMwr,From Creation to Salvation (Remastered),2020-06-05,0,Unblack Metal
5CDT67KcmFw4hX6aQe6ae4,Rest in the Shadow,4MJnc4awLQWMYAU02ba2CS,Irgalom,48OJ3Z7y3bWzEBqRa74Kwk,Autumn Psalms,2018-12-10,0,Unblack Metal
6Y3llkQ2A20sLj71It9RXb,The Divine Judgement,10RodtSbMXymBYlLyhqgRQ,The Synics Awakening,6FeM1BWSd5va6LvLdt3Fxg,No Pity For A Coward,2015-03-02,0,Unblack Metal
05DgKjMvCYdGFbzPiQwSeA,Last Rites,4YYjrXH6gIMvcY7BawRqtj,Satan Destroyer,2PxILY1IufMIrkGydc7KES,Ov Damnation,2020-11-09,0,Unblack Metal
0sJQ2Gvp2n7eByacoZkl9J,Grave Digger,5EereCQ0SE7lDdgaBp89k2,Children of Wrath,6tFIoKfz3IBqYwoG95v0ja,No Flesh Spared,2017-09-22,0,Unblack Metal
5z0oPpD64JnutrogzLX2pR,In Freedom,4MJnc4awLQWMYAU02ba2CS,Irgalom,0ifJYAHjtXBBDq2gYEpLQC,"Meditate, Vol. 1",2019-06-14,0,Unblack Metal
74Ct5yAeRdRQFUYeAjFiiP,The Wrath of God and His Justification (Instrumental),13iAC1yuFG4HmErF79j3cH,Last Battle,1hU9fAvCdiFF7QSCVjSMwr,From Creation to Salvation (Remastered),2020-06-05,0,Unblack Metal
4f1JCkZMY2G8qrCXQADWL3,Corporate Bludgeoning,1HHOVz0gumeBpzhNfAZOA0,Flayed Alive,4BMOSbou34062E7YwwQTwJ,Eye To Eye,2021-08-21,0,Unblack Metal
1OwlHngyTwhRyQlvrMgKNY,And God Created Man (Instrumental),13iAC1yuFG4HmErF79j3cH,Last Battle,1hU9fAvCdiFF7QSCVjSMwr,From Creation to Salvation (Remastered),2020-06-05,0,Unblack Metal
