track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,genre_query
0XepYgTVe6IWGcI7UHFiNu,Raevenrealm,7L4EtJR03Pj2ECRXW7Z4U8,Thundra,7cDkQBYxlrgDl9mVaerrhu,Blood Of Your Soul,2000-01-01,0,Viking Metal
4jSWkE8oK7lCXpVdlNsouw,Heltekinn - Demo,2Rr7YQ5wTdepFBHM6arzdg,Fortíð,54OG9LIi1Ock3uasHVI7Qm,The Demo Sessions,2016-06-25,0,Viking Metal
5xdDy8ckbFcjCoTJURhhDn,Kelche von Gold,2xbOpaJ8n2zn5zcLtmdWPM,Surturs Lohe,2GBjMNR8wzxskz0bFSVo6s,Kelche von Gold,2021-09-03,0,Viking Metal
4eeUOginJk8vYvSbhjnnWH,Three Winters,7eJpz9NeO0yYVSo0u4n5wX,Bloodaxe,3wU9KmiCScJw6ooMzcXKw9,Gales of November,2022-11-01,0,Viking Metal
73TfhKCx1Ckvgkw4frPXsz,Vandring,4ChLecElnzV8dLh4OHPWgx,Voluspaa,4YgGwcxlSnSgWhpOHsqGu1,T.Å.E.M.E.N.,2017-03-26,0,Viking Metal
5aQ9e3xgoojV7IqD8vBR7b,Trollsbane,46WGeaZxgEtGxfXmF5At9I,Draugûl,6mVJJHZlkUA00TuwWnPuNZ,Winterspell,2017-01-03,0,Viking Metal
39LW8HHYF9bdrITjtujKRU,Cry of the Vittra,46WGeaZxgEtGxfXmF5At9I,Draugûl,5Axv1vHxdtDjdC2GvfCcHl,Chronicles Untold,2015-09-18,0,Viking Metal
4Jfz6QBx08nhHY8GrBwqV0,Land of Forgotten,3vhX93PFMOYhQ70SJcBi7w,Gjallarhorn,3Rz9CodqpR3ajpnk9gQKcS,Land of Forgotten,2007-05-31,0,Viking Metal
5zAB5GIA8nFk1wPgMgrP6l,Thirst of the Tyrant,7eJpz9NeO0yYVSo0u4n5wX,Bloodaxe,3wU9KmiCScJw6ooMzcXKw9,Gales of November,2022-11-01,0,Viking Metal
12bj43mXJrCqRzPypk5TEv,The Voice of Huldra,46WGeaZxgEtGxfXmF5At9I,Draugûl,5Axv1vHxdtDjdC2GvfCcHl,Chronicles Untold,2015-09-18,0,Viking Metal
0kHIo5WYT5iia8wFsmvU1R,Chronicle of Kings,16n5L20CqQHappB7tO1L7K,Fenris,5NGZhYY1IYHwvQagP3HOm7,Ordeal,2005-05-01,0,Viking Metal
6s96Zkno0HjvHJyL9P4myy,Hof - Demo,2Rr7YQ5wTdepFBHM6arzdg,Fortíð,54OG9LIi1Ock3uasHVI7Qm,The Demo Sessions,2016-06-25,0,Viking Metal
2nFXmSHVbYzzJWUDKe7Um0,Skol,1vrQbA2pHhg6HqBUlJfVMl,Wolves Of Hate,3C45FlJUj8HICHMkJ1fpbv,Battle Hymns And War Songs,2008-03-12,0,Viking Metal
3wvpndLMV84BWw9w5eW85J,Wotan's Blood,1vrQbA2pHhg6HqBUlJfVMl,Wolves Of Hate,4Ll5AlBhz5OD5gxwUt7Cwr,To Victory,2011-08-16,0,Viking Metal
2YJ1JfERKWzQEJb4xJFSWD,Carthago Delenda Est,0okB1HEJFLD98VkNzLtTBJ,Ancient Rites,5OOUvoEyBS5YlPFD4YNfhL,"Massacre Soundcheck, Vol. 5",2015-02-10,0,Viking Metal
1qLmLykF7A5XgoWpIHqmkF,Från sfärerna av Asgard,46WGeaZxgEtGxfXmF5At9I,Draugûl,28T1s2WUUk9I4GFFSGy23Q,Tales of Loot and Plunder,2014-03-18,0,Viking Metal
1w9DFPaqjzBkyronpr8TOK,Thus Wept the Sea Widow,7eJpz9NeO0yYVSo0u4n5wX,Bloodaxe,3wU9KmiCScJw6ooMzcXKw9,Gales of November,2022-11-01,0,Viking Metal
03BrOUxBsXIvjkB0KNqw1M,Vengeance for Faith Renounced,46WGeaZxgEtGxfXmF5At9I,Draugûl,28T1s2WUUk9I4GFFSGy23Q,Tales of Loot and Plunder,2014-03-18,0,Viking Metal
6jNCjJTUfgMQYwrOORtkeH,Over En Stygg og Hatfull Gård,4ChLecElnzV8dLh4OHPWgx,Voluspaa,4YgGwcxlSnSgWhpOHsqGu1,T.Å.E.M.E.N.,2017-03-26,0,Viking Metal
2tUEu3Zug862XfZa5nxh9A,Awakening the Forest Spirit,46WGeaZxgEtGxfXmF5At9I,Draugûl,5Axv1vHxdtDjdC2GvfCcHl,Chronicles Untold,2015-09-18,0,Viking Metal
3F7RG1mrC3jJqpMthfIYIL,Shieldwall,1vrQbA2pHhg6HqBUlJfVMl,Wolves Of Hate,4Ll5AlBhz5OD5gxwUt7Cwr,To Victory,2011-08-16,0,Viking Metal
4LFLzIiXTNDgb4tsys3GSo,Waves of Ægir,7eJpz9NeO0yYVSo0u4n5wX,Bloodaxe,3wU9KmiCScJw6ooMzcXKw9,Gales of November,2022-11-01,0,Viking Metal
0eqjDvzGDPXTPP7LohsTO4,Paths of the Dead,46WGeaZxgEtGxfXmF5At9I,Draugûl,2PLyFcI2ggwhZ5szldwcF4,The Voyager,2013-03-05,0,Viking Metal
0ZG1TdBe3pdaSttqcgEwD9,Triumph In Flames,1vrQbA2pHhg6HqBUlJfVMl,Wolves Of Hate,3C45FlJUj8HICHMkJ1fpbv,Battle Hymns And War Songs,2008-03-12,0,Viking Metal
2SObsr2I1AbKoPdlaJqpFs,Megín,2SxFYYeBIbHiipvtWUIvTF,Son of the Northstar,6F5h2OGmv5tYed2VLHDdQ4,Megín,2014-02-08,0,Viking Metal
2KlINmWwKsRuEwaztnrkQ2,Sails of My Father,7eJpz9NeO0yYVSo0u4n5wX,Bloodaxe,3wU9KmiCScJw6ooMzcXKw9,Gales of November,2022-11-01,0,Viking Metal
5hyriITulab29tMAN9ybGh,Ulfhednar,2SxFYYeBIbHiipvtWUIvTF,Son of the Northstar,6F5h2OGmv5tYed2VLHDdQ4,Megín,2014-02-08,0,Viking Metal
