main_genre,minor_prop,major_prop
Alternative Metal,0.3576923076923077,0.6423076923076924
Avantgarde Metal,0.559322033898305,0.4406779661016949
Black Metal,0.4068627450980392,0.5931372549019608
Christian Metal,0.3,0.7
Death Metal,0.37735849056603776,0.6226415094339622
Doom Metal,0.3333333333333333,0.6666666666666666
Folk Metal,0.5683453237410072,0.4316546762589928
Glam Metal,0.3706896551724138,0.6293103448275862
Gothic Metal,0.62,0.38
Grindcore,0.3333333333333333,0.6666666666666666
Hard Rock,0.34375,0.65625
Heavy Metal,0.48905109489051096,0.5109489051094891
Industrial Metal,0.4019607843137255,0.5980392156862745
Metalcore,0.44224422442244227,0.5577557755775577
Neoclassical Metal,0.4827586206896552,0.5172413793103449
Post-metal,0.3333333333333333,0.6666666666666666
Power Metal,0.6105263157894737,0.3894736842105263
Progressive Metal,0.512987012987013,0.487012987012987
Speed Metal,0.35,0.65
Symphonic Metal,0.5932203389830508,0.4067796610169492
Thrash Metal,0.3611111111111111,0.6388888888888888
