term,beta,p_value,std_err
Intercept,70.43556897026366,8.216210055371486e-105,3.0955051313188484
C(main_genre)[T.Avantgarde Metal],-18.707408208540716,1.1333609950406518e-20,1.9899638739367278
C(main_genre)[T.Black Metal],-17.22469193846575,3.771171049528907e-32,1.4400279104136513
C(main_genre)[T.Christian Metal],-27.895182421957887,1.2533577280654027e-26,2.583349336083426
C(main_genre)[T.Death Metal],-18.714161046979473,6.85105347353277e-52,1.2078600831001702
C(main_genre)[T.Doom Metal],-19.72150250771105,2.560760726316428e-34,1.5915339405423559
C(main_genre)[T.Folk Metal],-29.95630605939793,1.743674383923737e-87,1.454902987187352
C(main_genre)[T.Glam Metal],-5.76252545124207,0.00014150689463702097,1.51203662025433
C(main_genre)[T.Gothic Metal],-17.743777848081322,3.97862770182122e-27,1.6267355522939038
C(main_genre)[T.Grindcore],-23.43971060734398,2.1684752581105134e-30,2.0203284762443547
C(main_genre)[T.Hard Rock],9.60905711921484,6.220131593002216e-11,1.4635651536221628
C(main_genre)[T.Heavy Metal],-14.337220716069229,1.6180603277124628e-23,1.4208997973508397
C(main_genre)[T.Industrial Metal],-12.01254648903439,2.5287958704267422e-14,1.5675619689362665
C(main_genre)[T.Metalcore],-11.872559917647001,1.3528685411679382e-23,1.1745156121431928
C(main_genre)[T.Neoclassical Metal],-21.53426001145514,8.037237991369618e-16,2.657208927823644
C(main_genre)[T.Post-metal],-29.898804366690506,6.1695693766529265e-19,3.338160177938547
C(main_genre)[T.Power Metal],-7.775859120642444,1.7800392106374146e-06,1.6241311449774243
C(main_genre)[T.Progressive Metal],-11.533030507209695,1.7113457166681536e-16,1.3903956961828572
C(main_genre)[T.Speed Metal],-12.268424386641946,6.963362080520487e-05,3.0795211501633664
C(main_genre)[T.Symphonic Metal],-10.790115591512247,3.052087246398849e-08,1.9423923606306437
C(main_genre)[T.Thrash Metal],-5.867885033521922,2.7061702596222264e-06,1.2479061689343647
acousticness,-0.33104540680458205,0.8989166780931279,2.6057911972114325
danceability,3.1363673551768017,0.19297936952686312,2.4086108569617166
energy,-5.2670353777800205,0.0415858553578464,2.583609115360495
instrumentalness,-2.9463546645712206,0.0019632972032484256,0.9507951915216705
liveness,0.4745207459396581,0.7801760803209579,1.7000718928782177
loudness,1.1984854932199491,1.3080786840952867e-25,0.11337451393345185
speechiness,-20.51169795112947,0.00017880197629449525,5.466047476693901
tempo,-0.00753262224362161,0.41248592624276403,0.00918997510758899
valence,-0.6344968408769921,0.6917670445519108,1.6002377552395017
