main_genre,sub_genre,artist_name,track_name,album_name,spotify_track_id,popularity
Alternative Metal,Nu Metal,Korn,Freak On a Leash,Follow The Leader,6W21LNLz9Sw7sUSNWMSHRu,80
Alternative Metal,Nu Metal,Korn,Coming Undone,See You On the Other Side,3o7TMr6RmIusYH7Kkg7ujR,77
Alternative Metal,Nu Metal,Korn,Falling Away from Me,Issues,2F6FfZ4w8z3eJpSxPotVO5,76
Alternative Metal,Nu Metal,Korn,Blind,Korn,1pr9TZGOXeJUggIal1Wq3R,75
Alternative Metal,Nu Metal,Korn,Got the Life,Follow The Leader,6nJPHXRpKYv2yqtalEjKy5,74
Alternative Metal,Nu Metal,Korn,Y'all Want a Single,Take A Look In The Mirror,1AzMYJm6qTAullM3UKuPY9,70
Alternative Metal,Nu Metal,Korn,Twisted Transistor,See You On the Other Side,05NpeTQWnzXS1d8ZqL4YFZ,71
Alternative Metal,Nu Metal,Korn,Here To Stay,Untouchables,66LT15XEqCaWiMG44NGQRE,59
Alternative Metal,Nu Metal,Korn,Word Up!,Word Up! (The Remixes),1pHPpLVH2XEN0xYRoQs4wq,68
Alternative Metal,Nu Metal,Korn,Twist,Life Is Peachy,07xFWwKPOApMS56ildsV0G,67
