main_genre,sub_genre,artist_name,track_name,album_name,spotify_track_id,popularity
Alternative Metal,Alternative Metal,Faith No More,Epic,The Real Thing,4ReyTz0y3TGkX48wO3Llot,66
Alternative Metal,Alternative Metal,Faith No More,Easy,Angel Dust (Deluxe Edition),4Y3WqmBWmG23thvU9xEhMv,65
Alternative Metal,Alternative Metal,Faith No More,Midlife Crisis,Angel Dust (Deluxe Edition),3Ph7fws05DvPwpn5CQHTBy,61
Alternative Metal,Alternative Metal,Faith No More,Ashes to Ashes - 2016 Remaster,Album of the Year (2016 Remaster; Deluxe Edition),0tZ9qh1m1NGP6rzSf57PGO,56
Alternative Metal,Alternative Metal,Faith No More,We Care a Lot,Introduce Yourself,2z1uVu3OwTmPlfqt5TWk5k,55
Alternative Metal,Alternative Metal,Faith No More,Evidence - 2016 Remaster,"King for a Day, Fool for a Lifetime (2016 Remaster; Deluxe Edition)",5Z7o8zLaEBgpyOTZPp0jj9,53
Alternative Metal,Alternative Metal,Faith No More,Falling to Pieces,The Real Thing,20nb0Wl1yqoEERbUSILuG1,53
Alternative Metal,Alternative Metal,Faith No More,Last Cup of Sorrow - 2016 Remaster,Album of the Year (2016 Remaster; Deluxe Edition),0igpADygusN3CM5nkJfmis,51
Alternative Metal,Alternative Metal,Faith No More,The Gentle Art of Making Enemies,"King for a Day, Fool for a Lifetime",2s5eB1seiy3yZqYCdQucXj,48
Alternative Metal,Alternative Metal,Faith No More,From Out of Nowhere,The Real Thing,1UBqvQDlcfRL0BaknLvn1J,50
Alternative Metal,Alternative Metal,Helmet,Unsung,Meantime,0z25tUQgEI4cIyNZ1TgWig,60
Alternative Metal,Alternative Metal,Helmet,Milquetoast,Betty,6IsnrcSZvmmd5db8QpQb91,53
Alternative Metal,Alternative Metal,Helmet,Speechless,Betty,2GN8Femwt83EIwInIuQj33,53
Alternative Metal,Alternative Metal,Helmet,Wilma's Rainbow,Betty,3QKloANAAhqsgRXAuBioYv,49
Alternative Metal,Alternative Metal,Helmet,In The Meantime,Meantime,6mHgOGBDLM71YzKcwAyiXi,49
Alternative Metal,Alternative Metal,Helmet,Just Another Victim,Unsung: The Best Of Helmet 1991-1997,4RLIujooyQaBKKLXPB5LnQ,45
Alternative Metal,Alternative Metal,Helmet,Crashing Foreign Cars,Size Matters,5aAr5Y5wXiUMHVEtvaCXkt,47
Alternative Metal,Alternative Metal,Helmet,Biscuits For Smut,Betty,18hQBshq6PncOwt4LRCA05,44
Alternative Metal,Alternative Metal,Helmet,Like I Care,Aftertaste,1UOkTycAtWGz5rgQxo1E9M,43
Alternative Metal,Alternative Metal,Helmet,I Know,Betty,5YZc9o1Uk69v7fuO2R3cLG,42
Alternative Metal,Alternative Metal,TOOL,Forty Six & 2,Ænima,6AioOohg4bQZFA4jIYQQ2r,74
Alternative Metal,Alternative Metal,TOOL,Sober,Undertow,6DyywdbmTzlmXBzG9ym7Rt,72
Alternative Metal,Alternative Metal,TOOL,Schism,Lateralus,55mJleti2WfWEFNFcBduhc,72
Alternative Metal,Alternative Metal,TOOL,The Pot,"10,000 Days",1lATXTBJDHwawvT1UfxWu3,71
Alternative Metal,Alternative Metal,TOOL,Stinkfist,Ænima,0pwObEOHolQZSldJ2q1wpy,70
Alternative Metal,Alternative Metal,TOOL,Parabola,Lateralus,1vxu8vMNshg5J8z3oA7QJZ,67
Alternative Metal,Alternative Metal,TOOL,Pneuma,Fear Inoculum,03sEzk1VyrUZSgyhoQR0LZ,67
Alternative Metal,Alternative Metal,TOOL,Vicarious,"10,000 Days",65ShmiE5aLBdcIGr7tHX35,66
Alternative Metal,Alternative Metal,TOOL,Lateralus,Lateralus,7tvuLLroI0n6uYBWuFig5d,65
Alternative Metal,Alternative Metal,TOOL,Jambi,"10,000 Days",2gbPu2QNqhnnqtfK3yyeZ0,64
Alternative Metal,Alternative Metal,Godsmack,I Stand Alone,Faceless,44NRdYQw7P0GWuiunRv3hr,72
Alternative Metal,Alternative Metal,Godsmack,Bulletproof,When Legends Rise,4Pp7tPCBM9ywQexWvCz6iH,57
Alternative Metal,Alternative Metal,Godsmack,Awake,Awake,6xXlurslWqFuyqTCBlErzX,67
Alternative Metal,Alternative Metal,Godsmack,Voodoo,Godsmack,5uGsG0LfotfWDq6hql4h53,66
Alternative Metal,Alternative Metal,Godsmack,Cryin' Like A Bitch!!,The Oracle (Deluxe Edition),4a9i7rCLfPjbS1sNamZeQN,64
