genre,artists,tracks,popularity,T_norm,A_norm,P_norm,S_g,N_g_raw,N_g
Alternative Metal,1,50,0.0,1.0,0.01,0.0,0.503,965.8589039517647,966
Alternative Metalcore,1,0,0.0,0.0,0.01,0.0,0.003,5.760589884404164,300
Atmospheric Black Metal,1,0,0.0,0.0,0.01,0.0,0.003,5.760589884404164,300
Atmospheric Post-metal,0,50,0.0,1.0,0.0,0.0,0.5,960.0983140673605,960
Avantgarde Metal,0,0,0.0,0.0,0.0,0.0,0.0,0.0,300
Black Death,2,50,0.0,1.0,0.02,0.0,0.506,971.6194938361689,972
Black Metal,48,50,0.0,1.0,0.48,0.0,0.644,1236.6066285187603,1237
Black Sludge,0,0,0.0,0.0,0.0,0.0,0.0,0.0,300
Black Thrash,1,50,0.0,1.0,0.01,0.0,0.503,965.8589039517647,966
Brutal Death Metal,1,50,0.0,1.0,0.01,0.0,0.503,965.8589039517647,966
Brutal Deathcore,1,0,0.0,0.0,0.01,0.0,0.003,5.760589884404164,300
Canadian Metal,0,50,0.0,1.0,0.0,0.0,0.5,960.0983140673605,960
Chaotic Black Metal,1,0,0.0,0.0,0.01,0.0,0.003,5.760589884404164,300
Charred Death,2,0,0.0,0.0,0.02,0.0,0.006,11.521179768808327,300
Christian Metal,100,50,29.22,1.0,1.0,0.2922,0.8584400000000001,1648.37359345597,1500
Crossover Thrash,0,0,0.0,0.0,0.0,0.0,0.0,0.0,300
Cryptic Black Metal,2,0,0.0,0.0,0.02,0.0,0.006,11.521179768808327,300
Cyber Metal,0,0,0.0,0.0,0.0,0.0,0.0,0.0,300
Dark Black Metal,0,0,0.0,0.0,0.0,0.0,0.0,0.0,300
Death Core,0,0,0.0,0.0,0.0,0.0,0.0,0.0,300
Death Metal,41,50,0.0,1.0,0.41,0.0,0.623,1196.2824993279312,1196
Deathgrind,0,50,0.0,1.0,0.0,0.0,0.5,960.0983140673605,960
Deep Folk Metal,0,0,0.0,0.0,0.0,0.0,0.0,0.0,300
Deep Melodic Death Metal,0,0,0.0,0.0,0.0,0.0,0.0,0.0,300
Deep Melodic Metalcore,0,0,0.0,0.0,0.0,0.0,0.0,0.0,300
Deep Symphonic Black Metal,0,0,0.0,0.0,0.0,0.0,0.0,0.0,300
