genre,artists,tracks,popularity,S_g,N_g_raw,N_g
Alternative Metal,1,465,0.0,7.183906404965564,815.051081398514,815
Alternative Metalcore,1,43,0.0,4.823910404758179,547.2974131803912,547
Atmospheric Black Metal,1,46,0.0,4.8898683725499765,554.7806834159827,555
Atmospheric Post-metal,0,53,0.0,4.68213122712422,531.2118372365738,531
Avantgarde Metal,0,0,0.0,0.6931471805599453,78.64110794834647,300
Black Death,2,256,0.0,6.79152940978922,770.5338958720816,771
Black Metal,48,1000,0.0,9.54781210893048,1083.2483255899153,1083
Black Sludge,0,28,0.0,4.060443010546419,460.67811579718943,461
Black Thrash,1,62,0.0,5.182855497231451,588.0215776239609,588
Brutal Death Metal,1,112,0.0,5.767108589552259,654.3080919328542,654
Brutal Deathcore,1,13,0.0,3.6787781004551765,417.37627134572006,417
Canadian Metal,0,206,0.0,6.025865973825314,683.6654462722466,684
Chaotic Black Metal,1,34,0.0,4.595068832329331,521.334161355709,521
Charred Death,2,29,0.0,4.643650706556155,526.8460245249688,527
Christian Metal,1000,1000,11.006,12.156879349532776,1379.2604053720895,1379
Crossover Thrash,0,41,0.0,4.430816798843313,502.69892448484035,503
Cryptic Black Metal,2,11,0.0,3.7273599746820008,422.88813451497987,423
Cyber Metal,0,31,0.0,4.1588830833596715,471.8466476900788,472
Dark Black Metal,0,9,0.0,2.9957322735539913,339.88121385502853,340
Death Core,0,0,0.0,0.6931471805599453,78.64110794834647,300
Death Metal,41,1000,0.0,9.47073676901685,1074.5037323833083,1075
Deathgrind,0,78,0.0,5.062595033026967,574.3774102484504,574
Deep Folk Metal,0,42,0.0,4.454347296253507,505.36858027918186,505
Deep Melodic Death Metal,0,16,0.0,3.5263605246161616,400.0837144819694,400
Deep Melodic Metalcore,0,12,0.0,3.258096538021482,369.64778727902893,370
Deep Symphonic Black Metal,0,23,0.0,3.871201010907891,439.2076389066795,439
Deep Thrash Metal,0,0,0.0,0.6931471805599453,78.64110794834647,300
Depressive Black Metal,1,59,0.0,5.1340653330620185,582.4860828908419,582
Djent,0,76,0.0,5.0369526024136295,571.468144784379,571
Doom Metal,4,422,0.0,7.545238315823273,856.0460426475644,856
Doomcore,1,204,0.0,6.3627307499783265,721.8844854149061,722
Drone Metal,0,17,0.0,3.58351893845611,406.5686301232802,407
Electronicore,0,4,0.0,2.3025850929940455,261.240105906682,300
Finnish Metal,3,298,0.0,7.086737934510578,804.0268193246883,804
Folk Metal,1000,1000,21.892,13.245479349532776,1502.7676669083949,1500
Funeral Doom,0,10,0.0,3.091042453358316,350.69464330952513,351
Funk Metal,1,169,0.0,6.17551920789018,700.6443743628247,701
German Metal,4,173,0.0,6.656921435991524,755.2619298379974,755
Glam Metal,0,363,0.0,6.590301048196686,747.7035046505756,748
Goregrind,0,484,0.0,6.877296071497429,780.2645641787981,780
Gothic Doom,0,30,0.0,4.127134385045092,468.2445947907805,468
Gothic Metal,3,233,0.0,6.8416154764775925,776.2164174023092,776
Gothic Symphonic Metal,0,98,0.0,5.288267030694535,599.9810575361123,600
Grim Death Metal,0,36,0.0,4.304065093204169,488.3182924266495,488
Grindcore,3,447,0.0,7.491087593534876,849.9023650616257,850
Grisly Death Metal,0,32,0.0,4.189654742026425,475.33785042281875,475
Groove Metal,4,60,0.0,5.608740000950307,636.3403621040861,636
Hard Rock,3,1000,0.0,8.295049140435111,941.1159320634077,941
Industrial Metal,1,154,0.0,6.083145887759165,690.1641467232893,690
J-metal,1000,1000,4.887,11.544979349532776,1309.8372073801133,1310
Jazz Metal,894,1000,0.67,11.067313819012593,1255.6435994388728,1256
Latin Metal,876,1000,1.363,11.126455456061258,1262.3535219399334,1262
Mathcore,0,31,0.0,4.1588830833596715,471.8466476900788,472
Melodic Death Metal,5,80,0.0,5.983476069846412,678.8560939323411,679
Melodic Metalcore,0,16,0.0,3.5263605246161616,400.0837144819694,400
Melodic Power Metal,1,5,0.0,2.831480240067973,321.2459769841598,321
Melodic Progressive Metal,2,20,0.0,4.286975762617423,486.3794200931408,486
Metal,1000,1000,62.588,17.315079349532777,1964.484690193485,1500
Metal Guitar,0,1000,0.0,7.601901959875166,862.4748241150614,862
Metalcore,3,527,0.0,7.655390644826152,868.5433901645512,869
Necrogrind,1,77,0.0,5.39642959752951,612.2526563148423,612
Neo Classical Metal,0,131,0.0,5.575949103146316,632.6200663195117,633
Neo Metal,0,331,0.0,6.498282149476434,737.2634879405582,737
Neo-trad Metal,0,79,0.0,5.075173815233827,575.8045377000678,576
Neue Deutsche Harte,1,186,0.0,6.270829387694505,711.4578038173213,711
Norwegian Metal,0,59,0.0,4.787491742782046,543.1655289166686,543
Nu Metal,0,711,0.0,7.261225091971921,823.8232835827305,824
Nwobhm,1,122,0.0,5.851905126212335,663.9286945698641,664
Nwothm,0,37,0.0,4.330733340286331,491.343942038161,491
Pagan Black Metal,0,56,0.0,4.736198448394496,537.3460412031081,537
Post-metal,1,619,0.0,7.469440248879056,847.4463626199823,847
Power Metal,6,969,0.0,8.54339832658503,969.2924228645714,969
Progressive Metal,13,581,0.0,8.379146293099012,950.6571859937028,951
Rap Metal,0,145,0.0,5.676753802268282,644.0568772129025,644
Rap Metalcore,0,32,0.0,4.189654742026425,475.33785042281875,475
Raw Black Metal,1,29,0.0,4.440918152502073,503.84497494249536,504
Retro Metal,0,17,0.0,3.58351893845611,406.5686301232802,407
Slam Death Metal,0,377,0.0,6.628041376179533,751.9853387114276,752
Sludge Metal,0,84,0.0,5.135798437050262,582.682712440305,583
Speed Metal,1,44,0.0,4.846383260610238,549.8470741074425,550
Stoner Metal,0,52,0.0,4.663439094112067,529.0911187351928,529
Stoner Rock,6,520,0.0,7.921852296840969,898.77483325181,899
Swedish Metal,0,158,0.0,5.762051382780177,653.7343258484865,654
Symphonic Black Metal,0,74,0.0,5.0106352940962555,568.4823109783111,568
Symphonic Metal,3,315,0.0,7.142036574706803,810.3007340934897,810
Technical Brutal Death Metal,1,41,0.0,4.777390389123286,542.0194784590136,542
Technical Death Metal,3,175,0.0,6.556778356158042,743.9001830512574,744
Thrash Metal,5,416,0.0,7.622113136972774,864.767885970427,865
Thrash-groove Metal,0,10,0.0,3.091042453358316,350.69464330952513,351
Unblack Metal,2,160,0.0,6.323857689878463,717.47413707716,717
Viking Metal,1,64,0.0,5.214108040735555,591.5673392115376,592
