main_genre,sub_genre,artist_name,track_name,album_name,spotify_track_id,popularity,id,href,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Alternative Metal,Alternative Metal,Faith No More,Epic,The Real Thing,4ReyTz0y3TGkX48wO3Llot,66,ce14cb79-52c8-4eb4-91b5-a0721709952f,https://open.spotify.com/track/4ReyTz0y3TGkX48wO3Llot,0.0222,0.358,0.893,0.0524,4.0,0.126,-7.486,0.0,0.12,174.238,0.262
Alternative Metal,Alternative Metal,Faith No More,Easy,Angel Dust (Deluxe Edition),4Y3WqmBWmG23thvU9xEhMv,65,63c71211-9d32-458a-9a1c-3e537db2b229,https://open.spotify.com/track/4Y3WqmBWmG23thvU9xEhMv,0.339,0.506,0.554,0.000355,10.0,0.112,-6.743,0.0,0.0339,124.724,0.375
Alternative Metal,Alternative Metal,Faith No More,Midlife Crisis,Angel Dust (Deluxe Edition),3Ph7fws05DvPwpn5CQHTBy,61,d0dc2c1d-11ee-482b-8eae-fc6b7f027f55,https://open.spotify.com/track/3Ph7fws05DvPwpn5CQHTBy,0.00113,0.669,0.656,0.000252,9.0,0.0989,-10.549,1.0,0.0413,108.098,0.464
Alternative Metal,Alternative Metal,Faith No More,Ashes to Ashes - 2016 Remaster,Album of the Year (2016 Remaster; Deluxe Edition),0tZ9qh1m1NGP6rzSf57PGO,56,d5ecc8de-a809-4947-823d-3270ad9389b8,https://open.spotify.com/track/0tZ9qh1m1NGP6rzSf57PGO,8.52e-05,0.572,0.81,0.000138,0.0,0.0998,-7.407,1.0,0.0274,98.459,0.313
Alternative Metal,Alternative Metal,Faith No More,We Care a Lot,Introduce Yourself,2z1uVu3OwTmPlfqt5TWk5k,55,c70a427f-b53f-4804-989a-73b4f6133ce6,https://open.spotify.com/track/2z1uVu3OwTmPlfqt5TWk5k,0.08,0.799,0.887,9.58e-05,2.0,0.0975,-5.775,1.0,0.0411,108.919,0.9
Alternative Metal,Alternative Metal,Faith No More,Evidence - 2016 Remaster,"King for a Day, Fool for a Lifetime (2016 Remaster; Deluxe Edition)",5Z7o8zLaEBgpyOTZPp0jj9,53,7fcf9d48-355c-4679-9054-49d499f95000,https://open.spotify.com/track/5Z7o8zLaEBgpyOTZPp0jj9,0.046,0.678,0.801,0.00718,9.0,0.0765,-6.367,0.0,0.031,98.008,0.627
Alternative Metal,Alternative Metal,Faith No More,Falling to Pieces,The Real Thing,20nb0Wl1yqoEERbUSILuG1,53,0bd28c72-bead-4e1d-9091-8e038d9f696d,https://open.spotify.com/track/20nb0Wl1yqoEERbUSILuG1,0.00272,0.545,0.919,0.00511,2.0,0.0977,-7.679,1.0,0.0484,104.366,0.387
Alternative Metal,Alternative Metal,Faith No More,Last Cup of Sorrow - 2016 Remaster,Album of the Year (2016 Remaster; Deluxe Edition),0igpADygusN3CM5nkJfmis,51,d63846f7-9664-44f6-8477-e9893e5edf1c,https://open.spotify.com/track/0igpADygusN3CM5nkJfmis,3.19e-05,0.489,0.91,0.09,4.0,0.17,-6.746,0.0,0.0545,76.774,0.645
Alternative Metal,Alternative Metal,Faith No More,The Gentle Art of Making Enemies,"King for a Day, Fool for a Lifetime",2s5eB1seiy3yZqYCdQucXj,48,a6623986-fa16-45bb-8253-ba8bcd374b75,https://open.spotify.com/track/2s5eB1seiy3yZqYCdQucXj,0.0277,0.405,0.885,0.0767,11.0,0.156,-8.635,1.0,0.12,170.192,0.314
Alternative Metal,Alternative Metal,Faith No More,From Out of Nowhere,The Real Thing,1UBqvQDlcfRL0BaknLvn1J,50,ad19536c-8a5a-417e-9af4-be0f02c2bcab,https://open.spotify.com/track/1UBqvQDlcfRL0BaknLvn1J,0.00102,0.276,0.989,0.006,0.0,0.264,-5.37,0.0,0.077,161.183,0.0862
